group,run_id,input,stage,display_step,stored_iteration,energy,curv,peak
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,projected_input,0,,327.4687751450962,15.465709518519692,31.763932412261642
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,1,0,327.4669249981788,15.465709882606305,31.7636209721019
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,2,1,327.4669249981788,15.465709882606305,31.7636209721019
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,3,2,335.6320777390338,15.64450783406138,32.3818650475978
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,4,3,331.8929541678571,15.476248960095045,32.92340515917922
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,5,4,323.359928464675,15.113657385686611,34.883664587029934
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,6,5,319.84794450469826,15.116133249385777,34.62154381327774
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,7,6,317.7659506249876,15.113947278506517,34.40132117942319
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,8,7,316.4644933385785,15.124383937068034,34.14520209122581
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,9,8,315.57588841750066,15.130719650722941,33.949520004785214
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,10,9,314.9304556900586,15.133776722444845,33.79374961746291
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,11,10,314.4347393006001,15.133874154075388,33.66709253623066
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,12,11,314.035370320323,15.13160310583922,33.56230937444565
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,13,12,313.6999267617067,15.12734330570256,33.481390247196025
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,14,13,313.4076237975407,15.121352630733508,33.41648110709834
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,15,14,313.1443848893062,15.113785036462628,33.363315525005426
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,16,15,312.9001312321671,15.104713017564315,33.31991509841414
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,17,16,312.6671973930286,15.094145791329986,33.28517034501489
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,18,17,312.4393545151673,15.082037701255619,33.25807228853087
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,19,18,312.21116706827456,15.068296654874162,33.23796283849125
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,20,19,311.9775342918638,15.052788130344096,33.22415966759461
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,21,20,311.73332808511833,15.03533583871015,33.21601592177306
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,22,21,311.4730689625709,15.015725345632845,33.21265356826157
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,23,22,311.1905933592959,14.99370127187378,33.212899278908544
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,24,23,310.87866244124115,14.968967174309451,33.21500218382989
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,25,24,310.5284450617212,14.941177960336436,33.21643314145217
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,26,25,310.1287646738341,14.909926748725272,33.21349276058844
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,27,26,309.66491582707323,14.874711060714658,33.20088194682349
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,28,27,309.1166822291162,14.834865054809944,33.17097832242745
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,29,28,308.4548306246053,14.78941223216504,33.112804109368234
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,30,29,307.63455986690377,14.736764990313556,33.01011824343806
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,31,30,305.94279376338625,14.658434279148938,32.88005115033749
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,32,31,304.2392253307834,14.572713744871976,33.01002691765409
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,33,32,301.6576103266172,14.451363811050388,33.210606950964326
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,34,33,297.3393002458892,14.261364384568605,33.57144369942395
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,35,34,289.22920414882753,13.917619717616196,33.91500143149976
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,36,35,289.22920414882753,13.917619717616196,33.91500143149976
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,37,36,283.87318577353267,13.701367439738629,33.931571383683384
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,38,37,278.0039357625656,13.478753159633728,33.707513683472285
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,39,38,264.63538907992347,12.982810360696028,33.12791210916323
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,40,39,264.63538907992347,12.982810360696028,33.12791210916323
l1_m12,20260729_Xpi_rcp_lemniscate_M12_w0_claim,rcp_lemniscate,checkpoint,41,40,259.1340765664239,12.798353272802176,32.69430657640917
