time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,2.155871967436e-06,2.466555804441e-05
6.250000000000e-01,5.711948906409e-05,2.150924672622e-04
1.041666666667e+00,2.546646981291e-04,5.607854139981e-04
1.458333333333e+00,6.605813593921e-04,9.988527841101e-04
1.875000000000e+00,1.303265770700e-03,1.451904616036e-03
2.291666666667e+00,2.170303125276e-03,1.844197255044e-03
2.708333333333e+00,3.213503649235e-03,2.117185678126e-03
3.125000000000e+00,4.361184223759e-03,2.241145958639e-03
3.541666666667e+00,5.534947935499e-03,2.220435734468e-03
3.958333333333e+00,6.667299103550e-03,2.091394204836e-03
4.375000000000e+00,7.716335459072e-03,1.913516786152e-03
4.791666666667e+00,8.674490059540e-03,1.756002555622e-03
5.208333333333e+00,9.569674403440e-03,1.682738183591e-03
5.625000000000e+00,1.045887942908e-02,1.739042019036e-03
6.041666666667e+00,1.141593412612e-02,1.943002578860e-03
6.458333333333e+00,1.251633655921e-02,2.283134319900e-03
6.875000000000e+00,1.382259853933e-02,2.722606453540e-03
7.291666666667e+00,1.537328449662e-02,3.208819382561e-03
7.708333333333e+00,1.717796011279e-02,3.685945640807e-03
8.125000000000e+00,1.921883818531e-02,4.107473804060e-03
8.541666666667e+00,2.145835862248e-02,4.445911239875e-03
8.958333333333e+00,2.385062551414e-02,4.697567697466e-03
9.375000000000e+00,2.635384092199e-02,4.881560054410e-03
9.791666666667e+00,2.894078448852e-02,5.033551974378e-03
1.020833333333e+01,3.160498575991e-02,5.195945329370e-03
1.062500000000e+01,3.436135696301e-02,5.406996861213e-03
1.104166666667e+01,3.724141550998e-02,5.691481033091e-03
1.145833333333e+01,4.028449861367e-02,6.055044325918e-03
1.187500000000e+01,4.352726019872e-02,6.483430758930e-03
1.229166666667e+01,4.699404695126e-02,6.946548194265e-03
1.270833333333e+01,5.069042417104e-02,7.406185931510e-03
1.312500000000e+01,5.460126372775e-02,7.825361777477e-03
1.354166666667e+01,5.869364093471e-02,8.176961220877e-03
1.395833333333e+01,6.292360688174e-02,8.449593054809e-03
1.437500000000e+01,6.724499493771e-02,8.649343521363e-03
1.479166666667e+01,7.161799689032e-02,8.797164531025e-03
1.520833333333e+01,7.601539253425e-02,8.922713529608e-03
1.562500000000e+01,8.042498052340e-02,9.056306893443e-03
1.604166666667e+01,8.484775741390e-02,9.221055807574e-03
1.645833333333e+01,8.929246930869e-02,9.427137479072e-03
1.687500000000e+01,9.376804865425e-02,9.669560024817e-03
1.729166666667e+01,9.827593425736e-02,9.929866855037e-03
1.770833333333e+01,1.028042469261e-01,1.018122976712e-02
1.812500000000e+01,1.073252763969e-01,1.039554810334e-02
1.854166666667e+01,1.117968685635e-01,1.055070665150e-02
1.895833333333e+01,1.161673104811e-01,1.063615407793e-02
1.937500000000e+01,1.203824451726e-01,1.065543222543e-02
1.979166666667e+01,1.243932222393e-01,1.062508533853e-02
2.020833333333e+01,1.281618264086e-01,1.057029874128e-02
2.062500000000e+01,1.316649283784e-01,1.051842616455e-02
2.104166666667e+01,1.348933585262e-01,1.049206622937e-02
2.145833333333e+01,1.378484177376e-01,1.050342618618e-02
2.187500000000e+01,1.405358805304e-01,1.055135647992e-02
2.229166666667e+01,1.429593066273e-01,1.062174987898e-02
2.270833333333e+01,1.451144236161e-01,1.069114988775e-02
2.312500000000e+01,1.469860450012e-01,1.073261675577e-02
2.354166666667e+01,1.485483250999e-01,1.072235146349e-02
2.395833333333e+01,1.497682951029e-01,1.064541067159e-02
2.437500000000e+01,1.506117901569e-01,1.049909489813e-02
2.479166666667e+01,1.510502742629e-01,1.029319057273e-02
2.520833333333e+01,1.510668464046e-01,1.004704157606e-02
2.562500000000e+01,1.506599196152e-01,9.784219410861e-03
2.604166666667e+01,1.498436494608e-01,9.526158862476e-03
2.645833333333e+01,1.486450026054e-01,9.286383113489e-03
2.687500000000e+01,1.470981974276e-01,9.066796627643e-03
2.729166666667e+01,1.452379082676e-01,8.857010184772e-03
2.770833333333e+01,1.430929376708e-01,8.636903992901e-03
2.812500000000e+01,1.406819461854e-01,8.381817075884e-03
2.854166666667e+01,1.380123118628e-01,8.069077313154e-03
2.895833333333e+01,1.350823980910e-01,7.684227626486e-03
2.937500000000e+01,1.318866365555e-01,7.225354797235e-03
2.979166666667e+01,1.284221018053e-01,6.704381534993e-03
3.020833333333e+01,1.246948515079e-01,6.144931647988e-03
3.062500000000e+01,1.207243378322e-01,5.577239157548e-03
3.104166666667e+01,1.165446588495e-01,5.031331000459e-03
3.145833333333e+01,1.122022046471e-01,4.530177014249e-03
3.187500000000e+01,1.077501686963e-01,4.084546480616e-03
3.229166666667e+01,1.032412115944e-01,3.690915082700e-03
3.270833333333e+01,9.872007142951e-02,3.333017681931e-03
3.312500000000e+01,9.421797510857e-02,2.986721604026e-03
3.354166666667e+01,8.975029077074e-02,2.627033090701e-03
3.395833333333e+01,8.531806658379e-02,2.235469252161e-03
3.437500000000e+01,8.091311984341e-02,1.805885916598e-03
3.479166666667e+01,7.652541918587e-02,1.347196085895e-03
3.520833333333e+01,7.215087913938e-02,8.821687942532e-04
3.562500000000e+01,6.779752721820e-02,4.424823392176e-04
3.604166666667e+01,6.348836258238e-02,6.117521811883e-05
3.645833333333e+01,5.926002571983e-02,-2.356536999627e-04
3.687500000000e+01,5.515745080464e-02,-4.357847518241e-04
3.729166666667e+01,5.122571704624e-02,-5.446152681602e-04
3.770833333333e+01,4.750108652975e-02,-5.846017157353e-04
