time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,5.525647134979e-04,4.719970663738e-04
6.250000000000e-01,5.587968651408e-03,3.432333976849e-03
1.041666666667e+00,1.630633328681e-02,6.979476851040e-03
1.458333333333e+00,3.175137722755e-02,8.248623255663e-03
1.875000000000e+00,4.967405202642e-02,4.415909610437e-03
2.291666666667e+00,6.702189486184e-02,-6.440917477055e-03
2.708333333333e+00,8.023241778073e-02,-2.441951469833e-02
3.125000000000e+00,8.568882940770e-02,-4.728723851155e-02
3.541666666667e+00,8.079053437766e-02,-7.065420003928e-02
3.958333333333e+00,6.535483388475e-02,-8.901888121322e-02
4.375000000000e+00,4.233877836718e-02,-9.764375126832e-02
4.791666666667e+00,1.705251322331e-02,-9.450529014951e-02
5.208333333333e+00,-4.844604696778e-03,-8.111370070278e-02
5.625000000000e+00,-1.926714486069e-02,-6.161548512972e-02
6.041666666667e+00,-2.445326676235e-02,-4.079626705763e-02
6.458333333333e+00,-2.061385040744e-02,-2.222254327515e-02
6.875000000000e+00,-9.327847034393e-03,-7.456828126210e-03
7.291666666667e+00,6.865045308870e-03,3.467486098656e-03
7.708333333333e+00,2.502582317790e-02,1.094741509289e-02
8.125000000000e+00,4.276371739783e-02,1.517453389999e-02
8.541666666667e+00,5.893773089676e-02,1.644655574214e-02
8.958333333333e+00,7.346667132610e-02,1.576442853475e-02
9.375000000000e+00,8.658121354261e-02,1.488441781055e-02
9.791666666667e+00,9.827916192244e-02,1.581378744581e-02
1.020833333333e+01,1.082357903549e-01,2.023029194853e-02
1.062500000000e+01,1.159426496479e-01,2.910281459580e-02
1.104166666667e+01,1.208684922523e-01,4.249518363221e-02
1.145833333333e+01,1.226331270186e-01,5.950958618037e-02
1.187500000000e+01,1.212121122309e-01,7.843700401768e-02
1.229166666667e+01,1.170558268003e-01,9.716784173598e-02
1.270833333333e+01,1.109668820156e-01,1.137225601983e-01
1.312500000000e+01,1.037693340254e-01,1.266315904429e-01
