time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,-1.029850113171e-03,-4.305804872541e-04
6.250000000000e-01,-1.028419042168e-02,-3.164666886305e-03
1.041666666667e+00,-2.944915513435e-02,-7.798331455691e-03
1.458333333333e+00,-5.523662267048e-02,-1.382028564681e-02
1.875000000000e+00,-8.178474448536e-02,-1.837714837918e-02
2.291666666667e+00,-1.048189461162e-01,-1.660527412932e-02
2.708333333333e+00,-1.233068702655e-01,-5.625290343563e-03
3.125000000000e+00,-1.365845991216e-01,1.344456959396e-02
3.541666666667e+00,-1.420329006441e-01,3.712067898617e-02
3.958333333333e+00,-1.364384851284e-01,6.105553893487e-02
4.375000000000e+00,-1.190928322976e-01,8.023371293619e-02
4.791666666667e+00,-9.388410125757e-02,8.995200001284e-02
5.208333333333e+00,-6.874684531887e-02,8.834529337828e-02
5.625000000000e+00,-5.234584860265e-02,7.836163073172e-02
6.041666666667e+00,-4.999478047828e-02,6.676403339587e-02
6.458333333333e+00,-6.162781950562e-02,6.044211426590e-02
6.875000000000e+00,-8.271435811939e-02,6.285664913885e-02
7.291666666667e+00,-1.065294187950e-01,7.308711165827e-02
7.708333333333e+00,-1.260331352051e-01,8.764119401084e-02
8.125000000000e+00,-1.352563990996e-01,1.032832516957e-01
8.541666666667e+00,-1.307757018919e-01,1.186377505768e-01
8.958333333333e+00,-1.126790684262e-01,1.334617358092e-01
9.375000000000e+00,-8.379254182083e-02,1.468333043358e-01
9.791666666667e+00,-4.767045306345e-02,1.565890903328e-01
1.020833333333e+01,-7.343481049337e-03,1.605034930546e-01
1.062500000000e+01,3.449214974446e-02,1.576420004860e-01
1.104166666667e+01,7.498337757877e-02,1.487055499292e-01
1.145833333333e+01,1.112415796883e-01,1.355897514177e-01
1.187500000000e+01,1.407707489617e-01,1.208101038096e-01
1.229166666667e+01,1.615362613762e-01,1.069710303916e-01
1.270833333333e+01,1.717525539621e-01,9.603592849243e-02
1.312500000000e+01,1.702248163697e-01,8.849292991631e-02
1.354166666667e+01,1.575356351814e-01,8.326100169102e-02
1.395833333333e+01,1.369191009336e-01,7.886158732643e-02
1.437500000000e+01,1.135842222443e-01,7.484873935615e-02
1.479166666667e+01,9.293646808460e-02,7.198464380166e-02
1.520833333333e+01,7.906758109662e-02,7.105882237621e-02
1.562500000000e+01,7.403466958035e-02,7.161999778259e-02
1.604166666667e+01,7.760976598213e-02,7.181031561217e-02
1.645833333333e+01,8.741916333859e-02,6.948095824630e-02
1.687500000000e+01,9.978897440202e-02,6.374872017148e-02
1.729166666667e+01,1.112112092600e-01,5.580170845881e-02
1.770833333333e+01,1.196054732872e-01,4.840369641342e-02
1.812500000000e+01,1.245570783299e-01,4.460612749508e-02
1.854166666667e+01,1.265526853776e-01,4.657622802554e-02
1.895833333333e+01,1.259880794296e-01,5.496833429329e-02
1.937500000000e+01,1.227564069915e-01,6.875007323695e-02
1.979166666667e+01,1.166414807230e-01,8.546962654293e-02
2.020833333333e+01,1.079546045080e-01,1.021228606518e-01
2.062500000000e+01,9.759001421038e-02,1.163080672783e-01
2.104166666667e+01,8.642730373669e-02,1.268472897639e-01
2.145833333333e+01,7.480556102718e-02,1.335948050982e-01
2.187500000000e+01,6.249803553808e-02,1.369882838570e-01
2.229166666667e+01,4.895769384659e-02,1.377910215185e-01
2.270833333333e+01,3.355601205736e-02,1.369328486901e-01
2.312500000000e+01,1.579674012225e-02,1.352494450906e-01
2.354166666667e+01,-4.426662765416e-03,1.331613495360e-01
2.395833333333e+01,-2.654424316856e-02,1.305304363088e-01
2.437500000000e+01,-4.915514791936e-02,1.268923354341e-01
2.479166666667e+01,-7.026548291340e-02,1.219609760365e-01
2.520833333333e+01,-8.798101289983e-02,1.159481507496e-01
2.562500000000e+01,-1.012189366839e-01,1.093274582073e-01
2.604166666667e+01,-1.098571916690e-01,1.023110447632e-01
2.645833333333e+01,-1.143685134530e-01,9.466687431657e-02
2.687500000000e+01,-1.155309540054e-01,8.600963216128e-02
2.729166666667e+01,-1.144676473130e-01,7.615718122956e-02
2.770833333333e+01,-1.127019480919e-01,6.527854423560e-02
2.812500000000e+01,-1.119117167714e-01,5.389585121492e-02
2.854166666667e+01,-1.134260004261e-01,4.283581011242e-02
2.895833333333e+01,-1.177464274298e-01,3.311865640365e-02
2.937500000000e+01,-1.243597651414e-01,2.576694673890e-02
2.979166666667e+01,-1.319304577755e-01,2.157060328141e-02
3.020833333333e+01,-1.387552513818e-01,2.085699778231e-02
3.062500000000e+01,-1.432503283454e-01,2.331903402770e-02
3.104166666667e+01,-1.442998626778e-01,2.799322252466e-02
3.145833333333e+01,-1.414640048876e-01,3.346682900606e-02
3.187500000000e+01,-1.351281447737e-01,3.827161482034e-02
3.229166666667e+01,-1.265684884701e-01,4.132478898097e-02
3.270833333333e+01,-1.177710889432e-01,4.230251689016e-02
3.312500000000e+01,-1.108870371249e-01,4.185751189277e-02
3.354166666667e+01,-1.074362534238e-01,4.154488608999e-02
3.395833333333e+01,-1.076059957247e-01,4.334546191311e-02
3.437500000000e+01,-1.100334181476e-01,4.888299898016e-02
3.479166666667e+01,-1.122441823796e-01,5.867239454963e-02
3.520833333333e+01,-1.115736320756e-01,7.177083141175e-02
