time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,1.077935983723e-06,0.000000000000e+00
6.250000000000e-01,2.855974456122e-05,0.000000000000e+00
1.041666666667e+00,1.273323507238e-04,0.000000000000e+00
1.458333333333e+00,3.302907034016e-04,0.000000000000e+00
1.875000000000e+00,6.516330482766e-04,0.000000000000e+00
2.291666666667e+00,1.085152259441e-03,0.000000000000e+00
2.708333333333e+00,1.606753944049e-03,0.000000000000e+00
3.125000000000e+00,2.180597081332e-03,0.000000000000e+00
3.541666666667e+00,2.767483461006e-03,0.000000000000e+00
3.958333333333e+00,3.333665001874e-03,0.000000000000e+00
4.375000000000e+00,3.858190112629e-03,0.000000000000e+00
4.791666666667e+00,4.337275378827e-03,0.000000000000e+00
5.208333333333e+00,4.784877916644e-03,0.000000000000e+00
5.625000000000e+00,5.229496271941e-03,0.000000000000e+00
6.041666666667e+00,5.708049550160e-03,0.000000000000e+00
6.458333333333e+00,6.258292351206e-03,0.000000000000e+00
6.875000000000e+00,6.911486441970e-03,0.000000000000e+00
7.291666666667e+00,7.686919654422e-03,0.000000000000e+00
7.708333333333e+00,8.589379832249e-03,0.000000000000e+00
8.125000000000e+00,9.609977584717e-03,0.000000000000e+00
8.541666666667e+00,1.072993651213e-02,0.000000000000e+00
8.958333333333e+00,1.192631283072e-02,0.000000000000e+00
9.375000000000e+00,1.317821463176e-02,0.000000000000e+00
9.791666666667e+00,1.447204519225e-02,0.000000000000e+00
1.020833333333e+01,1.580459278618e-02,0.000000000000e+00
1.062500000000e+01,1.718334923314e-02,0.000000000000e+00
1.104166666667e+01,1.862412030151e-02,0.000000000000e+00
1.145833333333e+01,2.014662855860e-02,0.000000000000e+00
1.187500000000e+01,2.176925446688e-02,0.000000000000e+00
1.229166666667e+01,2.350421599402e-02,0.000000000000e+00
1.270833333333e+01,2.535432456602e-02,0.000000000000e+00
1.312500000000e+01,2.731202611595e-02,0.000000000000e+00
1.354166666667e+01,2.936085276349e-02,0.000000000000e+00
1.395833333333e+01,3.147881929142e-02,0.000000000000e+00
1.437500000000e+01,3.364284249474e-02,0.000000000000e+00
1.479166666667e+01,3.583304701019e-02,0.000000000000e+00
1.520833333333e+01,3.803589292127e-02,0.000000000000e+00
1.562500000000e+01,4.024539182696e-02,0.000000000000e+00
1.604166666667e+01,4.246218000794e-02,0.000000000000e+00
1.645833333333e+01,4.469076129254e-02,0.000000000000e+00
1.687500000000e+01,4.693568272865e-02,0.000000000000e+00
1.729166666667e+01,4.919765415055e-02,0.000000000000e+00
1.770833333333e+01,5.147061178960e-02,0.000000000000e+00
1.812500000000e+01,5.374046520373e-02,0.000000000000e+00
1.854166666667e+01,5.598582678272e-02,0.000000000000e+00
1.895833333333e+01,5.818051774508e-02,0.000000000000e+00
1.937500000000e+01,6.029720167419e-02,0.000000000000e+00
1.979166666667e+01,6.231122601230e-02,0.000000000000e+00
2.020833333333e+01,6.420371826412e-02,0.000000000000e+00
2.062500000000e+01,6.596319124228e-02,0.000000000000e+00
2.104166666667e+01,6.758530422333e-02,0.000000000000e+00
2.145833333333e+01,6.907090246790e-02,0.000000000000e+00
2.187500000000e+01,7.042289480632e-02,0.000000000000e+00
2.229166666667e+01,7.164281773729e-02,0.000000000000e+00
2.270833333333e+01,7.272800331959e-02,0.000000000000e+00
2.312500000000e+01,7.367010195536e-02,0.000000000000e+00
2.354166666667e+01,7.445535443633e-02,0.000000000000e+00
2.395833333333e+01,7.506655268013e-02,0.000000000000e+00
2.437500000000e+01,7.548619195335e-02,0.000000000000e+00
2.479166666667e+01,7.570001021372e-02,0.000000000000e+00
2.520833333333e+01,7.570001021372e-02,0.000000000000e+00
2.562500000000e+01,7.548619195335e-02,0.000000000000e+00
2.604166666667e+01,7.506655268013e-02,0.000000000000e+00
2.645833333333e+01,7.445535443633e-02,0.000000000000e+00
2.687500000000e+01,7.367010195536e-02,0.000000000000e+00
2.729166666667e+01,7.272800331959e-02,0.000000000000e+00
2.770833333333e+01,7.164281773729e-02,0.000000000000e+00
2.812500000000e+01,7.042289480632e-02,0.000000000000e+00
2.854166666667e+01,6.907090246790e-02,0.000000000000e+00
2.895833333333e+01,6.758530422333e-02,0.000000000000e+00
2.937500000000e+01,6.596319124228e-02,0.000000000000e+00
2.979166666667e+01,6.420371826412e-02,0.000000000000e+00
3.020833333333e+01,6.231122601230e-02,0.000000000000e+00
3.062500000000e+01,6.029720167419e-02,0.000000000000e+00
3.104166666667e+01,5.818051774508e-02,0.000000000000e+00
3.145833333333e+01,5.598582678272e-02,0.000000000000e+00
3.187500000000e+01,5.374046520373e-02,0.000000000000e+00
3.229166666667e+01,5.147061178960e-02,0.000000000000e+00
3.270833333333e+01,4.919765415055e-02,0.000000000000e+00
3.312500000000e+01,4.693568272865e-02,0.000000000000e+00
3.354166666667e+01,4.469076129254e-02,0.000000000000e+00
3.395833333333e+01,4.246218000794e-02,0.000000000000e+00
3.437500000000e+01,4.024539182696e-02,0.000000000000e+00
3.479166666667e+01,3.803589292127e-02,0.000000000000e+00
3.520833333333e+01,3.583304701019e-02,0.000000000000e+00
3.562500000000e+01,3.364284249474e-02,0.000000000000e+00
3.604166666667e+01,3.147881929142e-02,0.000000000000e+00
3.645833333333e+01,2.936085276349e-02,0.000000000000e+00
3.687500000000e+01,2.731202611595e-02,0.000000000000e+00
3.729166666667e+01,2.535432456602e-02,0.000000000000e+00
3.770833333333e+01,2.350421599402e-02,0.000000000000e+00
3.812500000000e+01,2.176925446688e-02,0.000000000000e+00
3.854166666667e+01,2.014662855860e-02,0.000000000000e+00
3.895833333333e+01,1.862412030151e-02,0.000000000000e+00
3.937500000000e+01,1.718334923314e-02,0.000000000000e+00
3.979166666667e+01,1.580459278618e-02,0.000000000000e+00
4.020833333333e+01,1.447204519225e-02,0.000000000000e+00
4.062500000000e+01,1.317821463176e-02,0.000000000000e+00
4.104166666667e+01,1.192631283072e-02,0.000000000000e+00
4.145833333333e+01,1.072993651213e-02,0.000000000000e+00
4.187500000000e+01,9.609977584717e-03,0.000000000000e+00
4.229166666667e+01,8.589379832249e-03,0.000000000000e+00
4.270833333333e+01,7.686919654422e-03,0.000000000000e+00
4.312500000000e+01,6.911486441970e-03,0.000000000000e+00
4.354166666667e+01,6.258292351206e-03,0.000000000000e+00
4.395833333333e+01,5.708049550160e-03,0.000000000000e+00
4.437500000000e+01,5.229496271941e-03,0.000000000000e+00
4.479166666667e+01,4.784877916644e-03,0.000000000000e+00
4.520833333333e+01,4.337275378827e-03,0.000000000000e+00
4.562500000000e+01,3.858190112629e-03,0.000000000000e+00
4.604166666667e+01,3.333665001874e-03,0.000000000000e+00
4.645833333333e+01,2.767483461006e-03,0.000000000000e+00
4.687500000000e+01,2.180597081332e-03,0.000000000000e+00
4.729166666667e+01,1.606753944049e-03,0.000000000000e+00
4.770833333333e+01,1.085152259441e-03,0.000000000000e+00
4.812500000000e+01,6.516330482766e-04,0.000000000000e+00
4.854166666667e+01,3.302907034016e-04,0.000000000000e+00
4.895833333333e+01,1.273323507238e-04,0.000000000000e+00
4.937500000000e+01,2.855974456122e-05,0.000000000000e+00
4.979166666667e+01,1.077935983698e-06,0.000000000000e+00
