time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,-3.591170623327e-04,-1.264257646653e-03
6.250000000000e-01,-5.122220196549e-03,-1.048635783821e-02
1.041666666667e+00,-1.873846983346e-02,-2.563783454293e-02
1.458333333333e+00,-4.347880089216e-02,-4.201342410424e-02
1.875000000000e+00,-7.890138708845e-02,-5.470102935715e-02
2.291666666667e+00,-1.218989975099e-01,-5.980953641274e-02
2.708333333333e+00,-1.674974830487e-01,-5.543311648651e-02
3.125000000000e+00,-2.101489559946e-01,-4.205140466248e-02
3.541666666667e+00,-2.450590061712e-01,-2.224826893819e-02
3.958333333333e+00,-2.691170651031e-01,9.233426726973e-05
4.375000000000e+00,-2.812589319830e-01,2.076557424538e-02
4.791666666667e+00,-2.823698554848e-01,3.608118378855e-02
5.208333333333e+00,-2.749191609934e-01,4.342078705756e-02
5.625000000000e+00,-2.624195569871e-01,4.154445548221e-02
6.041666666667e+00,-2.487267049529e-01,3.070846439719e-02
6.458333333333e+00,-2.372583345391e-01,1.260595136977e-02
6.875000000000e+00,-2.303297581416e-01,-9.893213372599e-03
7.291666666667e+00,-2.288120707699e-01,-3.320638969345e-02
7.708333333333e+00,-2.321753245376e-01,-5.365679933997e-02
8.125000000000e+00,-2.387938020237e-01,-6.813471179814e-02
8.541666666667e+00,-2.463207363992e-01,-7.463251999602e-02
8.958333333333e+00,-2.520363389418e-01,-7.250111934204e-02
9.375000000000e+00,-2.532204880532e-01,-6.241132704042e-02
9.791666666667e+00,-2.476309085861e-01,-4.615006704006e-02
1.020833333333e+01,-2.340476893150e-01,-2.635564801071e-02
1.062500000000e+01,-2.127007340754e-01,-6.130655958196e-03
1.104166666667e+01,-1.853454850362e-01,1.158013998507e-02
1.145833333333e+01,-1.548289783863e-01,2.476165027705e-02
1.187500000000e+01,-1.241929572024e-01,3.290488649974e-02
1.229166666667e+01,-9.562712476761e-02,3.701584186618e-02
1.270833333333e+01,-6.973860120592e-02,3.896793198405e-02
1.312500000000e+01,-4.549146769998e-02,4.048936905427e-02
1.354166666667e+01,-2.084166919521e-02,4.227167387685e-02
1.395833333333e+01,6.233967853640e-03,4.359368857900e-02
1.437500000000e+01,3.675431820486e-02,4.258979477038e-02
1.479166666667e+01,7.016347310775e-02,3.702264285960e-02
1.520833333333e+01,1.043509143815e-01,2.524669019480e-02
1.562500000000e+01,1.362286894819e-01,6.993407570155e-03
1.604166666667e+01,1.626501927289e-01,-1.632060463684e-02
1.645833333333e+01,1.813438663401e-01,-4.187192658711e-02
1.687500000000e+01,1.915431874252e-01,-6.616082489396e-02
1.729166666667e+01,1.941313803421e-01,-8.588523278506e-02
1.770833333333e+01,1.913150839860e-01,-9.864277312885e-02
1.812500000000e+01,1.859925582451e-01,-1.032927884057e-01
1.854166666667e+01,1.810386908804e-01,-9.999347078315e-02
1.895833333333e+01,1.787089062246e-01,-9.002535508050e-02
1.937500000000e+01,1.802965262971e-01,-7.549218583603e-02
1.979166666667e+01,1.860761790501e-01,-5.892787934788e-02
2.020833333333e+01,1.954609979879e-01,-4.282835708625e-02
2.062500000000e+01,2.072545346234e-01,-2.918350172285e-02
2.104166666667e+01,2.199152857648e-01,-1.913330500753e-02
2.145833333333e+01,2.318186784623e-01,-1.284658198792e-02
2.187500000000e+01,2.415254558054e-01,-9.636196679861e-03
2.229166666667e+01,2.480376290812e-01,-8.247868504204e-03
2.270833333333e+01,2.509904653901e-01,-7.231061479309e-03
2.312500000000e+01,2.507274843013e-01,-5.310243653425e-03
2.354166666667e+01,2.482301841826e-01,-1.692238681629e-03
2.395833333333e+01,2.449040076976e-01,3.744762131463e-03
2.437500000000e+01,2.422498786107e-01,1.042351111933e-02
2.479166666667e+01,2.414830470271e-01,1.721665972809e-02
2.520833333333e+01,2.431957963312e-01,2.274483946900e-02
2.562500000000e+01,2.471757254744e-01,2.575372769219e-02
2.604166666667e+01,2.524609782311e-01,2.547213909487e-02
2.645833333333e+01,2.576356555939e-01,2.184907287281e-02
2.687500000000e+01,2.612748078593e-01,1.559406792492e-02
2.729166666667e+01,2.623876871681e-01,8.001056344001e-03
2.770833333333e+01,2.607122637548e-01,6.029567624477e-04
2.812500000000e+01,2.567761532979e-01,-5.244448114019e-03
2.854166666667e+01,2.517215509545e-01,-8.731248803587e-03
2.895833333333e+01,2.469575387789e-01,-9.808696751789e-03
2.937500000000e+01,2.437389155178e-01,-9.183718324306e-03
2.979166666667e+01,2.427833686787e-01,-8.086094311769e-03
3.020833333333e+01,2.440348175504e-01,-7.871956750663e-03
3.062500000000e+01,2.466534082843e-01,-9.583565743903e-03
3.104166666667e+01,2.492520783288e-01,-1.360410154701e-02
3.145833333333e+01,2.503150008995e-01,-1.951593060326e-02
3.187500000000e+01,2.486605630254e-01,-2.619982657383e-02
3.229166666667e+01,2.437922655168e-01,-3.213121922769e-02
3.270833333333e+01,2.360285212042e-01,-3.577628451904e-02
3.312500000000e+01,2.263900173705e-01,-3.598343223851e-02
3.354166666667e+01,2.163044450509e-01,-3.228733937188e-02
3.395833333333e+01,2.072281691344e-01,-2.506520742188e-02
3.437500000000e+01,2.002784764339e-01,-1.550496399213e-02
3.479166666667e+01,1.959420925837e-01,-5.381028798320e-03
3.520833333333e+01,1.939053941645e-01,3.312036502075e-03
3.562500000000e+01,1.930459725432e-01,8.772184321661e-03
3.604166666667e+01,1.916114117050e-01,9.746541054402e-03
3.645833333333e+01,1.875671886444e-01,5.762764908752e-03
3.687500000000e+01,1.790337473684e-01,-2.787580565426e-03
3.729166666667e+01,1.646953264497e-01,-1.470574005333e-02
3.770833333333e+01,1.440814191880e-01,-2.817233187396e-02
3.812500000000e+01,1.176819320164e-01,-4.106069303075e-02
3.854166666667e+01,8.690943008399e-02,-5.135389041133e-02
3.895833333333e+01,5.392960246781e-02,-5.758654119800e-02
3.937500000000e+01,2.136069213485e-02,-5.918794525212e-02
3.979166666667e+01,-8.155188858524e-03,-5.662443001654e-02
4.020833333333e+01,-3.245782544810e-02,-5.131606227433e-02
4.062500000000e+01,-5.033840016385e-02,-4.536808208284e-02
4.104166666667e+01,-6.183357038170e-02,-4.117083302167e-02
4.145833333333e+01,-6.823964611624e-02,-4.091478288583e-02
4.187500000000e+01,-7.182561729335e-02,-4.608578685063e-02
4.229166666667e+01,-7.531949193046e-02,-5.704591070915e-02
4.270833333333e+01,-8.130433664582e-02,-7.282268119451e-02
4.312500000000e+01,-9.165909329549e-02,-9.119398024928e-02
4.354166666667e+01,-1.071331674368e-01,-1.090739171270e-01
4.395833333333e+01,-1.271066697863e-01,-1.231102418538e-01
4.437500000000e+01,-1.495854587745e-01,-1.303415863275e-01
4.479166666667e+01,-1.714754189584e-01,-1.287677533304e-01
4.520833333333e+01,-1.891296474171e-01,-1.177460380333e-01
4.562500000000e+01,-1.990791566893e-01,-9.818056996264e-02
4.604166666667e+01,-1.987931737364e-01,-7.247417709059e-02
4.645833333333e+01,-1.872932551586e-01,-4.419140950554e-02
4.687500000000e+01,-1.654592611214e-01,-1.741192239698e-02
4.729166666667e+01,-1.359196218214e-01,4.133212509609e-03
4.770833333333e+01,-1.025290344164e-01,1.791610026576e-02
4.812500000000e+01,-6.957530666784e-02,2.318494725611e-02
4.854166666667e+01,-4.093833282677e-02,2.107531695535e-02
4.895833333333e+01,-1.939006110605e-02,1.425871316358e-02
