time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,1.320090852152e-22,2.155871967445e-06
6.250000000000e-01,3.497559976136e-21,5.711948912243e-05
1.041666666667e+00,1.559371557418e-20,2.546647014476e-04
1.458333333333e+00,4.044894527089e-20,6.605814068032e-04
1.875000000000e+00,7.980203267906e-20,1.303266096553e-03
2.291666666667e+00,1.328928241112e-19,2.170304518882e-03
2.708333333333e+00,1.967706074597e-19,3.213507888097e-03
3.125000000000e+00,2.670461235884e-19,4.361194162665e-03
3.541666666667e+00,3.389189762214e-19,5.534966922012e-03
3.958333333333e+00,4.082562173975e-19,6.667330003749e-03
4.375000000000e+00,4.724920171933e-19,7.716380225257e-03
4.791666666667e+00,5.311630409701e-19,8.674550757653e-03
5.208333333333e+00,5.859785424929e-19,9.569755833288e-03
5.625000000000e+00,6.404285870586e-19,1.045899254388e-02
6.041666666667e+00,6.990344610977e-19,1.141609910032e-02
6.458333333333e+00,7.664197696033e-19,1.251658470241e-02
6.875000000000e+00,8.464129748509e-19,1.382297288394e-02
7.291666666667e+00,9.413761550091e-19,1.537383930884e-02
7.708333333333e+00,1.051895651822e-18,1.717875966450e-02
8.125000000000e+00,1.176882828900e-18,1.921995516943e-02
8.541666666667e+00,1.314038240464e-18,2.145987302427e-02
8.958333333333e+00,1.460552083377e-18,2.385262566144e-02
9.375000000000e+00,1.613865836726e-18,2.635642926351e-02
9.791666666667e+00,1.772314382180e-18,2.894409038450e-02
1.020833333333e+01,1.935504396742e-18,3.160918557236e-02
1.062500000000e+01,2.104353363700e-18,3.436669846628e-02
1.104166666667e+01,2.280796931417e-18,3.724824060301e-02
1.145833333333e+01,2.467250417790e-18,4.029325711720e-02
1.187500000000e+01,2.665964780269e-18,4.353850893376e-02
1.229166666667e+01,2.878436288354e-18,4.700843198803e-02
1.270833333333e+01,3.105009242432e-18,5.070864913204e-02
1.312500000000e+01,3.344758536113e-18,5.462405223190e-02
1.354166666667e+01,3.595667435704e-18,5.872170552697e-02
1.395833333333e+01,3.855043528617e-18,6.295763858284e-02
1.437500000000e+01,4.120059937540e-18,6.728568498947e-02
1.479166666667e+01,4.388282632473e-18,7.166609402039e-02
1.520833333333e+01,4.658053451874e-18,7.607178584253e-02
1.562500000000e+01,4.928639028132e-18,8.049078365393e-02
1.604166666667e+01,5.200117283154e-18,8.492436001588e-02
1.645833333333e+01,5.473039776837e-18,8.938152258509e-02
1.687500000000e+01,5.747963361944e-18,9.387136545730e-02
1.729166666667e+01,6.024974968103e-18,9.839530830109e-02
1.770833333333e+01,6.303331997829e-18,1.029412235792e-01
1.812500000000e+01,6.581308869644e-18,1.074809304075e-01
1.854166666667e+01,6.856286356707e-18,1.119716535654e-01
1.895833333333e+01,7.125058482925e-18,1.163610354902e-01
1.937500000000e+01,7.384277502784e-18,1.205944033484e-01
1.979166666667e+01,7.630924348691e-18,1.246224520246e-01
2.020833333333e+01,7.862687806552e-18,1.284074365282e-01
2.062500000000e+01,8.078161101640e-18,1.319263824846e-01
2.104166666667e+01,8.276812648650e-18,1.351706084467e-01
2.145833333333e+01,8.458745962153e-18,1.381418049358e-01
2.187500000000e+01,8.624317271125e-18,1.408457896126e-01
2.229166666667e+01,8.773714742387e-18,1.432856354746e-01
2.270833333333e+01,8.906611647371e-18,1.454560066392e-01
2.312500000000e+01,9.021985455249e-18,1.473402039107e-01
2.354166666667e+01,9.118151148984e-18,1.489107088727e-01
2.395833333333e+01,9.193001346275e-18,1.501331053603e-01
2.437500000000e+01,9.244392335549e-18,1.509723839067e-01
2.479166666667e+01,9.270577520365e-18,1.514000204274e-01
2.520833333333e+01,9.270577520365e-18,1.514000204274e-01
2.562500000000e+01,9.244392335549e-18,1.509723839067e-01
2.604166666667e+01,9.193001346275e-18,1.501331053603e-01
2.645833333333e+01,9.118151148984e-18,1.489107088727e-01
2.687500000000e+01,9.021985455249e-18,1.473402039107e-01
2.729166666667e+01,8.906611647371e-18,1.454560066392e-01
2.770833333333e+01,8.773714742387e-18,1.432856354746e-01
2.812500000000e+01,8.624317271125e-18,1.408457896126e-01
2.854166666667e+01,8.458745962153e-18,1.381418049358e-01
2.895833333333e+01,8.276812648650e-18,1.351706084467e-01
2.937500000000e+01,8.078161101640e-18,1.319263824846e-01
2.979166666667e+01,7.862687806552e-18,1.284074365282e-01
3.020833333333e+01,7.630924348691e-18,1.246224520246e-01
3.062500000000e+01,7.384277502784e-18,1.205944033484e-01
3.104166666667e+01,7.125058482925e-18,1.163610354902e-01
3.145833333333e+01,6.856286356707e-18,1.119716535654e-01
3.187500000000e+01,6.581308869644e-18,1.074809304075e-01
3.229166666667e+01,6.303331997829e-18,1.029412235792e-01
3.270833333333e+01,6.024974968103e-18,9.839530830109e-02
3.312500000000e+01,5.747963361944e-18,9.387136545730e-02
3.354166666667e+01,5.473039776837e-18,8.938152258509e-02
3.395833333333e+01,5.200117283154e-18,8.492436001588e-02
3.437500000000e+01,4.928639028132e-18,8.049078365393e-02
3.479166666667e+01,4.658053451874e-18,7.607178584253e-02
3.520833333333e+01,4.388282632473e-18,7.166609402039e-02
3.562500000000e+01,4.120059937540e-18,6.728568498947e-02
3.604166666667e+01,3.855043528617e-18,6.295763858284e-02
3.645833333333e+01,3.595667435704e-18,5.872170552697e-02
3.687500000000e+01,3.344758536113e-18,5.462405223190e-02
3.729166666667e+01,3.105009242432e-18,5.070864913204e-02
3.770833333333e+01,2.878436288354e-18,4.700843198803e-02
3.812500000000e+01,2.665964780269e-18,4.353850893376e-02
3.854166666667e+01,2.467250417790e-18,4.029325711720e-02
3.895833333333e+01,2.280796931417e-18,3.724824060301e-02
3.937500000000e+01,2.104353363700e-18,3.436669846628e-02
3.979166666667e+01,1.935504396742e-18,3.160918557236e-02
4.020833333333e+01,1.772314382180e-18,2.894409038450e-02
4.062500000000e+01,1.613865836726e-18,2.635642926351e-02
4.104166666667e+01,1.460552083377e-18,2.385262566144e-02
4.145833333333e+01,1.314038240464e-18,2.145987302427e-02
4.187500000000e+01,1.176882828900e-18,1.921995516943e-02
4.229166666667e+01,1.051895651822e-18,1.717875966450e-02
4.270833333333e+01,9.413761550091e-19,1.537383930884e-02
4.312500000000e+01,8.464129748509e-19,1.382297288394e-02
4.354166666667e+01,7.664197696033e-19,1.251658470241e-02
4.395833333333e+01,6.990344610977e-19,1.141609910032e-02
4.437500000000e+01,6.404285870586e-19,1.045899254388e-02
4.479166666667e+01,5.859785424929e-19,9.569755833288e-03
4.520833333333e+01,5.311630409701e-19,8.674550757653e-03
4.562500000000e+01,4.724920171933e-19,7.716380225257e-03
4.604166666667e+01,4.082562173975e-19,6.667330003749e-03
4.645833333333e+01,3.389189762214e-19,5.534966922012e-03
4.687500000000e+01,2.670461235884e-19,4.361194162665e-03
4.729166666667e+01,1.967706074596e-19,3.213507888097e-03
4.770833333333e+01,1.328928241112e-19,2.170304518882e-03
4.812500000000e+01,7.980203267906e-20,1.303266096553e-03
4.854166666667e+01,4.044894527089e-20,6.605814068031e-04
4.895833333333e+01,1.559371557418e-20,2.546647014476e-04
4.937500000000e+01,3.497559976136e-21,5.711948912243e-05
4.979166666667e+01,1.320090852121e-22,2.155871967395e-06
