time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,1.170268006303e-03,4.958865642153e-04
6.250000000000e-01,1.088791617410e-02,2.318651092429e-03
1.041666666667e+00,3.001574501440e-02,2.476833347017e-04
1.458333333333e+00,5.588442572763e-02,-1.109874485748e-02
1.875000000000e+00,8.370809090501e-02,-3.496660335661e-02
2.291666666667e+00,1.077006089395e-01,-7.137848822866e-02
2.708333333333e+00,1.226926649455e-01,-1.170035731144e-01
3.125000000000e+00,1.256284129728e-01,-1.661001186555e-01
3.541666666667e+00,1.163179097252e-01,-2.121755972932e-01
3.958333333333e+00,9.719946076095e-02,-2.497041795203e-01
4.375000000000e+00,7.235250847867e-02,-2.753220941334e-01
4.791666666667e+00,4.624494563728e-02,-2.882820064133e-01
5.208333333333e+00,2.261485824051e-02,-2.902637590179e-01
5.625000000000e+00,3.680717817924e-03,-2.847243562470e-01
6.041666666667e+00,-1.024351655066e-02,-2.759240091146e-01
6.458333333333e+00,-2.066535205829e-02,-2.677764930765e-01
6.875000000000e+00,-3.032715396611e-02,-2.627834411563e-01
7.291666666667e+00,-4.220742940030e-02,-2.614025396370e-01
7.708333333333e+00,-5.839539193848e-02,-2.621309067141e-01
8.125000000000e+00,-7.925971909841e-02,-2.623273993468e-01
8.541666666667e+00,-1.032791996209e-01,-2.594593115073e-01
8.958333333333e+00,-1.276305711861e-01,-2.522321853412e-01
9.375000000000e+00,-1.492644525809e-01,-2.411018742809e-01
9.791666666667e+00,-1.659634500622e-01,-2.279716839725e-01
1.020833333333e+01,-1.769186186295e-01,-2.152686099335e-01
1.062500000000e+01,-1.826494348327e-01,-2.048488732587e-01
1.104166666667e+01,-1.844414491576e-01,-1.971891587736e-01
1.145833333333e+01,-1.836774094467e-01,-1.911267761439e-01
1.187500000000e+01,-1.813951625844e-01,-1.841669326615e-01
1.229166666667e+01,-1.781802509883e-01,-1.731989263616e-01
1.270833333333e+01,-1.742620082702e-01,-1.553803928499e-01
1.312500000000e+01,-1.695981256823e-01,-1.289294369259e-01
1.354166666667e+01,-1.638564676759e-01,-9.360217657368e-02
1.395833333333e+01,-1.564097505726e-01,-5.074618334474e-02
1.437500000000e+01,-1.465312696144e-01,-2.975838361281e-03
1.479166666667e+01,-1.338226854417e-01,4.637677817223e-02
1.520833333333e+01,-1.186665363148e-01,9.386468161588e-02
1.562500000000e+01,-1.024172890253e-01,1.364381098779e-01
1.604166666667e+01,-8.719654953572e-02,1.717582610066e-01
1.645833333333e+01,-7.538575460017e-02,1.982836647364e-01
1.687500000000e+01,-6.902674364160e-02,2.152227724744e-01
1.729166666667e+01,-6.931868126657e-02,2.225221783316e-01
1.770833333333e+01,-7.633563233953e-02,2.209923143920e-01
1.812500000000e+01,-8.903500254912e-02,2.124821871664e-01
1.854166666667e+01,-1.055423233496e-01,1.998585044145e-01
1.895833333333e+01,-1.235750960575e-01,1.865871500135e-01
1.937500000000e+01,-1.408101297079e-01,1.759547919900e-01
1.979166666667e+01,-1.550947114796e-01,1.702159432636e-01
2.020833333333e+01,-1.645783952482e-01,1.700147265158e-01
2.062500000000e+01,-1.679209585617e-01,1.742971410185e-01
2.104166666667e+01,-1.646316431109e-01,1.807296613974e-01
2.145833333333e+01,-1.554096588168e-01,1.864868590851e-01
2.187500000000e+01,-1.422451701853e-01,1.891826848689e-01
2.229166666667e+01,-1.280919890955e-01,1.876741902400e-01
2.270833333333e+01,-1.161162852950e-01,1.824709878174e-01
2.312500000000e+01,-1.087564563473e-01,1.755785811412e-01
2.354166666667e+01,-1.069649633179e-01,1.697980172615e-01
2.395833333333e+01,-1.099543736071e-01,1.677271263113e-01
2.437500000000e+01,-1.155558865208e-01,1.708407336953e-01
2.479166666667e+01,-1.210370968413e-01,1.789916239923e-01
2.520833333333e+01,-1.240512188261e-01,1.904907172751e-01
2.562500000000e+01,-1.233740390740e-01,2.026882776634e-01
2.604166666667e+01,-1.192110788291e-01,2.127987241679e-01
2.645833333333e+01,-1.130429812502e-01,2.186640226412e-01
2.687500000000e+01,-1.071258000430e-01,2.192356368042e-01
2.729166666667e+01,-1.038272852399e-01,2.147019813553e-01
2.770833333333e+01,-1.049800050283e-01,2.063091288999e-01
2.812500000000e+01,-1.114063624776e-01,1.959748299027e-01
2.854166666667e+01,-1.227272168465e-01,1.857974573347e-01
2.895833333333e+01,-1.374920728251e-01,1.775533445893e-01
2.937500000000e+01,-1.535753819228e-01,1.722792854468e-01
2.979166666667e+01,-1.687107368344e-01,1.700379680534e-01
3.020833333333e+01,-1.810136052158e-01,1.699326062212e-01
3.062500000000e+01,-1.893694417043e-01,1.703635889612e-01
3.104166666667e+01,-1.936127387543e-01,1.694392463429e-01
3.145833333333e+01,-1.944741186903e-01,1.654201828786e-01
3.187500000000e+01,-1.933215448671e-01,1.571109818488e-01
3.229166666667e+01,-1.917696385619e-01,1.441680061888e-01
3.270833333333e+01,-1.912679148530e-01,1.272996775161e-01
3.312500000000e+01,-1.927746286262e-01,1.082883899602e-01
3.354166666667e+01,-1.965611371204e-01,8.973805125900e-02
3.395833333333e+01,-2.021169197626e-01,7.452607839112e-02
3.437500000000e+01,-2.081192158462e-01,6.508530530676e-02
3.479166666667e+01,-2.125077641416e-01,6.274064384395e-02
3.520833333333e+01,-2.127685669522e-01,6.730304172711e-02
3.562500000000e+01,-2.064800872254e-01,7.702428055697e-02
3.604166666667e+01,-1.920230217388e-01,8.892526716911e-02
3.645833333333e+01,-1.692083412248e-01,9.944843111003e-02
3.687500000000e+01,-1.395396936899e-01,1.053144108989e-01
3.729166666667e+01,-1.059323022767e-01,1.043692244515e-01
3.770833333333e+01,-7.192778996061e-02,9.614312764433e-02
3.812500000000e+01,-4.067752385668e-02,8.188786930235e-02
3.854166666667e+01,-1.409125681443e-02,6.403833802220e-02
3.895833333333e+01,7.513038794636e-03,4.527953679746e-02
3.937500000000e+01,2.513162821989e-02,2.756759319125e-02
3.979166666667e+01,4.028453548097e-02,1.148126686809e-02
4.020833333333e+01,5.400261481684e-02,-3.825984968569e-03
4.062500000000e+01,6.596417454718e-02,-2.000056126883e-02
4.104166666667e+01,7.414238553907e-02,-3.835805664978e-02
4.145833333333e+01,7.520682765660e-02,-5.864128040445e-02
4.187500000000e+01,6.568400635533e-02,-7.818691094495e-02
4.229166666667e+01,4.356992316246e-02,-9.196322878104e-02
4.270833333333e+01,9.824827824052e-03,-9.368004585381e-02
4.312500000000e+01,-3.090808859744e-02,-7.778262441642e-02
4.354166666667e+01,-7.087032767729e-02,-4.174344133780e-02
4.395833333333e+01,-1.011461027367e-01,1.222674046135e-02
4.437500000000e+01,-1.144724629097e-01,7.694217102860e-02
4.479166666667e+01,-1.077325628521e-01,1.418866857794e-01
4.520833333333e+01,-8.288640968077e-02,1.962062949781e-01
4.562500000000e+01,-4.591123854274e-02,2.317271534591e-01
4.604166666667e+01,-4.536723157602e-03,2.447324982614e-01
4.645833333333e+01,3.387570063049e-02,2.360717006242e-01
4.687500000000e+01,6.350476389288e-02,2.100213235194e-01
4.729166666667e+01,8.049812039394e-02,1.726330023889e-01
4.770833333333e+01,8.331436124266e-02,1.302200660480e-01
4.812500000000e+01,7.316970286783e-02,8.842024918268e-02
4.854166666667e+01,5.405985589674e-02,5.189289024099e-02
4.895833333333e+01,3.183641498145e-02,2.420230801149e-02
4.937500000000e+01,1.263415618630e-02,7.298840601085e-03
4.979166666667e+01,1.487414893504e-03,5.879541419622e-04
