time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,-1.171354086011e-03,1.419404709986e-03
6.250000000000e-01,-9.929529838451e-03,1.479159099836e-02
1.041666666667e+00,-2.665951647296e-02,4.346967594147e-02
1.458333333333e+00,-4.968926630002e-02,8.344105272630e-02
1.875000000000e+00,-7.306426534493e-02,1.274707214556e-01
2.291666666667e+00,-8.820524304271e-02,1.706675967099e-01
2.708333333333e+00,-8.964026361671e-02,2.116989660326e-01
3.125000000000e+00,-7.701846955155e-02,2.488245767397e-01
3.541666666667e+00,-5.253623647531e-02,2.772196385551e-01
3.958333333333e+00,-1.887568820460e-02,2.903957664534e-01
4.375000000000e+00,2.067711623047e-02,2.833870399926e-01
4.791666666667e+00,6.180078406379e-02,2.552404845115e-01
5.208333333333e+00,9.959360261133e-02,2.097488882442e-01
5.625000000000e+00,1.293904052284e-01,1.541782037416e-01
6.041666666667e+00,1.472799201124e-01,9.644128884211e-02
6.458333333333e+00,1.507772261193e-01,4.208609344810e-02
6.875000000000e+00,1.402272200389e-01,-6.805096557555e-03
7.291666666667e+00,1.195425466719e-01,-4.965039227896e-02
7.708333333333e+00,9.403874364285e-02,-8.452747387849e-02
8.125000000000e+00,6.674832996392e-02,-1.082373967684e-01
8.541666666667e+00,3.745975127185e-02,-1.190683203879e-01
8.958333333333e+00,5.121694382411e-03,-1.184878161885e-01
9.375000000000e+00,-2.978605581699e-02,-1.103114082522e-01
9.791666666667e+00,-6.503222205274e-02,-9.903356797458e-02
1.020833333333e+01,-9.780777472526e-02,-8.876878832023e-02
1.062500000000e+01,-1.258360931737e-01,-8.283059566759e-02
1.104166666667e+01,-1.477780767920e-01,-8.349604504185e-02
1.145833333333e+01,-1.631223819416e-01,-9.173283472099e-02
1.187500000000e+01,-1.720390029055e-01,-1.069936586483e-01
1.229166666667e+01,-1.754141634289e-01,-1.273691730713e-01
1.270833333333e+01,-1.748247725071e-01,-1.502384552750e-01
1.312500000000e+01,-1.721303317298e-01,-1.731184797585e-01
1.354166666667e+01,-1.687785659171e-01,-1.942285790654e-01
1.395833333333e+01,-1.652594805400e-01,-2.126084185562e-01
1.437500000000e+01,-1.610122305167e-01,-2.279880811019e-01
1.479166666667e+01,-1.547550684339e-01,-2.406102766506e-01
1.520833333333e+01,-1.450182045911e-01,-2.510268372052e-01
1.562500000000e+01,-1.306693173342e-01,-2.598323298034e-01
1.604166666667e+01,-1.113367566595e-01,-2.673902225956e-01
1.645833333333e+01,-8.771769148337e-02,-2.737145660053e-01
1.687500000000e+01,-6.168870763420e-02,-2.786450463150e-01
1.729166666667e+01,-3.601827121355e-02,-2.822190210342e-01
1.770833333333e+01,-1.362332593697e-02,-2.848778558261e-01
1.812500000000e+01,3.311741818253e-03,-2.872382980381e-01
1.854166666667e+01,1.392719725183e-02,-2.896140250295e-01
1.895833333333e+01,1.885815582212e-02,-2.917415946666e-01
1.937500000000e+01,2.008511459212e-02,-2.929535843098e-01
1.979166666667e+01,2.053349486898e-02,-2.926365448439e-01
2.020833333333e+01,2.344758350380e-02,-2.905863966477e-01
2.062500000000e+01,3.165347195816e-02,-2.869732444526e-01
2.104166666667e+01,4.687951986042e-02,-2.819671092953e-01
2.145833333333e+01,6.922764328804e-02,-2.754062281447e-01
2.187500000000e+01,9.688538008240e-02,-2.669342259851e-01
2.229166666667e+01,1.263448743137e-01,-2.566352217155e-01
2.270833333333e+01,1.533282803557e-01,-2.455670613186e-01
2.312500000000e+01,1.739941261227e-01,-2.354833331821e-01
2.354166666667e+01,1.856191680892e-01,-2.278219372007e-01
2.395833333333e+01,1.865736356361e-01,-2.227589793198e-01
2.437500000000e+01,1.761341160691e-01,-2.189393160189e-01
2.479166666667e+01,1.545225317971e-01,-2.139576928063e-01
2.520833333333e+01,1.230064968065e-01,-2.053580518405e-01
2.562500000000e+01,8.375213758250e-02,-1.917084895929e-01
2.604166666667e+01,3.942764379544e-02,-1.731690757752e-01
2.645833333333e+01,-7.194944278411e-03,-1.511667962473e-01
2.687500000000e+01,-5.356185746459e-02,-1.273875515279e-01
2.729166666667e+01,-9.774493906911e-02,-1.029166522995e-01
2.770833333333e+01,-1.387701614963e-01,-7.826957612945e-02
2.812500000000e+01,-1.762722500232e-01,-5.392564278614e-02
2.854166666667e+01,-2.095569744373e-01,-3.025001254853e-02
2.895833333333e+01,-2.371346561977e-01,-6.872957334366e-03
2.937500000000e+01,-2.572193329714e-01,1.722339594158e-02
2.979166666667e+01,-2.685876348540e-01,4.262389201980e-02
3.020833333333e+01,-2.712382557668e-01,6.849327341180e-02
3.062500000000e+01,-2.667294056068e-01,9.262471584335e-02
3.104166666667e+01,-2.580539796519e-01,1.124171058509e-01
3.145833333333e+01,-2.489179000055e-01,1.259660228608e-01
3.187500000000e+01,-2.426469948455e-01,1.325555382291e-01
3.229166666667e+01,-2.412399043031e-01,1.324757551634e-01
3.270833333333e+01,-2.449707748979e-01,1.266042484295e-01
3.312500000000e+01,-2.526234123858e-01,1.161524245340e-01
3.354166666667e+01,-2.621800750548e-01,1.025776950513e-01
3.395833333333e+01,-2.716236737479e-01,8.741567525738e-02
3.437500000000e+01,-2.794902476172e-01,7.193847228406e-02
3.479166666667e+01,-2.850270785396e-01,5.680693742516e-02
3.520833333333e+01,-2.880867937578e-01,4.190280717859e-02
3.562500000000e+01,-2.889345233448e-01,2.638265685164e-02
3.604166666667e+01,-2.880155323950e-01,8.918335927477e-03
3.645833333333e+01,-2.856582365661e-01,-1.191740165143e-02
3.687500000000e+01,-2.817530251362e-01,-3.716740699280e-02
3.729166666667e+01,-2.755729634405e-01,-6.697670816631e-02
3.770833333333e+01,-2.659505355514e-01,-1.001842032888e-01
3.812500000000e+01,-2.518610731948e-01,-1.342694348079e-01
3.854166666667e+01,-2.331032204005e-01,-1.658834199266e-01
3.895833333333e+01,-2.105430498890e-01,-1.918318220295e-01
3.937500000000e+01,-1.856920621922e-01,-2.099464035947e-01
3.979166666667e+01,-1.599817239515e-01,-2.193762745088e-01
4.020833333333e+01,-1.342513542724e-01,-2.203921820857e-01
4.062500000000e+01,-1.085945538349e-01,-2.140718980130e-01
4.104166666667e+01,-8.242787298022e-02,-2.020037562197e-01
4.145833333333e+01,-5.471213284931e-02,-1.859169185103e-01
4.187500000000e+01,-2.439365937028e-02,-1.672428623283e-01
4.229166666667e+01,8.917560630539e-03,-1.468747526903e-01
4.270833333333e+01,4.430073078467e-02,-1.254695460790e-01
4.312500000000e+01,7.947288596912e-02,-1.042351160153e-01
4.354166666667e+01,1.116552367857e-01,-8.545352315785e-02
4.395833333333e+01,1.387458662567e-01,-7.194372240238e-02
4.437500000000e+01,1.596752706434e-01,-6.573266479097e-02
