time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,6.600454260758e-23,1.077935983723e-06
6.250000000000e-01,1.748779988068e-21,2.855974456122e-05
1.041666666667e+00,7.796857787091e-21,1.273323507238e-04
1.458333333333e+00,2.022447263544e-20,3.302907034016e-04
1.875000000000e+00,3.990101633953e-20,6.516330482766e-04
2.291666666667e+00,6.644641205560e-20,1.085152259441e-03
2.708333333333e+00,9.838530372983e-20,1.606753944049e-03
3.125000000000e+00,1.335230617942e-19,2.180597081332e-03
3.541666666667e+00,1.694594881107e-19,2.767483461006e-03
3.958333333333e+00,2.041281086987e-19,3.333665001874e-03
4.375000000000e+00,2.362460085966e-19,3.858190112629e-03
4.791666666667e+00,2.655815204850e-19,4.337275378827e-03
5.208333333333e+00,2.929892712465e-19,4.784877916644e-03
5.625000000000e+00,3.202142935293e-19,5.229496271941e-03
6.041666666667e+00,3.495172305489e-19,5.708049550160e-03
6.458333333333e+00,3.832098848016e-19,6.258292351206e-03
6.875000000000e+00,4.232064874254e-19,6.911486441970e-03
7.291666666667e+00,4.706880775046e-19,7.686919654422e-03
7.708333333333e+00,5.259478259112e-19,8.589379832249e-03
8.125000000000e+00,5.884414144501e-19,9.609977584717e-03
8.541666666667e+00,6.570191202320e-19,1.072993651213e-02
8.958333333333e+00,7.302760416885e-19,1.192631283072e-02
9.375000000000e+00,8.069329183629e-19,1.317821463176e-02
9.791666666667e+00,8.861571910901e-19,1.447204519225e-02
1.020833333333e+01,9.677521983711e-19,1.580459278618e-02
1.062500000000e+01,1.052176681850e-18,1.718334923314e-02
1.104166666667e+01,1.140398465709e-18,1.862412030151e-02
1.145833333333e+01,1.233625208895e-18,2.014662855860e-02
1.187500000000e+01,1.332982390134e-18,2.176925446688e-02
1.229166666667e+01,1.439218144177e-18,2.350421599402e-02
1.270833333333e+01,1.552504621216e-18,2.535432456602e-02
1.312500000000e+01,1.672379268056e-18,2.731202611595e-02
1.354166666667e+01,1.797833717852e-18,2.936085276349e-02
1.395833333333e+01,1.927521764309e-18,3.147881929142e-02
1.437500000000e+01,2.060029968770e-18,3.364284249474e-02
1.479166666667e+01,2.194141316237e-18,3.583304701019e-02
1.520833333333e+01,2.329026725937e-18,3.803589292127e-02
1.562500000000e+01,2.464319514066e-18,4.024539182696e-02
1.604166666667e+01,2.600058641577e-18,4.246218000794e-02
1.645833333333e+01,2.736519888419e-18,4.469076129254e-02
1.687500000000e+01,2.873981680972e-18,4.693568272865e-02
