time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,-1.233277902221e-05,1.077935983721e-06
6.250000000000e-01,-1.075462336253e-04,2.855974455392e-05
1.041666666667e+00,-2.803927064339e-04,1.273323503090e-04
1.458333333333e+00,-4.994263802970e-04,3.302906974752e-04
1.875000000000e+00,-7.259521983325e-04,6.516330075450e-04
2.291666666667e+00,-9.220980125083e-04,1.085152085240e-03
2.708333333333e+00,-1.058590426374e-03,1.606753414191e-03
3.125000000000e+00,-1.120565726508e-03,2.180595838973e-03
3.541666666667e+00,-1.110200118924e-03,2.767481087711e-03
3.958333333333e+00,-1.045660160660e-03,3.333661139418e-03
4.375000000000e+00,-9.566906941759e-04,3.858184517053e-03
4.791666666667e+00,-8.778888267659e-04,4.337267792048e-03
5.208333333333e+00,-8.411954090548e-04,4.784867738964e-03
5.625000000000e+00,-8.692658495602e-04,5.229482134666e-03
6.041666666667e+00,-9.711377126847e-04,5.708028932244e-03
6.458333333333e+00,-1.141056875782e-03,6.258261340240e-03
6.875000000000e+00,-1.360590269085e-03,6.911439661151e-03
7.291666666667e+00,-1.603412486045e-03,7.686850324456e-03
7.708333333333e+00,-1.841574754127e-03,8.589279926213e-03
8.125000000000e+00,-2.051775725752e-03,9.609838028411e-03
8.541666666667e+00,-2.220212296322e-03,1.072974732882e-02
8.958333333333e+00,-2.344971401471e-03,1.192606301544e-02
9.375000000000e+00,-2.435532229518e-03,1.317789143739e-02
9.791666666667e+00,-2.509634360237e-03,1.447163254268e-02
1.020833333333e+01,-2.588368812460e-03,1.580406878238e-02
1.062500000000e+01,-2.690728042457e-03,1.718268312723e-02
1.104166666667e+01,-2.828925986472e-03,1.862326969539e-02
1.145833333333e+01,-3.005562664175e-03,2.014553773563e-02
1.187500000000e+01,-3.213225829914e-03,2.176785459041e-02
1.229166666667e+01,-3.436517023555e-03,2.350242744729e-02
1.270833333333e+01,-3.655909178239e-03,2.535206108492e-02
1.312500000000e+01,-3.852425568089e-03,2.730919971633e-02
1.354166666667e+01,-4.011970365552e-03,2.935737793181e-02
1.395833333333e+01,-4.128269860061e-03,3.147461468251e-02
1.437500000000e+01,-4.203760488192e-03,3.363782869983e-02
1.479166666667e+01,-4.248286185658e-03,3.582713999298e-02
1.520833333333e+01,-4.276010542356e-03,3.802899438006e-02
1.562500000000e+01,-4.301375717343e-03,4.023737955711e-02
1.604166666667e+01,-4.335148978658e-03,4.245290255597e-02
1.645833333333e+01,-4.381543891826e-03,4.468004109440e-02
1.687500000000e+01,-4.437106921759e-03,4.692333019980e-02
1.729166666667e+01,-4.491600827721e-03,4.918349214405e-02
1.770833333333e+01,-4.530611248416e-03,5.145450629557e-02
1.812500000000e+01,-4.539178447863e-03,5.372235523995e-02
1.854166666667e+01,-4.505515895182e-03,5.596574518742e-02
1.895833333333e+01,-4.423876988594e-03,5.815859576953e-02
1.937500000000e+01,-4.295865837776e-03,6.027365404650e-02
1.979166666667e+01,-4.129894166475e-03,6.228631887145e-02
2.020833333333e+01,-3.938959114430e-03,6.417772855175e-02
2.062500000000e+01,-3.737336470698e-03,6.593637068850e-02
2.104166666667e+01,-3.537046631197e-03,6.755786192729e-02
2.145833333333e+01,-3.344993348329e-03,6.904301614285e-02
2.187500000000e+01,-3.161490994203e-03,7.039475253666e-02
2.229166666667e+01,-2.980534117367e-03,7.161468178271e-02
2.270833333333e+01,-2.791716647574e-03,7.270027836949e-02
2.312500000000e+01,-2.583290297523e-03,7.364338553544e-02
2.354166666667e+01,-2.345567302744e-03,7.443044902291e-02
2.395833333333e+01,-2.073791992556e-03,7.504442773033e-02
2.437500000000e+01,-1.769747376960e-03,7.546789765329e-02
2.479166666667e+01,-1.441689507416e-03,7.568655965975e-02
2.520833333333e+01,-1.102630196256e-03,7.569225844441e-02
2.562500000000e+01,-7.674093189092e-04,7.548474458407e-02
2.604166666667e+01,-4.493054035460e-04,7.507173150565e-02
2.645833333333e+01,-1.570503717234e-04,7.446723281353e-02
2.687500000000e+01,1.069882265122e-04,7.368860275105e-02
2.729166666667e+01,3.469906962803e-04,7.275303261238e-02
2.770833333333e+01,5.721838287604e-04,7.167439456409e-02
2.812500000000e+01,7.940351611454e-04,7.046123557082e-02
2.854166666667e+01,1.022860014218e-03,6.911642942162e-02
2.895833333333e+01,1.264714575294e-03,6.763856817010e-02
2.937500000000e+01,1.519382751857e-03,6.602472369892e-02
2.979166666667e+01,1.779992041864e-03,6.427385058714e-02
3.020833333333e+01,2.034381532907e-03,6.238992575857e-02
3.062500000000e+01,2.267896616298e-03,6.038397536062e-02
3.104166666667e+01,2.466913631751e-03,5.827441365323e-02
3.145833333333e+01,2.622198866166e-03,5.608554520526e-02
3.187500000000e+01,2.731233259798e-03,5.384455365578e-02
3.229166666667e+01,2.798883717594e-03,5.157769776115e-02
3.270833333333e+01,2.836214518730e-03,4.930665537920e-02
3.312500000000e+01,2.857705883369e-03,4.704593874033e-02
3.354166666667e+01,2.877561703111e-03,4.480204948122e-02
3.395833333333e+01,2.906037708862e-03,4.257460976836e-02
3.437500000000e+01,2.946737888141e-03,4.035920319460e-02
3.479166666667e+01,2.995601532555e-03,3.815121297121e-02
3.520833333333e+01,3.041887855553e-03,3.594967056686e-02
3.562500000000e+01,3.070960807369e-03,3.376009954962e-02
3.604166666667e+01,3.068209299407e-03,3.159557046715e-02
3.645833333333e+01,3.023126873672e-03,2.947562126828e-02
3.687500000000e+01,2.932502805878e-03,2.742323830618e-02
3.729166666667e+01,2.801868572840e-03,2.546060104698e-02
3.770833333333e+01,2.644758707486e-03,2.360463930136e-02
3.812500000000e+01,2.479885298932e-03,2.186354231609e-02
3.854166666667e+01,2.326858641254e-03,2.023516311893e-02
3.895833333333e+01,2.201478729000e-03,1.870781889451e-02
