time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,1.402044014662e-06,-2.416997142077e-06
6.250000000000e-01,8.606887793656e-06,-2.426218113817e-05
1.041666666667e+00,1.185089486907e-05,-7.476354276591e-05
1.458333333333e+00,-3.177508849326e-06,-1.594660681351e-04
1.875000000000e+00,-5.359600640121e-05,-2.776961244102e-04
2.291666666667e+00,-1.561347879634e-04,-4.179570867289e-04
2.708333333333e+00,-3.207187100990e-04,-5.561551469965e-04
3.125000000000e+00,-5.431226594027e-04,-6.589051902759e-04
3.541666666667e+00,-8.004060579211e-04,-6.921467861835e-04
3.958333333333e+00,-1.052397178400e-03,-6.325142403670e-04
4.375000000000e+00,-1.250125029138e-03,-4.768015544581e-04
4.791666666667e+00,-1.348749312516e-03,-2.447136582616e-04
5.208333333333e+00,-1.319799088159e-03,2.775465869221e-05
5.625000000000e+00,-1.156877318413e-03,3.033491098177e-04
6.041666666667e+00,-8.710954225323e-04,5.625886860330e-04
6.458333333333e+00,-4.767911345005e-04,8.207605355263e-04
6.875000000000e+00,2.721294533525e-05,1.137668890394e-03
7.291666666667e+00,6.726803468260e-04,1.617442380309e-03
7.708333333333e+00,1.525820110595e-03,2.398242790155e-03
8.125000000000e+00,2.676554107254e-03,3.633158241056e-03
8.541666666667e+00,4.215886207906e-03,5.464330903469e-03
8.958333333333e+00,6.209159019918e-03,7.993833886395e-03
9.375000000000e+00,8.674310284357e-03,1.125733365361e-02
9.791666666667e+00,1.157099029619e-02,1.520835179372e-02
1.020833333333e+01,1.480075759182e-02,1.971947349096e-02
1.062500000000e+01,1.821434835146e-02,2.460177109690e-02
1.104166666667e+01,2.162158407403e-02,2.963759980341e-02
1.145833333333e+01,2.480203948059e-02,3.461800666884e-02
1.187500000000e+01,2.751752978410e-02,3.937555638473e-02
1.229166666667e+01,2.952885063194e-02,4.380563331253e-02
1.270833333333e+01,3.061854555442e-02,4.787289206482e-02
1.312500000000e+01,3.061904862811e-02,5.160335565370e-02
1.354166666667e+01,2.944204680610e-02,5.506549856698e-02
1.395833333333e+01,2.710194102938e-02,5.834456381917e-02
1.437500000000e+01,2.372601417275e-02,6.151380026975e-02
1.479166666667e+01,1.954714951952e-02,6.460614846496e-02
1.520833333333e+01,1.487982238448e-02,6.759140005717e-02
1.562500000000e+01,1.008343744399e-02,7.036558863811e-02
1.604166666667e+01,5.517515679156e-03,7.275812865586e-02
1.645833333333e+01,1.492689271120e-03,7.455660372194e-02
1.687500000000e+01,-1.776832535074e-03,7.554225821692e-02
1.729166666667e+01,-4.209465409961e-03,7.552707451722e-02
1.770833333333e+01,-5.869258753762e-03,7.438833607181e-02
1.812500000000e+01,-6.949192825514e-03,7.210316919819e-02
1.854166666667e+01,-7.728845404772e-03,6.878420973472e-02
1.895833333333e+01,-8.517196960546e-03,6.470636849289e-02
1.937500000000e+01,-9.589313895501e-03,6.030413939974e-02
1.979166666667e+01,-1.112210364140e-02,5.612143737865e-02
2.020833333333e+01,-1.313881292616e-02,5.271312299878e-02
