time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,3.259874588043e-04,-5.101742260245e-04
6.250000000000e-01,2.074474419475e-03,-4.969799832933e-03
1.041666666667e+00,3.261977429283e-03,-1.426311670287e-02
1.458333333333e+00,1.648508698140e-03,-2.767441857407e-02
1.875000000000e+00,-4.291050095092e-03,-4.348628493766e-02
2.291666666667e+00,-1.498997837693e-02,-5.937194302267e-02
2.708333333333e+00,-2.969596894993e-02,-7.293622637862e-02
3.125000000000e+00,-4.667307664675e-02,-8.226299391767e-02
3.541666666667e+00,-6.362298488338e-02,-8.632289113751e-02
3.958333333333e+00,-7.819524177265e-02,-8.514468005966e-02
4.375000000000e+00,-8.845925047185e-02,-7.973318894722e-02
4.791666666667e+00,-9.325573968685e-02,-7.178686515908e-02
5.208333333333e+00,-9.239060830845e-02,-6.330056135214e-02
5.625000000000e+00,-8.665337488053e-02,-5.613757275939e-02
6.041666666667e+00,-7.764955909345e-02,-5.164111248278e-02
6.458333333333e+00,-6.746058053139e-02,-5.034584157050e-02
6.875000000000e+00,-5.819169534205e-02,-5.184323662592e-02
7.291666666667e+00,-5.151267436026e-02,-5.483842404162e-02
7.708333333333e+00,-4.830748610577e-02,-5.740255836430e-02
8.125000000000e+00,-4.851817442867e-02,-5.737766692735e-02
8.541666666667e+00,-5.120733988017e-02,-5.284557710906e-02
8.958333333333e+00,-5.480021362218e-02,-4.254967881376e-02
9.375000000000e+00,-5.742989574932e-02,-2.617100914281e-02
9.791666666667e+00,-5.731017487474e-02,-4.403460339235e-03
1.020833333333e+01,-5.308264506641e-02,2.117331643140e-02
1.062500000000e+01,-4.409700754699e-02,4.838063899999e-02
1.104166666667e+01,-3.057499525976e-02,7.481887390664e-02
1.145833333333e+01,-1.360485431844e-02,9.826094202138e-02
1.187500000000e+01,5.054852767563e-03,1.169931938911e-01
1.229166666667e+01,2.332230204865e-02,1.300551259146e-01
1.270833333333e+01,3.920032281254e-02,1.373513448080e-01
1.312500000000e+01,5.114694489431e-02,1.396239554462e-01
1.354166666667e+01,5.833731567908e-02,1.382833004885e-01
1.395833333333e+01,6.077942724179e-02,1.351128862269e-01
