# ==========================================================================
# X(pi) gate for the Novera transmon  --  arm A: Gaussian (planar baseline)
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = -0.000000 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . X(pi),
#   so psi = -phi_vz/2 leaves exactly X(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 1.7483e-03 with no virtual Z,
#   matching the canonical file's 1.7483e-03.
# 
# -- conventions ------------------------------------------------------------
#   target = X(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 0.0 deg in the equatorial plane
#   provenance: solved independently on this device
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.0961 MHz  (48.19 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 1.7483e-03
#   leakage 1 - tr(B^dag B)/2       = 1.0088e-05
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     5.22e-03  5.48e-03  5.79e-03  6.13e-03  6.51e-03
#     eps=-0.02     1.76e-03  2.06e-03  2.39e-03  2.76e-03  3.17e-03
#     eps=+0.00     1.09e-03  1.40e-03  1.75e-03  2.14e-03  2.57e-03
#     eps=+0.02     1.72e-03  2.05e-03  2.42e-03  2.82e-03  3.27e-03
#     eps=+0.05     5.11e-03  5.47e-03  5.86e-03  6.30e-03  6.77e-03
# 
# -- provenance ------------------------------------------------------------
#   run_id = None   status = None
#   git_commit = db5b96306191483a71fd79b71186c0ca9d4f0c9e
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,6.862353605843e-06,-2.369416414173e-16,3.431176802921e-04,-1.184708207086e-14,3.431176802921e-04,-3.452775170541e-11,2.155871967445e-06,-7.443741200061e-17
6.250000000000e-01,1.818169808144e-04,-6.277731569387e-15,9.090849040719e-03,-3.138865784693e-13,9.090849040719e-03,-3.452775170541e-11,5.711948912243e-05,-1.972207537959e-15
1.041666666667e+00,8.106229213282e-04,-2.798898695434e-14,4.053114606641e-02,-1.399449347717e-12,4.053114606641e-02,-3.452775170541e-11,2.546647014476e-04,-8.792999579717e-15
1.458333333333e+00,2.102695924146e-03,-7.260136278092e-14,1.051347962073e-01,-3.630068139046e-12,1.051347962073e-01,-3.452775170541e-11,6.605814068032e-04,-2.280839079531e-14
1.875000000000e+00,4.148424828611e-03,-1.432357824508e-13,2.074212414305e-01,-7.161789122542e-12,2.074212414305e-01,-3.452775170541e-11,1.303266096553e-03,-4.499884818788e-14
2.291666666667e+00,6.908293843896e-03,-2.385278545501e-13,3.454146921948e-01,-1.192639272750e-11,3.454146921948e-01,-3.452775170541e-11,2.170304518882e-03,-7.493573555311e-14
2.708333333333e+00,1.022891330111e-02,-3.531813786769e-13,5.114456650555e-01,-1.765906893385e-11,5.114456650555e-01,-3.452775170541e-11,3.213507888097e-03,-1.109552024636e-13
3.125000000000e+00,1.388211217543e-02,-4.793181223400e-13,6.941056087716e-01,-2.396590611700e-11,6.941056087716e-01,-3.452775170541e-11,4.361194162665e-03,-1.505822291876e-13
3.541666666667e+00,1.761834690977e-02,-6.083219075603e-13,8.809173454884e-01,-3.041609537802e-11,8.809173454884e-01,-3.452775170541e-11,5.534966922012e-03,-1.911099635809e-13
3.958333333333e+00,2.122277054643e-02,-7.327745519281e-13,1.061138527321e+00,-3.663872759641e-11,1.061138527321e+00,-3.452775170541e-11,6.667330003749e-03,-2.302079149075e-13
4.375000000000e+00,2.456200111252e-02,-8.480706758014e-13,1.228100055626e+00,-4.240353379007e-11,1.228100055626e+00,-3.452775170541e-11,7.716380225257e-03,-2.664292604823e-13
4.791666666667e+00,2.761195264364e-02,-9.533786449813e-13,1.380597632182e+00,-4.766893224907e-11,1.380597632182e+00,-3.452775170541e-11,8.674550757653e-03,-2.995127347163e-13
5.208333333333e+00,3.046147890101e-02,-1.051766380074e-12,1.523073945050e+00,-5.258831900368e-11,1.523073945050e+00,-3.452775170541e-11,9.569755833288e-03,-3.304221532932e-13
5.625000000000e+00,3.329200726240e-02,-1.149498160531e-12,1.664600363120e+00,-5.747490802655e-11,1.664600363120e+00,-3.452775170541e-11,1.045899254388e-02,-3.611254976439e-13
6.041666666667e+00,3.633857205285e-02,-1.254689193170e-12,1.816928602643e+00,-6.273445965851e-11,1.816928602643e+00,-3.452775170541e-11,1.141609910032e-02,-3.941722351802e-13
6.458333333333e+00,3.984152652035e-02,-1.375638335259e-12,1.992076326017e+00,-6.878191676296e-11,1.992076326017e+00,-3.452775170541e-11,1.251658470241e-02,-4.321695288047e-13
