# ==========================================================================
# X(pi) gate for the Novera transmon  --  arm B: Gaussian + DRAG (standard baseline)
# ==========================================================================
# 
# *** THIS PULSE ALONE IS NOT THE TARGET GATE. READ THE NEXT 6 LINES. ***
# 
#   The pulse realises   W = R_z(phi_vz) . X(pi)   with
#       phi_vz = +0.135478040434 rad = +7.762320 deg
#   You MUST apply phi_vz as a virtual-Z (frame update) AFTER the pulse.
#   Playing this file without it gives 1 - Fbar = 3.0618e-03  (instead of 7.4553e-06).
#   Alternative: use the companion file *_vzfree.csv, which has the whole drive
#   phase pre-rotated by psi = -phi_vz/2 = -3.881160 deg and needs NO virtual Z.
# 
# -- conventions ------------------------------------------------------------
#   target = X(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 0.0 deg in the equatorial plane
#   provenance: solved independently on this device
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.0962 MHz  (48.19 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 7.4553e-06
#   leakage 1 - tr(B^dag B)/2       = 4.2721e-09
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.92e-03  3.82e-03  3.76e-03  3.74e-03  3.76e-03
#     eps=-0.02     6.36e-04  5.61e-04  5.25e-04  5.30e-04  5.74e-04
#     eps=+0.00     8.25e-05  2.50e-05  7.46e-06  2.98e-05  9.20e-05
#     eps=+0.02     8.43e-04  8.04e-04  8.05e-04  8.46e-04  9.27e-04
#     eps=+0.05     4.44e-03  4.43e-03  4.46e-03  4.53e-03  4.64e-03
# 
# -- provenance ------------------------------------------------------------
#   run_id = None   status = None
#   git_commit = db5b96306191483a71fd79b71186c0ca9d4f0c9e
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,6.862353605812e-06,7.911417748667e-05,3.431176802906e-04,3.955708874333e-03,3.970561980502e-03,1.484273016272e+00,2.155871967435e-06,2.485445187869e-05
6.250000000000e-01,1.818169806258e-04,6.899038570457e-04,9.090849031291e-03,3.449519285228e-02,3.567298510114e-02,1.313115669947e+00,5.711948906320e-05,2.167396888978e-04
1.041666666667e+00,8.106229106026e-04,1.798705575406e-03,4.053114553013e-02,8.993527877028e-02,9.864648055289e-02,1.147385243551e+00,2.546646980781e-04,5.650800221665e-04
1.458333333333e+00,2.102695770912e-03,3.203796009920e-03,1.051347885456e-01,1.601898004960e-01,1.916092271929e-01,9.899953281057e-01,6.605813586632e-04,1.006502200836e-03
1.875000000000e+00,4.148423775439e-03,4.656948741234e-03,2.074211887720e-01,2.328474370617e-01,3.118356594390e-01,8.430857558262e-01,1.303265765690e-03,1.463023595360e-03
2.291666666667e+00,6.908289339705e-03,5.915217839112e-03,3.454144669852e-01,2.957608919556e-01,4.547369120855e-01,7.081109291980e-01,2.170303103849e-03,1.858320490774e-03
2.708333333333e+00,1.022889960094e-02,6.790821566247e-03,5.114449800470e-01,3.395410783123e-01,6.138925895275e-01,5.860749416178e-01,3.213503584062e-03,2.133399514436e-03
3.125000000000e+00,1.388208005250e-02,7.188421150901e-03,6.941040026250e-01,3.594210575450e-01,7.816417741311e-01,4.778019057704e-01,4.361184070948e-03,2.258309107858e-03
3.541666666667e+00,1.761828554461e-02,7.121993610605e-03,8.809142772307e-01,3.560996805303e-01,9.501667992003e-01,3.841551169641e-01,5.534947643581e-03,2.237440280599e-03
3.958333333333e+00,2.122267067578e-02,6.708096042984e-03,1.061133533789e+00,3.354048021492e-01,1.112879489359e+00,3.061444999340e-01,6.667298628458e-03,2.107410524821e-03
4.375000000000e+00,2.456185642646e-02,6.137558549055e-03,1.228092821323e+00,3.068779274528e-01,1.265853877880e+00,2.448673230690e-01,7.716334770789e-03,1.928170884869e-03
4.791666666667e+00,2.761175646496e-02,5.632335485826e-03,1.380587823248e+00,2.816167742913e-01,1.409017652573e+00,2.012226459476e-01,8.674489126303e-03,1.769450378482e-03
5.208333333333e+00,3.046121571655e-02,5.397341794501e-03,1.523060785827e+00,2.698670897250e-01,1.546784536851e+00,1.753672188119e-01,9.569673151452e-03,1.695624933052e-03
5.625000000000e+00,3.329164167093e-02,5.577934977127e-03,1.664582083546e+00,2.788967488563e-01,1.687784615816e+00,1.660056883094e-01,1.045887768993e-02,1.752359954634e-03
6.041666666667e+00,3.633803884978e-02,6.232133511663e-03,1.816901942489e+00,3.116066755831e-01,1.843429247052e+00,1.698519357692e-01,1.141593158963e-02,1.957882485643e-03
6.458333333333e+00,3.984072451179e-02,7.323097797699e-03,1.992036225589e+00,3.661548898850e-01,2.025408039741e+00,1.817802759319e-01,1.251633274399e-02,2.300619024277e-03
6.875000000000e+00,4.399867935763e-02,8.732693976456e-03,2.199933967881e+00,4.366346988228e-01,2.242846254930e+00,1.959300111045e-01,1.382259278376e-02,2.743456724248e-03
