# ==========================================================================
# X(pi) gate for the Novera transmon  --  arm B: Gaussian + DRAG (standard baseline)
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = -3.881160 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . X(pi),
#   so psi = -phi_vz/2 leaves exactly X(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 7.4553e-06 with no virtual Z,
#   matching the canonical file's 7.4553e-06.
# 
# -- conventions ------------------------------------------------------------
#   target = X(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 0.0 deg in the equatorial plane
#   provenance: solved independently on this device
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.0962 MHz  (48.19 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 7.4553e-06
#   leakage 1 - tr(B^dag B)/2       = 4.2721e-09
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.92e-03  3.82e-03  3.76e-03  3.74e-03  3.76e-03
#     eps=-0.02     6.36e-04  5.61e-04  5.25e-04  5.30e-04  5.74e-04
#     eps=+0.00     8.25e-05  2.50e-05  7.46e-06  2.98e-05  9.20e-05
#     eps=+0.02     8.43e-04  8.04e-04  8.05e-04  8.46e-04  9.27e-04
#     eps=+0.05     4.44e-03  4.43e-03  4.46e-03  4.53e-03  4.64e-03
# 
# -- provenance ------------------------------------------------------------
#   run_id = None   status = None
#   git_commit = db5b96306191483a71fd79b71186c0ca9d4f0c9e
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,1.220163477051e-05,7.846824252735e-05,6.100817385255e-04,3.923412126367e-03,3.970561980502e-03,1.416533996054e+00,3.833256615682e-06,2.465152542640e-05
6.250000000000e-01,2.280976792547e-04,6.760149370606e-04,1.140488396274e-02,3.380074685303e-02,3.567298510114e-02,1.245376649729e+00,7.165899934475e-05,2.123763559987e-04
1.041666666667e+00,9.305132137932e-04,1.739711587921e-03,4.652566068966e-02,8.698557939603e-02,9.864648055289e-02,1.079646223334e+00,2.923293476521e-04,5.465465143976e-04
1.458333333333e+00,2.314729497310e-03,3.054122743518e-03,1.157364748655e-01,1.527061371759e-01,1.916092271929e-01,9.222563078885e-01,7.271937183798e-04,9.594809574197e-04
1.875000000000e+00,4.454125688230e-03,4.365473141889e-03,2.227062844115e-01,2.182736570945e-01,3.118356594390e-01,7.753467356090e-01,1.399304854031e-03,1.371453835200e-03
2.291666666667e+00,7.292830495575e-03,5.434048863237e-03,3.646415247787e-01,2.717024431618e-01,4.547369120855e-01,6.403719089808e-01,2.291110270877e-03,1.707156798799e-03
2.708333333333e+00,1.066509242410e-02,6.082881568468e-03,5.332546212052e-01,3.041440784234e-01,6.138925895275e-01,5.183359214007e-01,3.350537600942e-03,1.910993604816e-03
3.125000000000e+00,1.433680704777e-02,6.232295636584e-03,7.168403523884e-01,3.116147818292e-01,7.816417741311e-01,4.100628855532e-01,4.504040769720e-03,1.957933418689e-03
3.541666666667e+00,1.805994759177e-02,5.913127049488e-03,9.029973795887e-01,2.956563524744e-01,9.501667992003e-01,3.164160967469e-01,5.673699867854e-03,1.857663649842e-03
3.958333333333e+00,2.162805081009e-02,5.256207881202e-03,1.081402540505e+00,2.628103940601e-01,1.112879489359e+00,2.384054797169e-01,6.794652553646e-03,1.651286406533e-03
4.375000000000e+00,2.492096033653e-02,4.460958637115e-03,1.246048016827e+00,2.230479318558e-01,1.265853877880e+00,1.771283028518e-01,7.829150591366e-03,1.401451488233e-03
4.791666666667e+00,2.792966855437e-02,3.750454978851e-03,1.396483427718e+00,1.875227489426e-01,1.409017652573e+00,1.334836257305e-01,8.774364154760e-03,1.178240180918e-03
5.208333333333e+00,3.075668675531e-02,3.323128226888e-03,1.537834337766e+00,1.661564113444e-01,1.546784536851e+00,1.076281985947e-01,9.662498115925e-03,1.043991522453e-03
5.625000000000e+00,3.359284523364e-02,3.311723548794e-03,1.679642261682e+00,1.655861774397e-01,1.687784615816e+00,9.826666809224e-02,1.055350357992e-02,1.040408637161e-03
6.041666666667e+00,3.667653665916e-02,3.758219557755e-03,1.833826832958e+00,1.879109778877e-01,1.843429247052e+00,1.021129155520e-01,1.152227381275e-02,1.180679495322e-03
6.458333333333e+00,4.024503357409e-02,4.609594732633e-03,2.012251678705e+00,2.304797366317e-01,2.025408039741e+00,1.140412557147e-01,1.264335018198e-02,1.448146894807e-03
6.875000000000e+00,4.448886418129e-02,5.734517692034e-03,2.224443209065e+00,2.867258846017e-01,2.242846254930e+00,1.281909908873e-01,1.397658888785e-02,1.801551865318e-03
