# ==========================================================================
# X(pi) gate for the Novera transmon  --  arm C: Optimized 3D, unguarded
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = +3.857477 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . X(pi),
#   so psi = -phi_vz/2 leaves exactly X(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 9.2069e-05 with no virtual Z,
#   matching the canonical file's 9.2069e-05.
# 
# -- conventions ------------------------------------------------------------
#   target = X(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 0.0 deg in the equatorial plane
#   provenance: solved independently on this device
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 45.4667 MHz  (90.93 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 9.2069e-05
#   leakage 1 - tr(B^dag B)/2       = 9.1777e-05
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     8.88e-03  8.82e-03  8.74e-03  8.67e-03  8.59e-03
#     eps=-0.02     1.57e-03  1.54e-03  1.50e-03  1.47e-03  1.43e-03
#     eps=+0.00     1.07e-04  9.88e-05  9.21e-05  8.73e-05  8.45e-05
#     eps=+0.02     1.43e-03  1.46e-03  1.48e-03  1.51e-03  1.55e-03
#     eps=+0.05     8.72e-03  8.79e-03  8.87e-03  8.96e-03  9.05e-03
# 
# -- provenance ------------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armC_accepted   status = maxiter
#   git_commit = db5b96306191483a71fd79b71186c0ca9d4f0c9e
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,1.336596936209e-03,-3.450078733386e-03,6.682984681044e-02,-1.725039366693e-01,1.849968556249e-01,-1.201189803170e+00,4.199043115604e-04,-1.083874200311e-03
6.250000000000e-01,6.445893300433e-03,-3.235606611863e-02,3.222946650217e-01,-1.617803305931e+00,1.649594310060e+00,-1.374153322579e+00,2.025037103847e-03,-1.016495796173e-02
1.041666666667e+00,2.143737554460e-03,-8.981104931376e-02,1.071868777230e-01,-4.490552465688e+00,4.491831527768e+00,-1.546931439578e+00,6.734750152315e-04,-2.821497327353e-02
1.458333333333e+00,-2.548124752442e-02,-1.687638639719e-01,-1.274062376221e+00,-8.438193198595e+00,8.533834975866e+00,-1.720651983254e+00,-8.005170002703e-03,-5.301873152456e-02
1.875000000000e+00,-8.637947463067e-02,-2.564298325684e-01,-4.318973731533e+00,-1.282149162842e+01,1.352938216148e+01,-1.895712336951e+00,-2.713691229207e-02,-8.055980781582e-02
2.291666666667e+00,-1.839468156008e-01,-3.367919740531e-01,-9.197340780042e+00,-1.683959870266e+01,1.918757832273e+01,-2.070696898220e+00,-5.778859645428e-02,-1.058063191473e-01
2.708333333333e+00,-3.133007861228e-01,-3.938834032170e-01,-1.566503930614e+01,-1.969417016085e+01,2.516453446395e+01,-2.242735307207e+00,-9.842634480473e-02,-1.237421205917e-01
3.125000000000e+00,-4.614374650576e-01,-4.153969041510e-01,-2.307187325288e+01,-2.076984520755e+01,3.104348249380e+01,-2.408654019832e+00,-1.449648550316e-01,-1.305007862405e-01
3.541666666667e+00,-6.098657411328e-01,-3.959183859233e-01,-3.049328705664e+01,-1.979591929616e+01,3.635545318517e+01,-2.565787472810e+00,-1.915949732019e-01,-1.243814292638e-01
3.958333333333e+00,-7.392770482145e-01,-3.387025314889e-01,-3.696385241072e+01,-1.693512657444e+01,4.065863865323e+01,-2.711978814899e+00,-2.322507343638e-01,-1.064065384678e-01
4.375000000000e+00,-8.347550219104e-01,-2.550159943682e-01,-4.173775109552e+01,-1.275079971841e+01,4.364198391424e+01,-2.845099481024e+00,-2.622460244381e-01,-8.011563744549e-02
4.791666666667e+00,-8.896065663578e-01,-1.609501261733e-01,-4.448032831789e+01,-8.047506308666e+00,4.520245529897e+01,-2.962606003145e+00,-2.794781453455e-01,-5.056397339805e-02
5.208333333333e+00,-9.064187584472e-01,-7.276438269945e-02,-4.532093792236e+01,-3.638219134972e+00,4.546673567166e+01,-3.061487650292e+00,-2.847598512614e-01,-2.285960501316e-02
5.625000000000e+00,-8.951668811727e-01,-2.454798405913e-03,-4.475834405863e+01,-1.227399202957e-01,4.475851235194e+01,-3.138850380273e+00,-2.812249697629e-01,-7.711976638061e-04
6.041666666667e+00,-8.694133310180e-01,4.501779906234e-02,-4.347066655090e+01,2.250889953117e+00,4.352890253568e+01,3.089859341737e+00,-2.731342533659e-01,1.414275868150e-02
6.458333333333e+00,-8.421765046684e-01,7.222476463837e-02,-4.210882523342e+01,3.611238231919e+00,4.226339082594e+01,3.056042323876e+00,-2.645775520092e-01,2.269007899952e-02
