# ==========================================================================
# X(pi) gate for the Novera transmon  --  arm D: Optimized 3D + fluence cap
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = -72.601003 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . X(pi),
#   so psi = -phi_vz/2 leaves exactly X(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 6.8057e-06 with no virtual Z,
#   matching the canonical file's 6.8057e-06.
# 
# -- conventions ------------------------------------------------------------
#   target = X(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 0.0 deg in the equatorial plane
#   provenance: solved independently on this device
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.2283 MHz  (48.46 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 6.8057e-06
#   leakage 1 - tr(B^dag B)/2       = 6.2242e-06
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.90e-03  3.73e-03  3.65e-03  3.66e-03  3.75e-03
#     eps=-0.02     7.81e-04  6.34e-04  5.76e-04  6.08e-04  7.29e-04
#     eps=+0.00     1.80e-04  4.86e-05  6.81e-06  5.50e-05  1.93e-04
#     eps=+0.02     7.51e-04  6.35e-04  6.09e-04  6.74e-04  8.30e-04
#     eps=+0.05     3.77e-03  3.67e-03  3.67e-03  3.76e-03  3.95e-03
# 
# -- provenance ------------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armD_accepted   status = maxiter
#   git_commit = db5b96306191483a71fd79b71186c0ca9d4f0c9e
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,-1.891430799813e-03,8.331295411853e-04,-9.457153999063e-02,4.165647705927e-02,1.033394322473e-01,2.726687202339e+00,-5.942105105465e-04,2.617353646076e-04
6.250000000000e-01,-1.593433413084e-02,1.004249734160e-02,-7.967167065420e-01,5.021248670799e-01,9.417467242434e-01,2.579232205882e+00,-5.005918704529e-03,3.154943587206e-03
1.041666666667e+00,-3.961420362593e-02,3.285725015913e-02,-1.980710181297e+00,1.642862507956e+00,2.573365508889e+00,2.449161793695e+00,-1.244516910890e-02,1.032240957171e-02
1.458333333333e+00,-6.562711961739e-02,7.014220024384e-02,-3.281355980870e+00,3.507110012192e+00,4.802823930856e+00,2.322951211962e+00,-2.061736768663e-02,2.203582209927e-02
1.875000000000e+00,-8.504988742107e-02,1.198097413885e-01,-4.252494371054e+00,5.990487069424e+00,7.346403453717e+00,2.188118814727e+00,-2.671921015107e-02,3.763934033746e-02
2.291666666667e+00,-8.971274207230e-02,1.775913329796e-01,-4.485637103615e+00,8.879566648978e+00,9.948248292990e+00,2.038566569432e+00,-2.818408914277e-02,5.579196270298e-02
2.708333333333e+00,-7.458340362356e-02,2.368542411642e-01,-3.729170181178e+00,1.184271205821e+01,1.241597918546e+01,1.875858505207e+00,-2.343106729035e-02,7.440995440131e-02
3.125000000000e+00,-3.910316854142e-02,2.884823563410e-01,-1.955158427071e+00,1.442411781705e+01,1.455602347055e+01,1.705523078063e+00,-1.228462270218e-02,9.062940513712e-02
3.541666666667e+00,1.240918452247e-02,3.223162114084e-01,6.204592261237e-01,1.611581057042e+01,1.612774999784e+01,1.532315299937e+00,3.898460293284e-03,1.012586241893e-01
3.958333333333e+00,7.115246168598e-02,3.302968645219e-01,3.557623084299e+00,1.651484322610e+01,1.689368902260e+01,1.358619015285e+00,2.235320509175e-02,1.037658203086e-01
4.375000000000e+00,1.256229840928e-01,3.098626949705e-01,6.281149204641e+00,1.549313474853e+01,1.671795620484e+01,1.185630581260e+00,3.946562439480e-02,9.734623661409e-02
4.791666666667e+00,1.649063721955e-01,2.655819485467e-01,8.245318609775e+00,1.327909742734e+01,1.563072958826e+01,1.015132986339e+00,5.180686474195e-02,8.343502984805e-02
5.208333333333e+00,1.821108335626e-01,2.078760742920e-01,9.105541678129e+00,1.039380371460e+01,1.381817806043e+01,8.513692281381e-01,5.721180568593e-02,6.530619478528e-02
5.625000000000e+00,1.759643646268e-01,1.494660103003e-01,8.798218231342e+00,7.473300515015e+00,1.154378034415e+01,7.041518330734e-01,5.528083552053e-02,4.695613199208e-02
6.041666666667e+00,1.498462190607e-01,1.014232742932e-01,7.492310953036e+00,5.071163714660e+00,9.047177727771e+00,5.950188718590e-01,4.707557809694e-02,3.186306134225e-02
6.458333333333e+00,1.094162747832e-01,7.050554634202e-02,5.470813739161e+00,3.525277317101e+00,6.508254998927e+00,5.724135501655e-01,3.437413650421e-02,2.214997064254e-02
