# ==========================================================================
# X(pi) gate for the Novera transmon  --  arm E: Optimized 3D, exact-gate arm
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = -86.827842 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . X(pi),
#   so psi = -phi_vz/2 leaves exactly X(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 3.4575e-08 with no virtual Z,
#   matching the canonical file's 3.4575e-08.
# 
# -- conventions ------------------------------------------------------------
#   target = X(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 0.0 deg in the equatorial plane
#   provenance: solved independently on this device
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 25.2790 MHz  (50.56 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 3.4575e-08
#   leakage 1 - tr(B^dag B)/2       = 3.3704e-08
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     4.29e-03  4.04e-03  3.80e-03  3.57e-03  3.34e-03
#     eps=-0.02     8.23e-04  7.09e-04  6.06e-04  5.15e-04  4.36e-04
#     eps=+0.00     2.51e-05  6.31e-06  3.46e-08  6.77e-06  2.70e-05
#     eps=+0.02     4.34e-04  5.13e-04  6.06e-04  7.12e-04  8.34e-04
#     eps=+0.05     3.29e-03  3.52e-03  3.76e-03  4.02e-03  4.30e-03
# 
# -- provenance ------------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armE_accepted   status = maxiter
#   git_commit = db5b96306191483a71fd79b71186c0ca9d4f0c9e
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,-1.564027014812e-03,-1.125922972175e-03,-7.820135074060e-02,-5.629614860875e-02,9.635718761895e-02,-2.517643916997e+00,-4.913535779749e-04,-3.537191337893e-04
6.250000000000e-01,-1.542972539960e-02,-7.468524800311e-03,-7.714862699798e-01,-3.734262400156e-01,8.571103904980e-01,-2.690798545430e+00,-4.847391196228e-03,-2.346306264581e-03
1.041666666667e+00,-4.475677815969e-02,-1.287960633828e-02,-2.237838907985e+00,-6.439803169138e-01,2.328654896429e+00,-2.861394529368e+00,-1.406075654648e-02,-4.046247665345e-03
1.458333333333e+00,-8.766506578123e-02,-1.011392475164e-02,-4.383253289061e+00,-5.056962375822e-01,4.412327966139e+00,-3.026730402745e+00,-2.754079266348e-02,-3.177383169873e-03
1.875000000000e+00,-1.389648810667e-01,5.978192098248e-03,-6.948244053334e+00,2.989096049124e-01,6.954670544073e+00,3.098599717175e+00,-4.365710494660e-02,1.878104437760e-03
2.291666666667e+00,-1.913375427244e-01,3.718364225395e-02,-9.566877136222e+00,1.859182112697e+00,9.745855337924e+00,2.949649789115e+00,-6.011046185790e-02,1.168158573387e-02
2.708333333333e+00,-2.370381688211e-01,8.153331363489e-02,-1.185190844106e+01,4.076665681744e+00,1.253343276106e+01,2.810302499756e+00,-7.446773697888e-02,2.561444591382e-02
3.125000000000e+00,-2.696710672522e-01,1.338474987002e-01,-1.348355336261e+01,6.692374935012e+00,1.505304266762e+01,2.680880419822e+00,-8.471966437653e-02,4.204943186180e-02
3.541666666667e+00,-2.855598935767e-01,1.870029494654e-01,-1.427799467884e+01,9.350147473271e+00,1.706711427924e+01,2.561805561335e+00,-8.971128638205e-02,5.874870922402e-02
3.958333333333e+00,-2.843820490135e-01,2.335243427336e-01,-1.421910245068e+01,1.167621713668e+01,1.839882934118e+01,2.454079307337e+00,-8.934125559938e-02,7.336383595663e-02
4.375000000000e+00,-2.689910432943e-01,2.670988224435e-01,-1.344955216472e+01,1.335494112218e+01,1.895375703675e+01,2.359724146531e+00,-8.450602854948e-02,8.391156983711e-02
4.791666666667e+00,-2.445807233887e-01,2.837428013396e-01,-1.222903616943e+01,1.418714006698e+01,1.873030349230e+01,2.282204622708e+00,-7.683730038076e-02,8.914043001976e-02
5.208333333333e+00,-2.174569840018e-01,2.824880078094e-01,-1.087284920009e+01,1.412440039047e+01,1.782463284666e+01,2.226844397739e+00,-6.831612634117e-02,8.874622500613e-02
5.625000000000e+00,-1.936808569019e-01,2.655155041483e-01,-9.684042845097e+00,1.327577520741e+01,1.643249503829e+01,2.201016600068e+00,-6.084663571841e-02,8.341415572464e-02
6.041666666667e+00,-1.778041688077e-01,2.376913929124e-01,-8.890208440385e+00,1.188456964562e+01,1.484179240439e+01,2.213045899425e+00,-5.585882705039e-02,7.467295337953e-02
6.458333333333e+00,-1.718928142778e-01,2.055367111320e-01,-8.594640713888e+00,1.027683555660e+01,1.339705930636e+01,2.267289920870e+00,-5.400172025399e-02,6.457126217354e-02
