# ==========================================================================
# X(pi) gate for the Novera transmon  --  arm F: Optimized 3D, robust arm
# ==========================================================================
# 
# *** THIS PULSE ALONE IS NOT THE TARGET GATE. READ THE NEXT 6 LINES. ***
# 
#   The pulse realises   W = R_z(phi_vz) . X(pi)   with
#       phi_vz = -2.617874953121 rad = -149.993186 deg
#   You MUST apply phi_vz as a virtual-Z (frame update) AFTER the pulse.
#   Playing this file without it gives 1 - Fbar = 6.2205e-01  (instead of 5.3917e-07).
#   Alternative: use the companion file *_vzfree.csv, which has the whole drive
#   phase pre-rotated by psi = -phi_vz/2 = +74.996593 deg and needs NO virtual Z.
# 
# -- conventions ------------------------------------------------------------
#   target = X(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 0.0 deg in the equatorial plane
#   provenance: solved independently on this device
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 42.8069 MHz  (85.61 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 5.3917e-07
#   leakage 1 - tr(B^dag B)/2       = 5.1323e-07
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     2.29e-05  1.85e-05  2.00e-05  2.72e-05  3.99e-05
#     eps=-0.02     8.66e-06  2.94e-06  1.63e-06  4.50e-06  1.13e-05
#     eps=+0.00     7.28e-06  2.17e-06  5.39e-07  2.19e-06  6.93e-06
#     eps=+0.02     4.95e-06  1.50e-06  6.98e-07  2.38e-06  6.37e-06
#     eps=+0.05     1.19e-05  1.26e-05  1.50e-05  1.88e-05  2.39e-05
# 
# -- provenance ------------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armF_accepted   status = maxiter
#   git_commit = db5b96306191483a71fd79b71186c0ca9d4f0c9e
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,-1.106192562883e-04,-2.987747454103e-03,-5.530962814414e-03,-1.493873727051e-01,1.494897276518e-01,-1.607803722480e+00,-3.475206429008e-05,-9.386285452591e-04
6.250000000000e-01,-5.658559072592e-03,-2.588265335174e-02,-2.829279536296e-01,-1.294132667587e+00,1.324699055733e+00,-1.786033403623e+00,-1.777688761236e-03,-8.131275362523e-03
1.041666666667e+00,-2.754623974706e-02,-6.670449921603e-02,-1.377311987353e+00,-3.335224960801e+00,3.608422626254e+00,-1.962424308501e+00,-8.653906442340e-03,-2.095583646985e-02
1.458333333333e+00,-7.296327245343e-02,-1.171272672321e-01,-3.648163622672e+00,-5.856363361605e+00,6.899716634828e+00,-2.127912999669e+00,-2.292208807216e-02,-3.679661622714e-02
1.875000000000e+00,-1.426230114549e-01,-1.680149746190e-01,-7.131150572746e+00,-8.400748730948e+00,1.101934152895e+01,-2.274634486011e+00,-4.480634050196e-02,-5.278346099560e-02
2.291666666667e+00,-2.304949180116e-01,-2.120699643842e-01,-1.152474590058e+01,-1.060349821921e+01,1.566058563904e+01,-2.397802671175e+00,-7.241211411150e-02,-6.662374421565e-02
2.708333333333e+00,-3.258049151995e-01,-2.455312904623e-01,-1.629024575998e+01,-1.227656452312e+01,2.039818970915e+01,-2.495782310250e+00,-1.023546328094e-01,-7.713592983428e-02
3.125000000000e+00,-4.164054343360e-01,-2.683744428415e-01,-2.082027171680e+01,-1.341872214207e+01,2.476985705020e+01,-2.569091652491e+00,-1.308176253425e-01,-8.431231780420e-02
3.541666666667e+00,-4.920200017989e-01,-2.834530409506e-01,-2.460100008995e+01,-1.417265204753e+01,2.839142954284e+01,-2.618931602409e+00,-1.545726423071e-01,-8.904939910881e-02
3.958333333333e+00,-5.459856544850e-01,-2.954802111016e-01,-2.729928272425e+01,-1.477401055508e+01,3.104065439291e+01,-2.645541011384e+00,-1.715264521096e-01,-9.282784604778e-02
4.375000000000e+00,-5.749698917582e-01,-3.101403813230e-01,-2.874849458791e+01,-1.550701906615e+01,3.266410233558e+01,-2.646921861926e+00,-1.806321187983e-01,-9.743347435459e-02
4.791666666667e+00,-5.775053192628e-01,-3.328428924901e-01,-2.887526596314e+01,-1.664214462451e+01,3.332779563885e+01,-2.618747392144e+00,-1.814286468405e-01,-1.045656785847e-01
5.208333333333e+00,-5.530483093204e-01,-3.670113454485e-01,-2.765241546602e+01,-1.835056727242e+01,3.318733795177e+01,-2.555705478441e+00,-1.737452505641e-01,-1.153000146645e-01
5.625000000000e+00,-5.024475541056e-01,-4.129155764180e-01,-2.512237770528e+01,-2.064577882090e+01,3.251741140817e+01,-2.453694694327e+00,-1.578485544792e-01,-1.297212541427e-01
6.041666666667e+00,-4.289184710158e-01,-4.680070855293e-01,-2.144592355079e+01,-2.340035427647e+01,3.174120692744e+01,-2.312641381777e+00,-1.347487117532e-01,-1.470287621727e-01
6.458333333333e+00,-3.380711383577e-01,-5.283193326786e-01,-1.690355691789e+01,-2.641596663393e+01,3.136133813601e+01,-2.140038031876e+00,-1.062081804655e-01,-1.659764134292e-01
6.875000000000e+00,-2.367161793988e-01,-5.896700071793e-01,-1.183580896994e+01,-2.948350035896e+01,3.177047634817e+01,-1.952542081511e+00,-7.436658101851e-02,-1.852502962597e-01
7.291666666667e+00,-1.313349602867e-01,-6.480531716555e-01,-6.566748014337e+00,-3.240265858277e+01,3.306137418069e+01,-1.770749013496e+00,-4.126009463963e-02,-2.035919083208e-01
7.708333333333e+00,-2.706327878590e-02,-6.995961716594e-01,-1.353163939295e+00,-3.497980858297e+01,3.500597179265e+01,-1.609461191267e+00,-8.502179781582e-03,-2.197846193365e-01
8.125000000000e+00,7.267553062081e-02,-7.406487076344e-01,3.633776531040e+00,-3.703243538172e+01,3.721028892899e+01,-1.472985286737e+00,2.283169130941e-02,-2.326816538795e-01
8.541666666667e+00,1.661828631395e-01,-7.680840261575e-01,8.309143156975e+00,-3.840420130787e+01,3.929280516963e+01,-1.357720366345e+00,5.220788619916e-02,-2.413007133916e-01
8.958333333333e+00,2.532929206564e-01,-7.794988998135e-01,1.266464603282e+01,-3.897494499068e+01,4.098096626683e+01,-1.256615739851e+00,7.957431787404e-02,-2.448868017135e-01
9.375000000000e+00,3.348305684729e-01,-7.731843579547e-01,1.674152842365e+01,-3.865921789773e+01,4.212854023609e+01,-1.162123706277e+00,1.051901254112e-01,-2.429030298821e-01
9.791666666667e+00,4.116991397056e-01,-7.482102802475e-01,2.058495698528e+01,-3.741051401238e+01,4.269996502055e+01,-1.067764856959e+00,1.293390992788e-01,-2.350571919766e-01
1.020833333333e+01,4.840788159606e-01,-7.049686389708e-01,2.420394079803e+01,-3.524843194854e+01,4.275842262041e+01,-9.690747338335e-01,1.520778451980e-01,-2.214724297202e-01
1.062500000000e+01,5.513339301551e-01,-6.458829370713e-01,2.756669650775e+01,-3.229414685356e+01,4.245980072198e+01,-8.642085926487e-01,1.732066624650e-01,-2.029101090182e-01
1.104166666667e+01,6.125993441519e-01,-5.755376088176e-01,3.062996720760e+01,-2.877688044088e+01,4.202741651645e+01,-7.542151236461e-01,1.924537599182e-01,-1.808104723726e-01
1.145833333333e+01,6.673700237534e-01,-4.998670417069e-01,3.336850118767e+01,-2.499335208535e+01,4.169082057208e+01,-6.428674190330e-01,2.096604763850e-01,-1.570378625998e-01
1.187500000000e+01,7.155383372170e-01,-4.247957563638e-01,3.577691686085e+01,-2.123978781819e+01,4.160668656154e+01,-5.357542700013e-01,2.247929983563e-01,-1.334535227469e-01
1.229166666667e+01,7.569674598247e-01,-3.550154327568e-01,3.784837299123e+01,-1.775077163784e+01,4.180417720542e+01,-4.385390071390e-01,2.378083410792e-01,-1.115313875460e-01
1.270833333333e+01,7.910959988662e-01,-2.933102235834e-01,3.955479994331e+01,-1.466551117917e+01,4.218600972718e+01,-3.550520955829e-01,2.485301378322e-01,-9.214612436325e-02
1.312500000000e+01,8.169456246683e-01,-2.404452170872e-01,4.084728123342e+01,-1.202226085436e+01,4.257975035404e+01,-2.862396796441e-01,2.566510372840e-01,-7.553809275921e-02
1.354166666667e+01,8.335303016535e-01,-1.954461516431e-01,4.167651508267e+01,-9.772307582156e+00,4.280689085786e+01,-2.303190793873e-01,2.618612672219e-01,-6.140121941744e-02
1.395833333333e+01,8.404172224493e-01,-1.561239430756e-01,4.202086112247e+01,-7.806197153782e+00,4.273978806074e+01,-1.836757633476e-01,2.640248571997e-01,-4.904778326159e-02
1.437500000000e+01,8.381941946171e-01,-1.197712081763e-01,4.190970973086e+01,-5.988560408813e+00,4.233540628711e+01,-1.419311715512e-01,2.633264724091e-01,-3.762723477181e-02
1.479166666667e+01,8.287204459894e-01,-8.394470458390e-02,4.143602229947e+01,-4.197235229195e+00,4.164805790876e+01,-1.009500290104e-01,2.603502065000e-01,-2.637200672285e-02
1.520833333333e+01,8.150826848291e-01,-4.716258017807e-02,4.075413424146e+01,-2.358129008904e+00,4.082230064797e+01,-5.779788030015e-02,2.560657774727e-01,-1.481656154118e-02
1.562500000000e+01,8.011344847419e-01,-9.320682255393e-03,4.005672423709e+01,-4.660341127697e-01,4.005943514830e+01,-1.163382918034e-02,2.516838211803e-01,-2.928178689999e-03
1.604166666667e+01,7.905455483802e-01,2.827047936864e-02,3.952727741901e+01,1.413523968432e+00,3.955254366243e+01,3.574548946166e-02,2.483572087119e-01,8.881433029799e-03
1.645833333333e+01,7.855347231209e-01,6.319483392516e-02,3.927673615604e+01,3.159741696258e+00,3.940362890215e+01,8.027529353836e-02,2.467830115296e-01,1.985324260041e-02
1.687500000000e+01,7.857590529985e-01,9.246544175679e-02,3.928795264992e+01,4.623272087840e+00,3.955904281224e+01,1.171378672635e-01,2.468534868392e-01,2.904887525341e-02
1.729166666667e+01,7.879225554669e-01,1.130974761092e-01,3.939612777334e+01,5.654873805459e+00,3.979990554372e+01,1.425650371494e-01,2.475331711852e-01,3.553062000841e-02
1.770833333333e+01,7.864308009195e-01,1.224996518075e-01,3.932154004598e+01,6.124982590376e+00,3.979571488640e+01,1.545248274278e-01,2.470645226725e-01,3.848440061858e-02
1.812500000000e+01,7.749470506221e-01,1.185883441689e-01,3.874735253110e+01,5.929417208446e+00,3.919840961827e+01,1.518496741636e-01,2.434567961155e-01,3.725562708425e-02
1.854166666667e+01,7.482325871758e-01,9.981987799932e-02,3.741162935879e+01,4.990993899966e+00,3.774307925155e+01,1.326244541440e-01,2.350641999048e-01,3.135933954049e-02
1.895833333333e+01,7.034262006485e-01,6.549282827194e-02,3.517131003243e+01,3.274641413597e+00,3.532342460443e+01,9.283783019531e-02,2.209878584300e-01,2.057517881619e-02
1.937500000000e+01,6.401534829953e-01,1.634686073958e-02,3.200767414977e+01,8.173430369790e-01,3.201810822203e+01,2.553029767499e-02,2.011101479348e-01,5.135517760872e-03
1.979166666667e+01,5.596208475382e-01,-4.510441025564e-02,2.798104237691e+01,-2.255220512782e+00,2.807177856958e+01,-8.042431287595e-02,1.758100743422e-01,-1.416996839036e-02
2.020833333333e+01,4.636860016577e-01,-1.150888041593e-01,2.318430008289e+01,-5.754440207964e+00,2.388776574819e+01,-2.432877674184e-01,1.456712536380e-01,-3.615621416572e-02
2.062500000000e+01,3.548500780718e-01,-1.896403328637e-01,1.774250390359e+01,-9.482016643185e+00,2.011728322589e+01,-4.908059335715e-01,1.114794398396e-01,-5.957726765489e-02
2.104166666667e+01,2.369507115040e-01,-2.652033265170e-01,1.184753557520e+01,-1.326016632585e+01,1.778190400927e+01,-8.416017544836e-01,7.444026145237e-02,-8.331608222933e-02
2.145833333333e+01,1.154024339402e-01,-3.383535351770e-01,5.770121697010e+00,-1.691767675885e+01,1.787462143138e+01,-1.242098495030e+00,3.625474386729e-02,-1.062968980428e-01
2.187500000000e+01,-3.634982534873e-03,-4.053674075970e-01,-1.817491267436e-01,-2.026837037985e+01,2.026918524756e+01,-1.579763217182e+00,-1.141963442748e-03,-1.273499269712e-01
2.229166666667e+01,-1.145881713236e-01,-4.625220587663e-01,-5.729408566182e+00,-2.312610293831e+01,2.382525466038e+01,-1.813652825071e+00,-3.599893572187e-02,-1.453055901943e-01
2.270833333333e+01,-2.134071419293e-01,-5.071066345703e-01,-1.067035709646e+01,-2.535533172851e+01,2.750907791310e+01,-1.969132092245e+00,-6.704383093087e-02,-1.593122477753e-01
2.312500000000e+01,-2.978191902019e-01,-5.383833491187e-01,-1.489095951009e+01,-2.691916745593e+01,3.076332640746e+01,-2.076072439997e+00,-9.356265800363e-02,-1.691381174406e-01
2.354166666667e+01,-3.671628457034e-01,-5.578126646973e-01,-1.835814228517e+01,-2.789063323487e+01,3.339025022974e+01,-2.152927660696e+00,-1.153476098733e-01,-1.752420169492e-01
2.395833333333e+01,-4.220858185414e-01,-5.684240771336e-01,-2.110429092707e+01,-2.842120385668e+01,3.539994243212e+01,-2.209515218274e+00,-1.326021706714e-01,-1.785756904846e-01
2.437500000000e+01,-4.641771228904e-01,-5.737159401065e-01,-2.320885614452e+01,-2.868579700532e+01,3.689886113917e+01,-2.251044148160e+00,-1.458255439237e-01,-1.802381782686e-01
2.479166666667e+01,-4.955237273541e-01,-5.766315482765e-01,-2.477618636771e+01,-2.883157741383e+01,3.801472434593e+01,-2.280688982693e+00,-1.556733701535e-01,-1.811541435894e-01
2.520833333333e+01,-5.182603776618e-01,-5.790024741635e-01,-2.591301888309e+01,-2.895012370817e+01,3.885349675839e+01,-2.300893098743e+00,-1.628162995109e-01,-1.818989919242e-01
2.562500000000e+01,-5.342439671700e-01,-5.815463419116e-01,-2.671219835850e+01,-2.907731709558e+01,3.948457813654e+01,-2.313826253690e+00,-1.678376922486e-01,-1.826981715472e-01
2.604166666667e+01,-5.449381680016e-01,-5.842474530496e-01,-2.724690840008e+01,-2.921237265248e+01,3.994692395354e+01,-2.321396476054e+00,-1.711973745254e-01,-1.835467506379e-01
2.645833333333e+01,-5.514926337390e-01,-5.868449463021e-01,-2.757463168695e+01,-2.934224731510e+01,4.026571482256e+01,-2.325148380308e+00,-1.732565206663e-01,-1.843627772099e-01
2.687500000000e+01,-5.549259998266e-01,-5.892025950313e-01,-2.774629999133e+01,-2.946012975156e+01,4.046920320673e+01,-2.326244757096e+00,-1.743351444341e-01,-1.851034544026e-01
2.729166666667e+01,-5.562960761517e-01,-5.914613691763e-01,-2.781480380758e+01,-2.957306845881e+01,4.059839515208e+01,-2.325565809800e+00,-1.747655666059e-01,-1.858130692286e-01
2.770833333333e+01,-5.567511847201e-01,-5.939939687527e-01,-2.783755923600e+01,-2.969969843763e+01,4.070628687936e+01,-2.323841723824e+00,-1.749085431794e-01,-1.866087088510e-01
2.812500000000e+01,-5.574016925960e-01,-5.972459968726e-01,-2.787008462980e+01,-2.986229984363e+01,4.084725901726e+01,-2.321700418459e+00,-1.751129062558e-01,-1.876303636161e-01
2.854166666667e+01,-5.590302811409e-01,-6.015687863745e-01,-2.795151405704e+01,-3.007843931872e+01,4.106092607250e+01,-2.319558692996e+00,-1.756245424366e-01,-1.889884079903e-01
2.895833333333e+01,-5.617466367606e-01,-6.071399912082e-01,-2.808733183803e+01,-3.035699956041e+01,4.135753416356e+01,-2.317379301239e+00,-1.764779107226e-01,-1.907386536080e-01
2.937500000000e+01,-5.647413985414e-01,-6.140239485877e-01,-2.823706992707e+01,-3.070119742938e+01,4.171205631067e+01,-2.314410206668e+00,-1.774187428836e-01,-1.929013126011e-01
2.979166666667e+01,-5.662713109561e-01,-6.223434992891e-01,-2.831356554780e+01,-3.111717496445e+01,4.207061411244e+01,-2.309055039711e+00,-1.778993790438e-01,-1.955149765376e-01
3.020833333333e+01,-5.639143669629e-01,-6.324561185614e-01,-2.819571834814e+01,-3.162280592807e+01,4.236744490682e+01,-2.298965640007e+00,-1.771589232504e-01,-1.986919495791e-01
3.062500000000e+01,-5.550170410909e-01,-6.450049650041e-01,-2.775085205455e+01,-3.225024825021e+01,4.254630773584e+01,-2.281346017086e+00,-1.743637458908e-01,-2.026342859586e-01
3.104166666667e+01,-5.371873889869e-01,-6.607686291315e-01,-2.685936944935e+01,-3.303843145657e+01,4.257891121585e+01,-2.253398033228e+00,-1.687623954842e-01,-2.075865871002e-01
3.145833333333e+01,-5.087117713245e-01,-6.803292547229e-01,-2.543558856623e+01,-3.401646273615e+01,4.247456771752e+01,-2.212851704333e+00,-1.598165163588e-01,-2.137317388660e-01
3.187500000000e+01,-4.688585709859e-01,-7.036707966720e-01,-2.344292854929e+01,-3.518353983360e+01,4.227827307483e+01,-2.158547717382e+00,-1.472962642182e-01,-2.210647005370e-01
3.229166666667e+01,-4.180889788615e-01,-7.298764387799e-01,-2.090444894307e+01,-3.649382193900e+01,4.205704489534e+01,-2.090991929172e+00,-1.313465264538e-01,-2.292974458099e-01
