# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm A: Gaussian (planar baseline)
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = +0.000001 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . Y(pi),
#   so psi = -phi_vz/2 leaves exactly Y(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 1.7483e-03 with no virtual Z,
#   matching the canonical file's 1.7483e-03.
# 
# -- conventions ------------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.0961 MHz  (48.19 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 1.7483e-03
#   leakage 1 - tr(B^dag B)/2       = 1.0088e-05
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     5.22e-03  5.48e-03  5.79e-03  6.13e-03  6.51e-03
#     eps=-0.02     1.76e-03  2.06e-03  2.39e-03  2.76e-03  3.17e-03
#     eps=+0.00     1.09e-03  1.40e-03  1.75e-03  2.14e-03  2.57e-03
#     eps=+0.02     1.72e-03  2.05e-03  2.42e-03  2.82e-03  3.27e-03
#     eps=+0.05     5.11e-03  5.47e-03  5.86e-03  6.30e-03  6.77e-03
# 
# -- provenance ------------------------------------------------------------
#   run_id = None   status = None
#   git_commit = 6b80849d641af78f6bdf74a70dc8980d1ea48ed7
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,-6.934860604338e-14,6.862353605843e-06,-3.467430302169e-12,3.431176802921e-04,3.431176802921e-04,1.570796336901e+00,-2.178650712826e-14,2.155871967445e-06
6.250000000000e-01,-1.837380423497e-12,1.818169808144e-04,-9.186902117487e-11,9.090849040719e-03,9.090849040719e-03,1.570796336901e+00,-5.772300840309e-13,5.711948912243e-05
1.041666666667e+00,-8.191878887304e-12,8.106229213282e-04,-4.095939443652e-10,4.053114606641e-02,4.053114606641e-02,1.570796336901e+00,-2.573554653145e-12,2.546647014476e-04
1.458333333333e+00,-2.124912816333e-11,2.102695924146e-03,-1.062456408167e-09,1.051347962073e-01,1.051347962073e-01,1.570796336901e+00,-6.675610493311e-12,6.605814068032e-04
1.875000000000e+00,-4.192256704681e-11,4.148424828611e-03,-2.096128352341e-09,2.074212414305e-01,2.074212414305e-01,1.570796336901e+00,-1.317036286539e-11,1.303266096553e-03
2.291666666667e+00,-6.981286242730e-11,6.908293843896e-03,-3.490643121365e-09,3.454146921948e-01,3.454146921948e-01,1.570796336901e+00,-2.193235757277e-11,2.170304518882e-03
2.708333333333e+00,-1.033699106042e-10,1.022891330111e-02,-5.168495530211e-09,5.114456650555e-01,5.114456650555e-01,1.570796336901e+00,-3.247461517564e-11,3.213507888097e-03
3.125000000000e+00,-1.402878929882e-10,1.388211217543e-02,-7.014394649412e-09,6.941056087716e-01,6.941056087716e-01,1.570796336901e+00,-4.407274139995e-11,4.361194162665e-03
3.541666666667e+00,-1.780450074652e-10,1.761834690977e-02,-8.902250373259e-09,8.809173454884e-01,8.809173454884e-01,1.570796336901e+00,-5.593448874609e-11,5.534966922012e-03
3.958333333333e+00,-2.144700839258e-10,2.122277054643e-02,-1.072350419629e-08,1.061138527321e+00,1.061138527321e+00,1.570796336901e+00,-6.737776400759e-11,6.667330003749e-03
4.375000000000e+00,-2.482152096242e-10,2.456200111252e-02,-1.241076048121e-08,1.228100055626e+00,1.228100055626e+00,1.570796336901e+00,-7.797910790645e-11,7.716380225257e-03
4.791666666667e+00,-2.790369800154e-10,2.761195264364e-02,-1.395184900077e-08,1.380597632182e+00,1.380597632182e+00,1.570796336901e+00,-8.766205264963e-11,8.674550757653e-03
5.208333333333e+00,-3.078333209186e-10,3.046147890101e-02,-1.539166604593e-08,1.523073945050e+00,1.523073945050e+00,1.570796336901e+00,-9.670868995281e-11,9.569755833288e-03
5.625000000000e+00,-3.364376755619e-10,3.329200726240e-02,-1.682188377809e-08,1.664600363120e+00,1.664600363120e+00,1.570796336901e+00,-1.056950129936e-10,1.045899254388e-02
6.041666666667e+00,-3.672252207066e-10,3.633857205285e-02,-1.836126103533e-08,1.816928602643e+00,1.816928602643e+00,1.570796336901e+00,-1.153672055585e-10,1.141609910032e-02
6.458333333333e+00,-4.026248843361e-10,3.984152652035e-02,-2.013124421681e-08,1.992076326017e+00,1.992076326017e+00,1.570796336901e+00,-1.264883378783e-10,1.251658470241e-02
