# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm B: Gaussian + DRAG (standard baseline)
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = -3.881160 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . Y(pi),
#   so psi = -phi_vz/2 leaves exactly Y(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 7.4553e-06 with no virtual Z,
#   matching the canonical file's 7.4553e-06.
# 
# -- conventions ------------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.0962 MHz  (48.19 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 7.4553e-06
#   leakage 1 - tr(B^dag B)/2       = 4.2721e-09
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.92e-03  3.82e-03  3.76e-03  3.74e-03  3.76e-03
#     eps=-0.02     6.36e-04  5.61e-04  5.25e-04  5.30e-04  5.74e-04
#     eps=+0.00     8.25e-05  2.50e-05  7.46e-06  2.98e-05  9.20e-05
#     eps=+0.02     8.43e-04  8.04e-04  8.05e-04  8.46e-04  9.27e-04
#     eps=+0.05     4.44e-03  4.43e-03  4.46e-03  4.53e-03  4.64e-03
# 
# -- provenance ------------------------------------------------------------
#   run_id = None   status = None
#   git_commit = 6b80849d641af78f6bdf74a70dc8980d1ea48ed7
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,-7.846824247698e-05,1.220163509440e-05,-3.923412123849e-03,6.100817547198e-04,3.970561980502e-03,2.987330318722e+00,-2.465152541058e-05,3.833256717434e-06
6.250000000000e-01,-6.760149361191e-04,2.280976820450e-04,-3.380074680595e-02,1.140488410225e-02,3.567298510114e-02,2.816172972397e+00,-2.123763557029e-04,7.165900022135e-05
1.041666666667e+00,-1.739711584080e-03,9.305132209740e-04,-8.698557920399e-02,4.652566104870e-02,9.864648055289e-02,2.650442546001e+00,-5.465465131910e-04,2.923293499080e-04
1.458333333333e+00,-3.054122733963e-03,2.314729509917e-03,-1.527061366982e-01,1.157364754958e-01,1.916092271929e-01,2.493052630556e+00,-9.594809544181e-04,7.271937223401e-04
1.875000000000e+00,-4.365473123504e-03,4.454125706249e-03,-2.182736561752e-01,2.227062853125e-01,3.118356594390e-01,2.346143058276e+00,-1.371453829424e-03,1.399304859692e-03
2.291666666667e+00,-5.434048833135e-03,7.292830518005e-03,-2.717024416567e-01,3.646415259002e-01,4.547369120855e-01,2.211168231648e+00,-1.707156789342e-03,2.291110277924e-03
2.708333333333e+00,-6.082881524447e-03,1.066509244921e-02,-3.041440762223e-01,5.332546224606e-01,6.138925895275e-01,2.089132244068e+00,-1.910993590986e-03,3.350537608830e-03
3.125000000000e+00,-6.232295577407e-03,1.433680707349e-02,-3.116147788704e-01,7.168403536746e-01,7.816417741311e-01,1.980859208221e+00,-1.957933400098e-03,4.504040777802e-03
3.541666666667e+00,-5.913126974944e-03,1.805994761618e-02,-2.956563487472e-01,9.029973808091e-01,9.501667992003e-01,1.887212419414e+00,-1.857663626423e-03,5.673699875521e-03
3.958333333333e+00,-5.256207791930e-03,2.162805083179e-02,-2.628103895965e-01,1.081402541589e+00,1.112879489359e+00,1.809201802384e+00,-1.651286378487e-03,6.794652560462e-03
4.375000000000e+00,-4.460958534251e-03,2.492096035495e-02,-2.230479267126e-01,1.246048017747e+00,1.265853877880e+00,1.747924625519e+00,-1.401451455917e-03,7.829150597150e-03
4.791666666667e+00,-3.750454863569e-03,2.792966856985e-02,-1.875227431784e-01,1.396483428492e+00,1.409017652573e+00,1.704279948398e+00,-1.178240144701e-03,8.774364159623e-03
5.208333333333e+00,-3.323128099937e-03,3.075668676903e-02,-1.661564049968e-01,1.537834338451e+00,1.546784536851e+00,1.678424521262e+00,-1.043991482570e-03,9.662498120234e-03
5.625000000000e+00,-3.311723410136e-03,3.359284524730e-02,-1.655861705068e-01,1.679642262365e+00,1.687784615816e+00,1.669062990760e+00,-1.040408593601e-03,1.055350358421e-02
6.041666666667e+00,-3.758219406368e-03,3.667653667467e-02,-1.879109703184e-01,1.833826833734e+00,1.843429247052e+00,1.672909238219e+00,-1.180679447763e-03,1.152227381763e-02
6.458333333333e+00,-4.609594566518e-03,4.024503359312e-02,-2.304797283259e-01,2.012251679656e+00,2.025408039741e+00,1.684837578382e+00,-1.448146842620e-03,1.264335018796e-02
6.875000000000e+00,-5.734517508402e-03,4.448886420496e-02,-2.867258754201e-01,2.224443210248e+00,2.242846254930e+00,1.698987313555e+00,-1.801551807628e-03,1.397658889529e-02
