# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm C: Optimized 3D, unguarded
# ==========================================================================
# 
# *** THIS PULSE ALONE IS NOT THE TARGET GATE. READ THE NEXT 6 LINES. ***
# 
#   The pulse realises   W = R_z(phi_vz) . Y(pi)   with
#       phi_vz = -0.134651391091 rad = -7.714956 deg
#   You MUST apply phi_vz as a virtual-Z (frame update) AFTER the pulse.
#   Playing this file without it gives 1 - Fbar = 3.0700e-03  (instead of 9.2069e-05).
#   Alternative: use the companion file *_vzfree.csv, which has the whole drive
#   phase pre-rotated by psi = -phi_vz/2 = +3.857478 deg and needs NO virtual Z.
# 
# -- conventions ------------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 45.4667 MHz  (90.93 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 9.2069e-05
#   leakage 1 - tr(B^dag B)/2       = 9.1777e-05
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     8.88e-03  8.82e-03  8.74e-03  8.67e-03  8.59e-03
#     eps=-0.02     1.57e-03  1.54e-03  1.50e-03  1.47e-03  1.43e-03
#     eps=+0.00     1.07e-04  9.88e-05  9.21e-05  8.73e-05  8.45e-05
#     eps=+0.02     1.43e-03  1.46e-03  1.48e-03  1.51e-03  1.55e-03
#     eps=+0.05     8.72e-03  8.79e-03  8.87e-03  8.96e-03  9.05e-03
# 
# -- provenance ------------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armC_accepted   status = maxiter
#   git_commit = 6b80849d641af78f6bdf74a70dc8980d1ea48ed7
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,3.532181852913e-03,1.101465385020e-03,1.766090926456e-01,5.507326925100e-02,1.849968556249e-01,3.022808414685e-01,1.109667656025e-03,3.460355561763e-04
6.250000000000e-01,3.271640926375e-02,4.254541103358e-03,1.635820463188e+00,2.127270551679e-01,1.649594310060e+00,1.293173220597e-01,1.027816309948e-02,1.336603507470e-03
1.041666666667e+00,8.975180036726e-02,-3.903142372107e-03,4.487590018363e+00,-1.951571186053e-01,4.491831527768e+00,-4.346079493951e-02,2.819635966802e-02,-1.226208340213e-03
1.458333333333e+00,1.666672797898e-01,-3.677707989488e-02,8.333363989490e+00,-1.838853994744e+00,8.533834975866e+00,-2.171813386152e-01,5.236007017814e-02,-1.155386040182e-02
1.875000000000e+00,2.500377215792e-01,-1.034350542902e-01,1.250188607896e+01,-5.171752714511e+00,1.352938216148e+01,-3.922416923125e-01,7.855166692335e-02,-3.249508066818e-02
2.291666666667e+00,3.236539747336e-01,-2.061877042780e-01,1.618269873668e+01,-1.030938521390e+01,1.918757832273e+01,-5.672262535810e-01,1.016788949328e-01,-6.477577770202e-02
2.708333333333e+00,3.719137956183e-01,-3.390894373816e-01,1.859568978091e+01,-1.695447186908e+01,2.516453446395e+01,-7.392646625682e-01,1.168401648083e-01,-1.065280885388e-01
3.125000000000e+00,3.834126871503e-01,-4.883378271947e-01,1.917063435751e+01,-2.441689135974e+01,3.104348249380e+01,-9.051833751930e-01,1.204526481244e-01,-1.534158530385e-01
3.541666666667e+00,3.539928105207e-01,-6.351194223287e-01,1.769964052603e+01,-3.175597111644e+01,3.635545318517e+01,-1.062316828172e+00,1.112101212955e-01,-1.995286511340e-01
3.958333333333e+00,2.882004556845e-01,-7.603883587989e-01,1.441002278423e+01,-3.801941793995e+01,4.065863865323e+01,-1.208508170261e+00,9.054084343398e-02,-2.388830481878e-01
4.375000000000e+00,1.982802472662e-01,-8.500200277242e-01,9.914012363308e+00,-4.250100138621e+01,4.364198391424e+01,-1.341628836386e+00,6.229157681634e-02,-2.670416674503e-01
4.791666666667e+00,1.007373585339e-01,-8.984190395454e-01,5.036867926693e+00,-4.492095197727e+01,4.520245529897e+01,-1.459135358507e+00,3.164757455120e-02,-2.822466654481e-01
5.208333333333e+00,1.162036403319e-02,-9.092604622408e-01,5.810182016597e-01,-4.546302311204e+01,4.546673567166e+01,-1.558017005653e+00,3.650645027872e-03,-2.856525988375e-01
5.625000000000e+00,-5.777296449317e-02,-8.933040108257e-01,-2.888648224659e+00,-4.466520054129e+01,4.475851235194e+01,-1.635379735634e+00,-1.814991208279e-02,-2.806397317832e-01
6.041666666667e+00,-1.034054461881e-01,-8.644150947796e-01,-5.170272309403e+00,-4.322075473898e+01,4.352890253568e+01,-1.689855320804e+00,-3.248577900856e-02,-2.715640111412e-01
6.458333333333e+00,-1.287184209836e-01,-8.354096299074e-01,-6.435921049181e+00,-4.177048149537e+01,4.226339082594e+01,-1.723672338665e+00,-4.043808457438e-02,-2.624516756055e-01
