# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm C: Optimized 3D, unguarded
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = +3.857478 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . Y(pi),
#   so psi = -phi_vz/2 leaves exactly Y(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 9.2069e-05 with no virtual Z,
#   matching the canonical file's 9.2069e-05.
# 
# -- conventions ------------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 45.4667 MHz  (90.93 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 9.2069e-05
#   leakage 1 - tr(B^dag B)/2       = 9.1777e-05
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     8.88e-03  8.82e-03  8.74e-03  8.67e-03  8.59e-03
#     eps=-0.02     1.57e-03  1.54e-03  1.50e-03  1.47e-03  1.43e-03
#     eps=+0.00     1.07e-04  9.88e-05  9.21e-05  8.73e-05  8.45e-05
#     eps=+0.02     1.43e-03  1.46e-03  1.48e-03  1.51e-03  1.55e-03
#     eps=+0.05     8.72e-03  8.79e-03  8.87e-03  8.96e-03  9.05e-03
# 
# -- provenance ------------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armC_accepted   status = maxiter
#   git_commit = 6b80849d641af78f6bdf74a70dc8980d1ea48ed7
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,3.450078715490e-03,1.336596982402e-03,1.725039357745e-01,6.682984912012e-02,1.849968556249e-01,3.696065370140e-01,1.083874194689e-03,4.199043260726e-04
6.250000000000e-01,3.235606603232e-02,6.445893733655e-03,1.617803301616e+00,3.222946866827e-01,1.649594310060e+00,1.966430176052e-01,1.016495793462e-02,2.025037239947e-03
1.041666666667e+00,8.981104928506e-02,2.143738756956e-03,4.490552464253e+00,1.071869378478e-01,4.491831527768e+00,2.386490060595e-02,2.821497326451e-02,6.734753930069e-04
1.458333333333e+00,1.687638643131e-01,-2.548124526481e-02,8.438193215654e+00,-1.274062263241e+00,8.533834975866e+00,-1.498556430697e-01,5.301873163174e-02,-8.005169292826e-03
1.875000000000e+00,2.564298337250e-01,-8.637947119728e-02,1.282149168625e+01,-4.318973559864e+00,1.352938216148e+01,-3.249159967671e-01,8.055980817916e-02,-2.713691121344e-02
2.291666666667e+00,3.367919765160e-01,-1.839468110915e-01,1.683959882580e+01,-9.197340554574e+00,1.918757832273e+01,-4.999005580356e-01,1.058063199211e-01,-5.778859503762e-02
2.708333333333e+00,3.938834074118e-01,-3.133007808490e-01,1.969417037059e+01,-1.566503904245e+01,2.516453446395e+01,-6.719389670227e-01,1.237421219096e-01,-9.842634314792e-02
3.125000000000e+00,4.153969103293e-01,-4.614374594958e-01,2.076984551646e+01,-2.307187297479e+01,3.104348249380e+01,-8.378576796475e-01,1.305007881814e-01,-1.449648532843e-01
3.541666666667e+00,3.959183940889e-01,-6.098657358317e-01,1.979591970444e+01,-3.049328679159e+01,3.635545318517e+01,-9.949911326260e-01,1.243814318291e-01,-1.915949715365e-01
3.958333333333e+00,3.387025413872e-01,-7.392770436795e-01,1.693512706936e+01,-3.696385218398e+01,4.065863865323e+01,-1.141182474715e+00,1.064065415774e-01,-2.322507329391e-01
4.375000000000e+00,2.550160055448e-01,-8.347550184959e-01,1.275080027724e+01,-4.173775092480e+01,4.364198391424e+01,-1.274303140840e+00,8.011564095675e-02,-2.622460233654e-01
4.791666666667e+00,1.609501380844e-01,-8.896065642028e-01,8.047506904221e+00,-4.448032821014e+01,4.520245529897e+01,-1.391809662961e+00,5.056397714003e-02,-2.794781446685e-01
5.208333333333e+00,7.276439483565e-02,-9.064187574730e-01,3.638219741783e+00,-4.532093787365e+01,4.546673567166e+01,-1.490691310108e+00,2.285960882586e-02,-2.847598509553e-01
5.625000000000e+00,2.454810391467e-03,-8.951668811398e-01,1.227405195733e-01,-4.475834405699e+01,4.475851235194e+01,-1.568054040089e+00,7.712014291788e-04,-2.812249697526e-01
6.041666666667e+00,-4.501778742160e-02,-8.694133316207e-01,-2.250889371080e+00,-4.347066658104e+01,4.352890253568e+01,-1.622529625259e+00,-1.414275502446e-02,-2.731342535553e-01
6.458333333333e+00,-7.222475336232e-02,-8.421765056354e-01,-3.611237668116e+00,-4.210882528177e+01,4.226339082594e+01,-1.656346643119e+00,-2.269007545704e-02,-2.645775523130e-01
