# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm D: Optimized 3D + fluence cap
# ==========================================================================
# 
# *** THIS PULSE ALONE IS NOT THE TARGET GATE. READ THE NEXT 6 LINES. ***
# 
#   The pulse realises   W = R_z(phi_vz) . Y(pi)   with
#       phi_vz = +2.534253077791 rad = +145.202006 deg
#   You MUST apply phi_vz as a virtual-Z (frame update) AFTER the pulse.
#   Playing this file without it gives 1 - Fbar = 6.0741e-01  (instead of 6.8057e-06).
#   Alternative: use the companion file *_vzfree.csv, which has the whole drive
#   phase pre-rotated by psi = -phi_vz/2 = -72.601003 deg and needs NO virtual Z.
# 
# -- conventions ------------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.2283 MHz  (48.46 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 6.8057e-06
#   leakage 1 - tr(B^dag B)/2       = 6.2242e-06
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.90e-03  3.73e-03  3.65e-03  3.66e-03  3.75e-03
#     eps=-0.02     7.81e-04  6.34e-04  5.76e-04  6.08e-04  7.29e-04
#     eps=+0.00     1.80e-04  4.86e-05  6.81e-06  5.50e-05  1.93e-04
#     eps=+0.02     7.51e-04  6.35e-04  6.09e-04  6.74e-04  8.30e-04
#     eps=+0.05     3.77e-03  3.67e-03  3.67e-03  3.76e-03  3.95e-03
# 
# -- provenance ------------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armD_accepted   status = maxiter
#   git_commit = 6b80849d641af78f6bdf74a70dc8980d1ea48ed7
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,1.555763643005e-03,-1.360593543267e-03,7.778818215024e-02,-6.802967716336e-02,1.033394322473e-01,-7.185752391514e-01,4.887575631586e-04,-4.274430680050e-04
6.250000000000e-01,1.220231899001e-02,-1.434775830279e-02,6.101159495004e-01,-7.173879151397e-01,9.417467242434e-01,-8.660302356083e-01,3.833471569577e-03,-4.507481207954e-03
1.041666666667e+00,2.797656864236e-02,-4.319948638509e-02,1.398828432118e+00,-2.159974319254e+00,2.573365508889e+00,-9.961006477949e-01,8.789098251950e-03,-1.357151890663e-02
1.458333333333e+00,4.165017997367e-02,-8.655697310144e-02,2.082508998684e+00,-4.327848655072e+00,4.802823930856e+00,-1.122311229528e+00,1.308478994260e-02,-2.719267508125e-02
1.875000000000e+00,4.533247860503e-02,-1.397598793125e-01,2.266623930251e+00,-6.987993965624e+00,7.346403453717e+00,-1.257143626763e+00,1.424161817546e-02,-4.390686101147e-02
2.291666666667e+00,3.250389905243e-02,-1.962920125374e-01,1.625194952621e+00,-9.814600626870e+00,9.948248292990e+00,-1.406695872058e+00,1.021140104761e-02,-6.166695445458e-02
2.708333333333e+00,3.457577205608e-04,-2.483193429944e-01,1.728788602804e-02,-1.241596714972e+01,1.241597918546e+01,-1.569403936283e+00,1.086229914836e-04,-7.801182236953e-02
3.125000000000e+00,-4.894914936955e-02,-2.869757977357e-01,-2.447457468478e+00,-1.434878988678e+01,1.455602347055e+01,-1.739739363427e+00,-1.537782880589e-02,-9.015610579245e-02
3.541666666667e+00,-1.082217214390e-01,-3.038581692269e-01,-5.411086071951e+00,-1.519290846135e+01,1.612774999784e+01,-1.912947141553e+00,-3.399885650317e-02,-9.545985921765e-02
3.958333333333e+00,-1.666636405234e-01,-2.939080169789e-01,-8.333182026172e+00,-1.469540084894e+01,1.689368902260e+01,-2.086643426206e+00,-5.235892686889e-02,-9.233392669720e-02
4.375000000000e+00,-2.125315858206e-01,-2.581208029109e-01,-1.062657929103e+01,-1.290604014555e+01,1.671795620484e+01,-2.259631860230e+00,-6.676876686697e-02,-8.109104181636e-02
4.791666666667e+00,-2.367765746297e-01,-2.041194177220e-01,-1.183882873149e+01,-1.020597088610e+01,1.563072958826e+01,-2.430129455151e+00,-7.438555473989e-02,-6.412600631705e-02
5.208333333333e+00,-2.359384089358e-01,-1.439092948795e-01,-1.179692044679e+01,-7.195464743977e+00,1.381817806043e+01,-2.593893213352e+00,-7.412223722125e-02,-4.521043835769e-02
5.625000000000e+00,-2.126071519320e-01,-9.000969281693e-02,-1.063035759660e+01,-4.500484640846e+00,1.154378034415e+01,-2.741110608417e+00,-6.679250666101e-02,-2.827737897055e-02
6.041666666667e+00,-1.733180919627e-01,-5.197507992819e-02,-8.665904598137e+00,-2.598753996409e+00,9.047177727771e+00,-2.850243569631e+00,-5.444948444444e-02,-1.632845292721e-02
6.458333333333e+00,-1.254928515564e-01,-3.456150258121e-02,-6.274642577819e+00,-1.728075129061e+00,6.508254998927e+00,-2.872848891325e+00,-3.942474205276e-02,-1.085781626062e-02
