# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm D: Optimized 3D + fluence cap
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = -72.601003 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . Y(pi),
#   so psi = -phi_vz/2 leaves exactly Y(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 6.8057e-06 with no virtual Z,
#   matching the canonical file's 6.8057e-06.
# 
# -- conventions ------------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.2283 MHz  (48.46 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 6.8057e-06
#   leakage 1 - tr(B^dag B)/2       = 6.2242e-06
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.90e-03  3.73e-03  3.65e-03  3.66e-03  3.75e-03
#     eps=-0.02     7.81e-04  6.34e-04  5.76e-04  6.08e-04  7.29e-04
#     eps=+0.00     1.80e-04  4.86e-05  6.81e-06  5.50e-05  1.93e-04
#     eps=+0.02     7.51e-04  6.35e-04  6.09e-04  6.74e-04  8.30e-04
#     eps=+0.05     3.77e-03  3.67e-03  3.67e-03  3.76e-03  3.95e-03
# 
# -- provenance ------------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armD_accepted   status = maxiter
#   git_commit = 6b80849d641af78f6bdf74a70dc8980d1ea48ed7
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,-8.331295411871e-04,-1.891430799812e-03,-4.165647705935e-02,-9.457153999059e-02,1.033394322473e-01,-1.985701778047e+00,-2.617353646082e-04,-5.942105105462e-04
6.250000000000e-01,-1.004249734161e-02,-1.593433413083e-02,-5.021248670807e-01,-7.967167065415e-01,9.417467242434e-01,-2.133156774504e+00,-3.154943587211e-03,-5.005918704526e-03
1.041666666667e+00,-3.285725015917e-02,-3.961420362590e-02,-1.642862507958e+00,-1.980710181295e+00,2.573365508889e+00,-2.263227186690e+00,-1.032240957172e-02,-1.244516910889e-02
1.458333333333e+00,-7.014220024390e-02,-6.562711961733e-02,-3.507110012195e+00,-3.281355980866e+00,4.802823930856e+00,-2.389437768424e+00,-2.203582209929e-02,-2.061736768661e-02
1.875000000000e+00,-1.198097413886e-01,-8.504988742096e-02,-5.990487069428e+00,-4.252494371048e+00,7.346403453717e+00,-2.524270165659e+00,-3.763934033748e-02,-2.671921015103e-02
2.291666666667e+00,-1.775913329797e-01,-8.971274207213e-02,-8.879566648983e+00,-4.485637103607e+00,9.948248292990e+00,-2.673822410953e+00,-5.579196270301e-02,-2.818408914272e-02
2.708333333333e+00,-2.368542411643e-01,-7.458340362333e-02,-1.184271205821e+01,-3.729170181167e+00,1.241597918546e+01,-2.836530475178e+00,-7.440995440133e-02,-2.343106729028e-02
3.125000000000e+00,-2.884823563410e-01,-3.910316854115e-02,-1.442411781705e+01,-1.955158427057e+00,1.455602347055e+01,-3.006865902322e+00,-9.062940513713e-02,-1.228462270210e-02
3.541666666667e+00,-3.223162114084e-01,1.240918452278e-02,-1.611581057042e+01,6.204592261389e-01,1.612774999784e+01,3.103111626731e+00,-1.012586241893e-01,3.898460293380e-03
3.958333333333e+00,-3.302968645218e-01,7.115246168629e-02,-1.651484322609e+01,3.557623084315e+00,1.689368902260e+01,2.929415342079e+00,-1.037658203086e-01,2.235320509185e-02
4.375000000000e+00,-3.098626949704e-01,1.256229840931e-01,-1.549313474852e+01,6.281149204655e+00,1.671795620484e+01,2.756426908054e+00,-9.734623661405e-02,3.946562439489e-02
4.791666666667e+00,-2.655819485466e-01,1.649063721958e-01,-1.327909742733e+01,8.245318609788e+00,1.563072958826e+01,2.585929313133e+00,-8.343502984800e-02,5.180686474203e-02
5.208333333333e+00,-2.078760742918e-01,1.821108335628e-01,-1.039380371459e+01,9.105541678139e+00,1.381817806043e+01,2.422165554932e+00,-6.530619478523e-02,5.721180568600e-02
5.625000000000e+00,-1.494660103001e-01,1.759643646270e-01,-7.473300515007e+00,8.798218231349e+00,1.154378034415e+01,2.274948159867e+00,-4.695613199203e-02,5.528083552057e-02
6.041666666667e+00,-1.014232742931e-01,1.498462190608e-01,-5.071163714653e+00,7.492310953041e+00,9.047177727771e+00,2.165815198653e+00,-3.186306134221e-02,4.707557809697e-02
6.458333333333e+00,-7.050554634191e-02,1.094162747833e-01,-3.525277317096e+00,5.470813739164e+00,6.508254998927e+00,2.143209876959e+00,-2.214997064251e-02,3.437413650423e-02
6.875000000000e+00,-5.843274755325e-02,6.067074989027e-02,-2.921637377663e+00,3.033537494514e+00,4.211687867966e+00,2.337406301402e+00,-1.835718904424e-02,1.906027821431e-02
7.291666666667e+00,-6.294228330583e-02,9.189841574531e-03,-3.147114165292e+00,4.594920787266e-01,3.180481180544e+00,2.996612791020e+00,-1.977390148338e-02,2.887073877820e-03
7.708333333333e+00,-7.988777888918e-02,-4.013903412223e-02,-3.994388944459e+00,-2.006951706111e+00,4.470234690738e+00,-2.675992766590e+00,-2.509748592698e-02,-1.261004947206e-02
8.125000000000e+00,-1.051385713479e-01,-8.381577525181e-02,-5.256928567394e+00,-4.190788762590e+00,6.722946408781e+00,-2.468565396805e+00,-3.303025633554e-02,-2.633150237860e-02
8.541666666667e+00,-1.352625403976e-01,-1.205898153138e-01,-6.763127019881e+00,-6.029490765690e+00,9.060609581071e+00,-2.413480151276e+00,-4.249398032191e-02,-3.788440778876e-02
8.958333333333e+00,-1.671327181714e-01,-1.515717580959e-01,-8.356635908571e+00,-7.578587904795e+00,1.128132786241e+01,-2.404981417874e+00,-5.250629195818e-02,-4.761767217257e-02
9.375000000000e+00,-1.974322034746e-01,-1.793543902498e-01,-9.871610173730e+00,-8.967719512491e+00,1.333674175640e+01,-2.404136643883e+00,-6.202515600178e-02,-5.634584347979e-02
9.791666666667e+00,-2.227014692312e-01,-2.067515590168e-01,-1.113507346156e+01,-1.033757795084e+01,1.519392572326e+01,-2.393317485133e+00,-6.996372996804e-02,-6.495291789255e-02
1.020833333333e+01,-2.398284601236e-01,-2.357763384072e-01,-1.199142300618e+01,-1.178881692036e+01,1.681577919975e+01,-2.364714218518e+00,-7.534433284460e-02,-7.407132126303e-02
1.062500000000e+01,-2.466165657520e-01,-2.670520126128e-01,-1.233082828760e+01,-1.335260063064e+01,1.817529284110e+01,-2.316432128242e+00,-7.747687912200e-02,-8.389686409507e-02
1.104166666667e+01,-2.422294622139e-01,-2.996373348686e-01,-1.211147311070e+01,-1.498186674343e+01,1.926510088292e+01,-2.250643603988e+00,-7.609862989743e-02,-9.413384499644e-02
1.145833333333e+01,-2.274422692469e-01,-3.312865491403e-01,-1.137211346235e+01,-1.656432745701e+01,2.009233457574e+01,-2.172433142386e+00,-7.145309621819e-02,-1.040767389012e-01
1.187500000000e+01,-2.045658165769e-01,-3.591373734246e-01,-1.022829082884e+01,-1.795686867123e+01,2.066560102574e+01,-2.088565350682e+00,-6.426624665335e-02,-1.128263333980e-01
1.229166666667e+01,-1.768915122304e-01,-3.805926260153e-01,-8.844575611521e+00,-1.902963130076e+01,2.098459876173e+01,-2.005872387083e+00,-5.557210753055e-02,-1.195666997900e-01
1.270833333333e+01,-1.477482911500e-01,-3.939835157554e-01,-7.387414557502e+00,-1.969917578777e+01,2.103880748906e+01,-1.929576950003e+00,-4.641649460574e-02,-1.237735718733e-01
1.312500000000e+01,-1.195706508243e-01,-3.987709555087e-01,-5.978532541214e+00,-1.993854777544e+01,2.081558403552e+01,-1.862113613800e+00,-3.756422782145e-02,-1.252775904291e-01
1.354166666667e+01,-9.337577929472e-02,-3.954050622314e-01,-4.668788964736e+00,-1.977025311157e+01,2.031404682708e+01,-1.802699915970e+00,-2.933486622555e-02,-1.242201638698e-01
1.395833333333e+01,-6.876619587147e-02,-3.851021147262e-01,-3.438309793573e+00,-1.925510573631e+01,1.955967973033e+01,-1.747500052028e+00,-2.160353757651e-02,-1.209833974506e-01
1.437500000000e+01,-4.434413567799e-02,-3.696350233593e-01,-2.217206783899e+00,-1.848175116796e+01,1.861427227041e+01,-1.690193070064e+00,-1.393112108758e-02,-1.161242673895e-01
1.479166666667e+01,-1.836990021368e-02,-3.510609096396e-01,-9.184950106840e-01,-1.755304548198e+01,1.757706001517e+01,-1.623075464169e+00,-5.771074355847e-03,-1.102890374686e-01
1.520833333333e+01,1.049118134509e-02,-3.313401345209e-01,5.245590672546e-01,-1.656700672605e+01,1.657530916984e+01,-1.539144026258e+00,3.295901824122e-03,-1.040935732450e-01
1.562500000000e+01,4.249121724153e-02,-3.119774143671e-01,2.124560862076e+00,-1.559887071835e+01,1.574288812590e+01,-1.435429600868e+00,1.334900959281e-02,-9.801059530616e-02
1.604166666667e+01,7.638427217803e-02,-2.939256360365e-01,3.819213608901e+00,-1.469628180182e+01,1.518443582716e+01,-1.316544249337e+00,2.399682683243e-02,-9.233946188739e-02
1.645833333333e+01,1.095103528057e-01,-2.778422381111e-01,5.475517640287e+00,-1.389211190555e+01,1.493224921522e+01,-1.195346834134e+00,3.440369198665e-02,-8.728671341067e-02
1.687500000000e+01,1.385142708595e-01,-2.644170227124e-01,6.925713542976e+00,-1.322085113562e+01,1.492502639293e+01,-1.088253011172e+00,4.351554157496e-02,-8.306905760375e-02
1.729166666667e+01,1.604365374274e-01,-2.543127034412e-01,8.021826871372e+00,-1.271563517206e+01,1.503452972937e+01,-1.007991851280e+00,5.040262473494e-02,-7.989469208454e-02
1.770833333333e+01,1.735481812098e-01,-2.476580720783e-01,8.677409060490e+00,-1.238290360391e+01,1.512063919505e+01,-9.595623442419e-01,5.452176911326e-02,-7.780407798433e-02
1.812500000000e+01,1.775627207922e-01,-2.436200308856e-01,8.878136039609e+00,-1.218100154428e+01,1.507309185799e+01,-9.409684921207e-01,5.578297391921e-02,-7.653548992975e-02
1.854166666667e+01,1.735088023582e-01,-2.405608119532e-01,8.675440117910e+00,-1.202804059766e+01,1.483027382951e+01,-9.459387227774e-01,5.450939788217e-02,-7.557440795737e-02
