# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm E: Optimized 3D, exact-gate arm
# ==========================================================================
# 
# *** THIS PULSE ALONE IS NOT THE TARGET GATE. READ THE NEXT 6 LINES. ***
# 
#   The pulse realises   W = R_z(phi_vz) . Y(pi)   with
#       phi_vz = +3.030863462338 rad = +173.655685 deg
#   You MUST apply phi_vz as a virtual-Z (frame update) AFTER the pulse.
#   Playing this file without it gives 1 - Fbar = 6.6462e-01  (instead of 3.4575e-08).
#   Alternative: use the companion file *_vzfree.csv, which has the whole drive
#   phase pre-rotated by psi = -phi_vz/2 = -86.827842 deg and needs NO virtual Z.
# 
# -- conventions ------------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 25.2790 MHz  (50.56 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 3.4575e-08
#   leakage 1 - tr(B^dag B)/2       = 3.3704e-08
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     4.29e-03  4.04e-03  3.80e-03  3.57e-03  3.34e-03
#     eps=-0.02     8.23e-04  7.09e-04  6.06e-04  5.15e-04  4.36e-04
#     eps=+0.00     2.51e-05  6.31e-06  3.46e-08  6.77e-06  2.70e-05
#     eps=+0.02     4.34e-04  5.13e-04  6.06e-04  7.12e-04  8.34e-04
#     eps=+0.05     3.29e-03  3.52e-03  3.76e-03  4.02e-03  4.30e-03
# 
# -- provenance ------------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armE_accepted   status = maxiter
#   git_commit = 6b80849d641af78f6bdf74a70dc8980d1ea48ed7
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,1.623934998198e-03,1.037650309094e-03,8.119674990988e-02,5.188251545468e-02,9.635718761895e-02,5.685841409634e-01,5.101742260245e-04,3.259874588043e-04
6.250000000000e-01,1.581936419177e-02,6.603257163544e-03,7.909682095886e-01,3.301628581772e-01,8.571103904980e-01,3.954295125302e-01,4.969799832933e-03,2.074474419475e-03
1.041666666667e+00,4.540091054316e-02,1.038319664249e-02,2.270045527158e+00,5.191598321245e-01,2.328654896429e+00,2.248335285928e-01,1.426311670287e-02,3.261977429283e-03
1.458333333333e+00,8.809041026516e-02,5.247366160779e-03,4.404520513258e+00,2.623683080390e-01,4.412327966139e+00,5.949765521518e-02,2.767441857407e-02,1.648508698140e-03
1.875000000000e+00,1.384211440906e-01,-1.365883667378e-02,6.921057204531e+00,-6.829418336889e-01,6.954670544073e+00,-9.835753204455e-02,4.348628493766e-02,-4.291050095092e-03
2.291666666667e+00,1.889867642606e-01,-4.771458311057e-02,9.449338213029e+00,-2.385729155529e+00,9.745855337924e+00,-2.473074601042e-01,5.937194302267e-02,-1.498997837693e-02
2.708333333333e+00,2.321632191725e-01,-9.452520496568e-02,1.160816095863e+01,-4.726260248284e+00,1.253343276106e+01,-3.866547494631e-01,7.293622637862e-02,-2.969596894993e-02
3.125000000000e+00,2.618512423107e-01,-1.485650171527e-01,1.309256211554e+01,-7.428250857637e+00,1.505304266762e+01,-5.160768293975e-01,8.226299391767e-02,-4.667307664675e-02
3.541666666667e+00,2.747742965304e-01,-2.025182507690e-01,1.373871482652e+01,-1.012591253845e+01,1.706711427924e+01,-6.351516878837e-01,8.632289113751e-02,-6.362298488338e-02
3.958333333333e+00,2.710239341895e-01,-2.489031850877e-01,1.355119670947e+01,-1.244515925438e+01,1.839882934118e+01,-7.428779418823e-01,8.514468005966e-02,-7.819524177265e-02
4.375000000000e+00,2.537986229886e-01,-2.815745394960e-01,1.268993114943e+01,-1.407872697480e+01,1.895375703675e+01,-8.372331026881e-01,7.973318894722e-02,-8.845925047185e-02
4.791666666667e+00,2.285046887828e-01,-2.968422388571e-01,1.142523443914e+01,-1.484211194285e+01,1.873030349230e+01,-9.147526265114e-01,7.178686515908e-02,-9.325573968685e-02
5.208333333333e+00,2.014919447937e-01,-2.940884401511e-01,1.007459723968e+01,-1.470442200756e+01,1.782463284666e+01,-9.701128514804e-01,6.330056135214e-02,-9.239060830845e-02
5.625000000000e+00,1.786914439568e-01,-2.758262589566e-01,8.934572197839e+00,-1.379131294783e+01,1.643249503829e+01,-9.959406491508e-01,5.613757275939e-02,-8.665337488053e-02
6.041666666667e+00,1.643787663680e-01,-2.471662231726e-01,8.218938318399e+00,-1.235831115863e+01,1.484179240439e+01,-9.839113497938e-01,5.164111248278e-02,-7.764955909345e-02
6.458333333333e+00,1.602557910013e-01,-2.147336971084e-01,8.012789550067e+00,-1.073668485542e+01,1.339705930636e+01,-9.296673283487e-01,5.034584157050e-02,-6.746058053139e-02
6.875000000000e+00,1.650221474979e-01,-1.852299192117e-01,8.251107374897e+00,-9.261495960585e+00,1.240387360223e+01,-8.430292137102e-01,5.184323662592e-02,-5.819169534205e-02
7.291666666667e+00,1.745561251519e-01,-1.639699351264e-01,8.727806257593e+00,-8.198496756318e+00,1.197455431878e+01,-7.541369326096e-01,5.483842404162e-02,-5.151267436026e-02
7.708333333333e+00,1.827180181960e-01,-1.537675040415e-01,9.135900909799e+00,-7.688375202077e+00,1.194051082163e+01,-6.995716055238e-01,5.740255836430e-02,-4.830748610577e-02
8.125000000000e+00,1.826387862914e-01,-1.544381458023e-01,9.131939314569e+00,-7.721907290117e+00,1.195910397321e+01,-7.019302157537e-01,5.737766692735e-02,-4.851817442867e-02
8.541666666667e+00,1.682126963490e-01,-1.629980252903e-01,8.410634817452e+00,-8.149901264516e+00,1.171151863141e+01,-7.696551940197e-01,5.284557710906e-02,-5.120733988017e-02
8.958333333333e+00,1.354398342036e-01,-1.744344976092e-01,6.771991710182e+00,-8.721724880462e+00,1.104211739719e+01,-9.105803953522e-01,4.254967881376e-02,-5.480021362218e-02
9.375000000000e+00,8.330490941564e-02,-1.828050357951e-01,4.165245470782e+00,-9.140251789757e+00,1.004457428725e+01,-1.143209435494e+00,2.617100914281e-02,-5.742989574932e-02
9.791666666667e+00,1.401664959397e-02,-1.824239524155e-01,7.008324796983e-01,-9.121197620775e+00,9.148082433048e+00,-1.494111421589e+00,4.403460339235e-03,-5.731017487474e-02
1.020833333333e+01,-6.739675943412e-02,-1.689673070942e-01,-3.369837971706e+00,-8.448365354711e+00,9.095640995677e+00,-1.950332116373e+00,-2.117331643140e-02,-5.308264506641e-02
1.062500000000e+01,-1.540003569359e-01,-1.403651345333e-01,-7.700017846793e+00,-7.018256726664e+00,1.041855087439e+01,-2.402482127089e+00,-4.838063899999e-02,-4.409700754699e-02
1.104166666667e+01,-2.381558723762e-01,-9.732323261205e-02,-1.190779361881e+01,-4.866161630602e+00,1.286371166823e+01,-2.753648687182e+00,-7.481887390664e-02,-3.057499525976e-02
1.145833333333e+01,-3.127742927114e-01,-4.330559629648e-02,-1.563871463557e+01,-2.165279814824e+00,1.578790144792e+01,-3.004010978641e+00,-9.826094202138e-02,-1.360485431844e-02
1.187500000000e+01,-3.724009023175e-01,1.609009609119e-02,-1.862004511588e+01,8.045048045594e-01,1.863741688373e+01,3.098413126082e+00,-1.169931938911e-01,5.054852767563e-03
1.229166666667e+01,-4.139783232748e-01,7.423719310649e-02,-2.069891616374e+01,3.711859655325e+00,2.102909965867e+01,2.964152367530e+00,-1.300551259146e-01,2.332230204865e-02
1.270833333333e+01,-4.372029093302e-01,1.247785029283e-01,-2.186014546651e+01,6.238925146413e+00,2.273301886683e+01,2.863581908383e+00,-1.373513448080e-01,3.920032281254e-02
1.312500000000e+01,-4.444368536663e-01,1.628057820796e-01,-2.222184268331e+01,8.140289103979e+00,2.366589527016e+01,2.790454123619e+00,-1.396239554462e-01,5.114694489431e-02
1.354166666667e+01,-4.401694163961e-01,1.856934431408e-01,-2.200847081980e+01,9.284672157038e+00,2.388677301123e+01,2.742377726540e+00,-1.382833004885e-01,5.833731567908e-02
1.395833333333e+01,-4.300776743686e-01,1.934669256765e-01,-2.150388371843e+01,9.673346283825e+00,2.357945383809e+01,2.718870274194e+00,-1.351128862269e-01,6.077942724179e-02
