# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm E: Optimized 3D, exact-gate arm
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = -86.827842 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . Y(pi),
#   so psi = -phi_vz/2 leaves exactly Y(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 3.4575e-08 with no virtual Z,
#   matching the canonical file's 3.4575e-08.
# 
# -- conventions ------------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 25.2790 MHz  (50.56 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 3.4575e-08
#   leakage 1 - tr(B^dag B)/2       = 3.3704e-08
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     4.29e-03  4.04e-03  3.80e-03  3.57e-03  3.34e-03
#     eps=-0.02     8.23e-04  7.09e-04  6.06e-04  5.15e-04  4.36e-04
#     eps=+0.00     2.51e-05  6.31e-06  3.46e-08  6.77e-06  2.70e-05
#     eps=+0.02     4.34e-04  5.13e-04  6.06e-04  7.12e-04  8.34e-04
#     eps=+0.05     3.29e-03  3.52e-03  3.76e-03  4.02e-03  4.30e-03
# 
# -- provenance ------------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armE_accepted   status = maxiter
#   git_commit = 6b80849d641af78f6bdf74a70dc8980d1ea48ed7
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,1.125922972169e-03,-1.564027014816e-03,5.629614860846e-02,-7.820135074081e-02,9.635718761895e-02,-9.468475902058e-01,3.537191337875e-04,-4.913535779762e-04
6.250000000000e-01,7.468524800255e-03,-1.542972539962e-02,3.734262400127e-01,-7.714862699812e-01,8.571103904980e-01,-1.120002218639e+00,2.346306264563e-03,-4.847391196237e-03
1.041666666667e+00,1.287960633811e-02,-4.475677815974e-02,6.439803169056e-01,-2.237838907987e+00,2.328654896429e+00,-1.290598202576e+00,4.046247665294e-03,-1.406075654650e-02
1.458333333333e+00,1.011392475132e-02,-8.766506578127e-02,5.056962375661e-01,-4.383253289063e+00,4.412327966139e+00,-1.455934075954e+00,3.177383169772e-03,-2.754079266349e-02
1.875000000000e+00,-5.978192098758e-03,-1.389648810666e-01,-2.989096049379e-01,-6.948244053332e+00,6.954670544073e+00,-1.613789263214e+00,-1.878104437921e-03,-4.365710494660e-02
2.291666666667e+00,-3.718364225465e-02,-1.913375427243e-01,-1.859182112732e+00,-9.566877136215e+00,9.745855337924e+00,-1.762739191273e+00,-1.168158573409e-02,-6.011046185786e-02
2.708333333333e+00,-8.153331363576e-02,-2.370381688208e-01,-4.076665681788e+00,-1.185190844104e+01,1.253343276106e+01,-1.902086480632e+00,-2.561444591409e-02,-7.446773697879e-02
3.125000000000e+00,-1.338474987012e-01,-2.696710672517e-01,-6.692374935061e+00,-1.348355336259e+01,1.505304266762e+01,-2.031508560567e+00,-4.204943186212e-02,-8.471966437637e-02
3.541666666667e+00,-1.870029494665e-01,-2.855598935760e-01,-9.350147473323e+00,-1.427799467880e+01,1.706711427924e+01,-2.150583419053e+00,-5.874870922435e-02,-8.971128638183e-02
3.958333333333e+00,-2.335243427347e-01,-2.843820490127e-01,-1.167621713673e+01,-1.421910245063e+01,1.839882934118e+01,-2.258309673051e+00,-7.336383595696e-02,-8.934125559911e-02
4.375000000000e+00,-2.670988224445e-01,-2.689910432933e-01,-1.335494112223e+01,-1.344955216467e+01,1.895375703675e+01,-2.352664833857e+00,-8.391156983742e-02,-8.450602854918e-02
4.791666666667e+00,-2.837428013405e-01,-2.445807233876e-01,-1.418714006703e+01,-1.222903616938e+01,1.873030349230e+01,-2.430184357681e+00,-8.914043002004e-02,-7.683730038043e-02
5.208333333333e+00,-2.824880078102e-01,-2.174569840007e-01,-1.412440039051e+01,-1.087284920004e+01,1.782463284666e+01,-2.485544582650e+00,-8.874622500638e-02,-6.831612634085e-02
5.625000000000e+00,-2.655155041490e-01,-1.936808569010e-01,-1.327577520745e+01,-9.684042845048e+00,1.643249503829e+01,-2.511372380320e+00,-8.341415572486e-02,-6.084663571810e-02
6.041666666667e+00,-2.376913929131e-01,-1.778041688068e-01,-1.188456964566e+01,-8.890208440341e+00,1.484179240439e+01,-2.499343080963e+00,-7.467295337973e-02,-5.585882705011e-02
6.458333333333e+00,-2.055367111327e-01,-1.718928142770e-01,-1.027683555663e+01,-8.594640713850e+00,1.339705930636e+01,-2.445099059518e+00,-6.457126217374e-02,-5.400172025375e-02
6.875000000000e+00,-1.758143871363e-01,-1.750192372624e-01,-8.790719356814e+00,-8.750961863118e+00,1.240387360223e+01,-2.358460944879e+00,-5.523371870227e-02,-5.498391500203e-02
7.291666666667e+00,-1.540594029920e-01,-1.833621575002e-01,-7.702970149599e+00,-9.168107875010e+00,1.197455431878e+01,-2.269568663779e+00,-4.839918886560e-02,-5.760492069490e-02
7.708333333333e+00,-1.434209552654e-01,-1.909469797179e-01,-7.171047763271e+00,-9.547348985894e+00,1.194051082163e+01,-2.215003336693e+00,-4.505702194327e-02,-5.998776287069e-02
8.125000000000e+00,-1.440949538520e-01,-1.909049800588e-01,-7.204747692599e+00,-9.545249002940e+00,1.195910397321e+01,-2.217361946923e+00,-4.526876484408e-02,-5.997456828864e-02
8.541666666667e+00,-1.534400043219e-01,-1.769746663657e-01,-7.672000216095e+00,-8.848733318285e+00,1.171151863141e+01,-2.285086925189e+00,-4.820459903445e-02,-5.559823117260e-02
8.958333333333e+00,-1.666724828056e-01,-1.448848719525e-01,-8.333624140282e+00,-7.244243597627e+00,1.104211739719e+01,-2.426012126521e+00,-5.236170475378e-02,-4.551692493424e-02
9.375000000000e+00,-1.779151500764e-01,-9.329302448792e-02,-8.895757503820e+00,-4.664651224396e+00,1.004457428725e+01,-2.658641166664e+00,-5.589369284423e-02,-2.930886803624e-02
9.791666666667e+00,-1.813688076216e-01,-2.408984231240e-02,-9.068440381082e+00,-1.204492115620e+00,9.148082433048e+00,-3.009543152758e+00,-5.697869136145e-02,-7.568047163479e-03
1.020833333333e+01,-1.724378990486e-01,5.794346400240e-02,-8.621894952430e+00,2.897173200120e+00,9.095640995677e+00,2.817421459638e+00,-5.417296368516e-02,1.820347608335e-02
1.062500000000e+01,-1.486718755413e-01,1.459971039164e-01,-7.433593777063e+00,7.299855195818e+00,1.041855087439e+01,2.365271448922e+00,-4.670664719959e-02,4.586634291090e-02
1.104166666667e+01,-1.103527797863e-01,2.324054542105e-01,-5.517638989314e+00,1.162027271052e+01,1.286371166823e+01,2.014104888828e+00,-3.466834822798e-02,7.301232676018e-02
1.145833333333e+01,-6.054701925670e-02,3.098986791047e-01,-3.027350962835e+00,1.549493395523e+01,1.578790144792e+01,1.763742597369e+00,-1.902140708936e-02,9.735754136324e-02
1.187500000000e+01,-4.541851490806e-03,3.727206659472e-01,-2.270925745403e-01,1.863603329736e+01,1.863741688373e+01,1.582981394913e+00,-1.426864727721e-03,1.170936505981e-01
1.229166666667e+01,5.121540963606e-02,4.174520269415e-01,2.560770481803e+00,2.087260134708e+01,2.102909965867e+01,1.448720636361e+00,1.608979546632e-02,1.311464221066e-01
1.270833333333e+01,1.003941156335e-01,4.434377975162e-01,5.019705781677e+00,2.217188987581e+01,2.273301886683e+01,1.348150177214e+00,3.153974161379e-02,1.393100927001e-01
1.312500000000e+01,1.379628285040e-01,4.527649473253e-01,6.898141425202e+00,2.263824736626e+01,2.366589527016e+01,1.275022392449e+00,4.334230084968e-02,1.422403032320e-01
1.354166666667e+01,1.610515647111e-01,4.497705675787e-01,8.052578235556e+00,2.248852837893e+01,2.388677301123e+01,1.226945995371e+00,5.059584125456e-02,1.412995910906e-01
1.395833333333e+01,1.693715763236e-01,4.401244442822e-01,8.468578816179e+00,2.200622221411e+01,2.357945383809e+01,1.203438543025e+00,5.320964999051e-02,1.382691720822e-01
1.437500000000e+01,1.651413303766e-01,4.296369612334e-01,8.257066518828e+00,2.148184806167e+01,2.301410314657e+01,1.203832680772e+00,5.188067903150e-02,1.349744321121e-01
1.479166666667e+01,1.525263706022e-01,4.230538423550e-01,7.626318530110e+00,2.115269211775e+01,2.248548683376e+01,1.224765840880e+00,4.791757253626e-02,1.329062843215e-01
1.520833333333e+01,1.366856367443e-01,4.231407937051e-01,6.834281837215e+00,2.115703968525e+01,2.223348232900e+01,1.258350538255e+00,4.294105922471e-02,1.329336008938e-01
1.562500000000e+01,1.226204659912e-01,4.302936284597e-01,6.131023299561e+00,2.151468142299e+01,2.237120835879e+01,1.293185581047e+00,3.852235551378e-02,1.351807302056e-01
1.604166666667e+01,1.140959234662e-01,4.427568628242e-01,5.704796173312e+00,2.213784314121e+01,2.286107605350e+01,1.318589174603e+00,3.584429149661e-02,1.390961707575e-01
1.645833333333e+01,1.129014406753e-01,4.573596801786e-01,5.645072033764e+00,2.286798400893e+01,2.355443760524e+01,1.328780018440e+00,3.546903366052e-02,1.436837811297e-01
1.687500000000e+01,1.186290683358e-01,4.705425176969e-01,5.931453416792e+00,2.352712588484e+01,2.426330134250e+01,1.323831582035e+00,3.726842095861e-02,1.478252916798e-01
1.729166666667e+01,1.290014496279e-01,4.793845540643e-01,6.450072481393e+00,2.396922770322e+01,2.482191192684e+01,1.307925346671e+00,4.052700064533e-02,1.506030993293e-01
1.770833333333e+01,1.406293472061e-01,4.823613685387e-01,7.031467360303e+00,2.411806842694e+01,2.512215671246e+01,1.287115682911e+00,4.418001240617e-02,1.515382931777e-01
1.812500000000e+01,1.499719637222e-01,4.796522797628e-01,7.498598186111e+00,2.398261398814e+01,2.512756948972e+01,1.267758327442e+00,4.711508194742e-02,1.506872078380e-01
1.854166666667e+01,1.542419403914e-01,4.729507597423e-01,7.712097019572e+00,2.364753798711e+01,2.487332895475e+01,1.255545570343e+00,4.845653468092e-02,1.485818632316e-01
1.895833333333e+01,1.520385311400e-01,4.648707235820e-01,7.601926557001e+00,2.324353617910e+01,2.445508661786e+01,1.254706414868e+00,4.776431324921e-02,1.460434450074e-01
