# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm F: Optimized 3D, robust arm
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = +74.996593 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . Y(pi),
#   so psi = -phi_vz/2 leaves exactly Y(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 5.3917e-07 with no virtual Z,
#   matching the canonical file's 5.3917e-07.
# 
# -- conventions ------------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback ---------------------------------------------------------------
#   120 samples, sample-and-hold, dt = 0.416666667 ns  ->  2.4000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 42.8069 MHz  (85.61 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 5.3917e-07
#   leakage 1 - tr(B^dag B)/2       = 5.1323e-07
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     2.29e-05  1.85e-05  2.00e-05  2.72e-05  3.99e-05
#     eps=-0.02     8.66e-06  2.94e-06  1.63e-06  4.50e-06  1.13e-05
#     eps=+0.00     7.28e-06  2.17e-06  5.39e-07  2.19e-06  6.93e-06
#     eps=+0.02     4.95e-06  1.50e-06  6.98e-07  2.38e-06  6.37e-06
#     eps=+0.05     1.19e-05  1.26e-05  1.50e-05  1.88e-05  2.39e-05
# 
# -- provenance ------------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armF_accepted   status = maxiter
#   git_commit = 6b80849d641af78f6bdf74a70dc8980d1ea48ed7
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 2.4 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,8.803058407886e-04,2.857259717987e-03,4.401529203943e-02,1.428629858994e-01,1.494897276518e-01,1.271930080876e+00,2.765562362334e-04,8.976346139427e-04
6.250000000000e-01,1.216607147011e-02,2.353545708688e-02,6.083035735055e-01,1.176772854344e+00,1.324699055733e+00,1.093700399732e+00,3.822084075355e-03,7.393881908302e-03
1.041666666667e+00,4.387542642523e-02,5.729949821655e-02,2.193771321261e+00,2.864974910827e+00,3.608422626254e+00,9.173094948551e-01,1.378387173306e-02,1.800116826515e-02
1.458333333333e+00,1.007974809671e-01,9.424597438114e-02,5.039874048357e+00,4.712298719057e+00,6.899716634828e+00,7.518208036871e-01,3.166646257067e-02,2.960824607462e-02
1.875000000000e+00,1.812561803499e-01,1.253656738411e-01,9.062809017495e+00,6.268283692057e+00,1.101934152895e+01,6.050993173451e-01,5.694330846050e-02,3.938478799517e-02
2.291666666667e+00,2.775373725172e-01,1.451708782068e-01,1.387686862586e+01,7.258543910342e+00,1.566058563904e+01,4.819311321806e-01,8.719093705966e-02,4.560677644898e-02
2.708333333333e+00,3.782606436628e-01,1.528180055492e-01,1.891303218314e+01,7.640900277461e+00,2.039818970915e+01,3.839514931061e-01,1.188340859273e-01,4.800919235697e-02
3.125000000000e+00,4.716861853759e-01,1.514281012247e-01,2.358430926880e+01,7.571405061237e+00,2.476985705020e+01,3.106421508643e-01,1.481845854777e-01,4.757254103547e-02
3.541666666667e+00,5.486265795100e-01,1.464178433440e-01,2.743132897550e+01,7.320892167198e+00,2.839142954284e+01,2.608022009471e-01,1.723561231753e-01,4.599852210038e-02
3.958333333333e+00,6.038661180324e-01,1.440645742318e-01,3.019330590162e+01,7.203228711588e+00,3.104065439291e+01,2.341927919719e-01,1.897101360162e-01,4.525922080491e-02
4.375000000000e+00,6.356574685296e-01,1.507216482730e-01,3.178287342648e+01,7.536082413652e+00,3.266410233558e+01,2.328119414292e-01,1.996976833332e-01,4.735060229515e-02
4.791666666667e+00,6.439836106120e-01,1.719938781502e-01,3.219918053060e+01,8.599693907511e+00,3.332779563885e+01,2.609864112121e-01,2.023134180131e-01,5.403347040592e-02
5.208333333333e+00,6.292057383714e-01,2.113288880642e-01,3.146028691857e+01,1.056644440321e+01,3.318733795177e+01,3.240283249148e-01,1.976708125264e-01,6.639092822338e-02
5.625000000000e+00,5.922134666863e-01,2.687676091918e-01,2.961067333431e+01,1.343838045959e+01,3.251741140817e+01,4.260391090288e-01,1.860493476299e-01,8.443583465600e-02
6.041666666667e+00,5.354528540942e-01,3.410160229763e-01,2.677264270471e+01,1.705080114881e+01,3.174120692744e+01,5.670924215790e-01,1.682174752766e-01,1.071333432539e-01
6.458333333333e+00,4.633158898268e-01,4.227904896120e-01,2.316579449134e+01,2.113952448060e+01,3.136133813601e+01,7.396957714795e-01,1.455549795771e-01,1.328235496173e-01
6.875000000000e+00,3.812983240913e-01,5.082881613820e-01,1.906491620457e+01,2.541440806910e+01,3.177047634817e+01,9.271917218449e-01,1.197884013791e-01,1.596834353704e-01
