# ==========================================================================
# X(pi) gate for the Novera transmon  --  arm B: Gaussian + DRAG (standard baseline)
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = -3.881161 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . X(pi),
#   so psi = -phi_vz/2 leaves exactly X(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 7.4442e-06 with no virtual Z,
#   matching the canonical file's 7.4442e-06.
# 
# -- conventions ----------------------------------------------------------
#   target = X(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 0.0 deg in the equatorial plane
#   provenance: solved independently on this device
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback -------------------------------------------------------------
#   50 samples, sample-and-hold, dt = 1.000000000 ns  ->  1.0000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.0560 MHz  (48.11 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 7.4442e-06
#   leakage 1 - tr(B^dag B)/2       = 4.0018e-09
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.76e-03  3.74e-03  3.76e-03  3.82e-03  3.92e-03
#     eps=-0.02     5.73e-04  5.29e-04  5.25e-04  5.61e-04  6.36e-04
#     eps=+0.00     9.13e-05  2.94e-05  7.44e-06  2.54e-05  8.33e-05
#     eps=+0.02     9.26e-04  8.46e-04  8.05e-04  8.04e-04  8.44e-04
#     eps=+0.05     4.64e-03  4.53e-03  4.46e-03  4.43e-03  4.44e-03
# 
# -- provenance -----------------------------------------------------------
#   run_id = None   status = None
#   git_commit = 05c91e02d9f092f1e3f9eda2daab3af98f90754b
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 1.0 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
5.000000000000e-01,1.238609359098e-04,4.398486912425e-04,6.193046795489e-03,2.199243456212e-02,2.284777902949e-02,1.296305520970e+00,3.891206063209e-05,1.381825417098e-04
1.500000000000e+00,2.494617382761e-03,3.189635289668e-03,1.247308691381e-01,1.594817644834e-01,2.024653622689e-01,9.070650119453e-01,7.837071643201e-04,1.002053479365e-03
2.500000000000e+00,8.925896679661e-03,5.818466764265e-03,4.462948339830e-01,2.909233382132e-01,5.327433411663e-01,5.776841632871e-01,2.804153143552e-03,1.827925244177e-03
3.500000000000e+00,1.769175436405e-02,5.963084924701e-03,8.845877182026e-01,2.981542462351e-01,9.334834683822e-01,3.250958321686e-01,5.558028553922e-03,1.873358379217e-03
4.500000000000e+00,2.585078255197e-02,4.229017114679e-03,1.292539127599e+00,2.114508557340e-01,1.309720909493e+00,1.621569788312e-01,8.121262855483e-03,1.328584909938e-03
5.500000000000e+00,3.272726966960e-02,3.267126328064e-03,1.636363483480e+00,1.633563164032e-01,1.644497107378e+00,9.949921333579e-02,1.028157499661e-02,1.026398007059e-03
6.500000000000e+00,4.063648420368e-02,4.712546986945e-03,2.031824210184e+00,2.356273493472e-01,2.045441240625e+00,1.154526555835e-01,1.276632802420e-02,1.480490299388e-03
7.500000000000e+00,5.233830676515e-02,7.546363188815e-03,2.616915338257e+00,3.773181594407e-01,2.643977095410e+00,1.431974461877e-01,1.644256400347e-02,2.370759915530e-03
8.500000000000e+00,6.837056748995e-02,9.559088904202e-03,3.418528374497e+00,4.779544452101e-01,3.451778773175e+00,1.389124562274e-01,2.147924725482e-02,3.003076347645e-03
9.500000000000e+00,8.720335961584e-02,9.929447016516e-03,4.360167980792e+00,4.964723508258e-01,4.388342467932e+00,1.133771102762e-01,2.739574339375e-02,3.119427780130e-03
1.050000000000e+01,1.076209987159e-01,9.856878818898e-03,5.381049935793e+00,4.928439409449e-01,5.403572296327e+00,9.133398986521e-02,3.381013389378e-02,3.096629808477e-03
1.150000000000e+01,1.302578013011e-01,1.076079388598e-02,6.512890065057e+00,5.380396942990e-01,6.535076412114e+00,8.242434570806e-02,4.092169516405e-02,3.380603101899e-03
1.250000000000e+01,1.565810292856e-01,1.246103319485e-02,7.829051464280e+00,6.230516597423e-01,7.853804186574e+00,7.941464105236e-02,4.919138112952e-02,3.914749034106e-03
1.350000000000e+01,1.868440254446e-01,1.351587181490e-02,9.342201272228e+00,6.757935907450e-01,9.366612065635e+00,7.221194512831e-02,5.869878177038e-02,4.246136360055e-03
1.450000000000e+01,2.195962644304e-01,1.307307330634e-02,1.097981322152e+01,6.536536653171e-01,1.099925276979e+01,5.946213166318e-02,6.898820110904e-02,4.107027105904e-03
1.550000000000e+01,2.531620990434e-01,1.181445274953e-02,1.265810495217e+01,5.907226374766e-01,1.267188124213e+01,4.663370719791e-02,7.953321905221e-02,3.711619796411e-03
1.650000000000e+01,2.870381526959e-01,1.092192104010e-02,1.435190763480e+01,5.460960520051e-01,1.436229346782e+01,3.803206810113e-02,9.017569518095e-02,3.431222690267e-03
