# ==========================================================================
# X(pi) gate for the Novera transmon  --  arm C: Optimized 3D, unguarded
# ==========================================================================
# 
# *** THIS PULSE ALONE IS NOT THE TARGET GATE. READ THE NEXT 6 LINES. ***
# 
#   The pulse realises   W = R_z(phi_vz) . X(pi)   with
#       phi_vz = -0.129431997411 rad = -7.415907 deg
#   You MUST apply phi_vz as a virtual-Z (frame update) AFTER the pulse.
#   Playing this file without it gives 1 - Fbar = 2.8417e-03  (instead of 5.3740e-05).
#   Alternative: use the companion file *_vzfree.csv, which has the whole drive
#   phase pre-rotated by psi = -phi_vz/2 = +3.707954 deg and needs NO virtual Z.
# 
# -- conventions ----------------------------------------------------------
#   target = X(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 0.0 deg in the equatorial plane
#   provenance: solved independently on this device
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback -------------------------------------------------------------
#   50 samples, sample-and-hold, dt = 1.000000000 ns  ->  1.0000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 45.0478 MHz  (90.10 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 5.3740e-05
#   leakage 1 - tr(B^dag B)/2       = 6.9334e-05
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     8.81e-03  8.88e-03  8.96e-03  9.03e-03  9.09e-03
#     eps=-0.02     1.51e-03  1.54e-03  1.58e-03  1.61e-03  1.65e-03
#     eps=+0.00     4.56e-05  4.87e-05  5.37e-05  6.06e-05  6.91e-05
#     eps=+0.02     1.37e-03  1.34e-03  1.31e-03  1.29e-03  1.26e-03
#     eps=+0.05     8.64e-03  8.55e-03  8.46e-03  8.38e-03  8.31e-03
# 
# -- provenance -----------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armC_accepted   status = maxiter
#   git_commit = 05c91e02d9f092f1e3f9eda2daab3af98f90754b
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 1.0 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
5.000000000000e-01,3.809818555257e-03,-2.085064446995e-02,1.904909277628e-01,-1.042532223498e+00,1.059792541298e+00,-1.390070525664e+00,1.196889798471e-03,-6.550423148941e-03
1.500000000000e+00,-4.227817063654e-02,-1.748607675734e-01,-2.113908531827e+00,-8.743038378670e+00,8.994961332425e+00,-1.808025488299e+00,-1.328207902790e-02,-5.493413028097e-02
2.500000000000e+00,-2.708912811668e-01,-3.507887898983e-01,-1.354456405834e+01,-1.753943949491e+01,2.216048630618e+01,-2.228376452295e+00,-8.510300588352e-02,-1.102035485306e-01
3.500000000000e+00,-6.218961472467e-01,-3.573634992217e-01,-3.109480736234e+01,-1.786817496109e+01,3.586305510328e+01,-2.620032474425e+00,-1.953744367486e-01,-1.122690543816e-01
4.500000000000e+00,-8.687875666940e-01,-1.694699726310e-01,-4.343937833470e+01,-8.473498631550e+00,4.425810399423e+01,-2.948946840106e+00,-2.729376637056e-01,-5.324056210216e-02
5.500000000000e+00,-9.001553955740e-01,3.798550212992e-02,-4.500776977870e+01,1.899275106496e+00,4.504782554556e+01,3.099418847901e+00,-2.827921577825e-01,1.193349744343e-02
6.500000000000e+00,-8.328633281658e-01,1.305812476519e-01,-4.164316640829e+01,6.529062382596e+00,4.215189158394e+01,2.986072801351e+00,-2.616517313210e-01,4.102330883199e-02
7.500000000000e+00,-8.052917715445e-01,1.705779622306e-01,-4.026458857723e+01,8.528898111528e+00,4.115797852531e+01,2.932856712134e+00,-2.529898713481e-01,5.358864730078e-02
8.500000000000e+00,-8.080593336311e-01,2.821801617354e-01,-4.040296668155e+01,1.410900808677e+01,4.279560521670e+01,2.805624262425e+00,-2.538593266200e-01,8.864951230969e-02
9.500000000000e+00,-7.512515948813e-01,4.572946108832e-01,-3.756257974406e+01,2.286473054416e+01,4.397434820309e+01,2.594793098502e+00,-2.360126491477e-01,1.436633390077e-01
1.050000000000e+01,-6.400800533704e-01,5.857233205919e-01,-3.200400266852e+01,2.928616602960e+01,4.338128291694e+01,2.400509220793e+00,-2.010870793378e-01,1.840104081008e-01
1.150000000000e+01,-5.675643087922e-01,6.300054778630e-01,-2.837821543961e+01,3.150027389315e+01,4.239799956225e+01,2.304101761788e+00,-1.783055862941e-01,1.979220580976e-01
1.250000000000e+01,-5.349780510114e-01,6.297425942640e-01,-2.674890255057e+01,3.148712971320e+01,4.131516822229e+01,2.275010850797e+00,-1.680683114889e-01,1.978394707792e-01
1.350000000000e+01,-4.357461445732e-01,6.015916116392e-01,-2.178730722866e+01,3.007958058196e+01,3.714118905289e+01,2.197660082585e+00,-1.368936886621e-01,1.889955787587e-01
1.450000000000e+01,-2.029019642617e-01,5.200609287456e-01,-1.014509821308e+01,2.600304643728e+01,2.791203041293e+01,1.942782913000e+00,-6.374353203234e-02,1.633819593166e-01
1.550000000000e+01,1.151361869264e-01,3.620194960809e-01,5.756809346320e+00,1.810097480405e+01,1.899437134276e+01,1.262873569771e+00,3.617109990103e-02,1.137317789344e-01
1.650000000000e+01,4.064628023378e-01,1.791891026024e-01,2.032314011689e+01,8.959455130119e+00,2.221039982619e+01,4.152187337213e-01,1.276940553782e-01,5.629391683390e-02
1.750000000000e+01,6.014676112438e-01,7.575579066817e-02,3.007338056219e+01,3.787789533409e+00,3.031098098029e+01,1.252918162085e-01,1.889566228856e-01,2.379938354300e-02
1.850000000000e+01,6.959312360107e-01,1.122052538954e-01,3.479656180053e+01,5.610262694770e+00,3.524593254040e+01,1.598546946308e-01,2.186332458455e-01,3.525032013320e-02
1.950000000000e+01,7.072963202516e-01,2.457356913883e-01,3.536481601258e+01,1.228678456941e+01,3.743841992738e+01,3.343831153900e-01,2.222036923614e-01,7.720014427903e-02
2.050000000000e+01,6.865612400636e-01,3.738454009864e-01,3.432806200318e+01,1.869227004932e+01,3.908729717556e+01,4.986251442669e-01,2.156895748023e-01,1.174469965317e-01
2.150000000000e+01,6.745428663732e-01,4.413109947191e-01,3.372714331866e+01,2.206554973595e+01,4.030395367191e+01,5.793481121892e-01,2.119138913529e-01,1.386419378958e-01
2.250000000000e+01,6.603380372059e-01,4.526971080102e-01,3.301690186029e+01,2.263485540051e+01,4.003064435472e+01,6.009644405366e-01,2.074513126572e-01,1.422189908826e-01
2.350000000000e+01,6.325056846259e-01,4.389516181839e-01,3.162528423130e+01,2.194758090919e+01,3.849486862526e+01,6.066799393484e-01,1.987075212175e-01,1.379007178968e-01
2.450000000000e+01,6.157062737036e-01,4.209854064044e-01,3.078531368518e+01,2.104927032022e+01,3.729352919353e+01,5.997323074367e-01,1.934298306236e-01,1.322564660029e-01
