# ==========================================================================
# X(pi) gate for the Novera transmon  --  arm C: Optimized 3D, unguarded
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = +3.707954 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . X(pi),
#   so psi = -phi_vz/2 leaves exactly X(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 5.3740e-05 with no virtual Z,
#   matching the canonical file's 5.3740e-05.
# 
# -- conventions ----------------------------------------------------------
#   target = X(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 0.0 deg in the equatorial plane
#   provenance: solved independently on this device
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback -------------------------------------------------------------
#   50 samples, sample-and-hold, dt = 1.000000000 ns  ->  1.0000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 45.0478 MHz  (90.10 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 5.3740e-05
#   leakage 1 - tr(B^dag B)/2       = 6.9334e-05
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     8.81e-03  8.88e-03  8.96e-03  9.03e-03  9.09e-03
#     eps=-0.02     1.51e-03  1.54e-03  1.58e-03  1.61e-03  1.65e-03
#     eps=+0.00     4.56e-05  4.87e-05  5.37e-05  6.06e-05  6.91e-05
#     eps=+0.02     1.37e-03  1.34e-03  1.31e-03  1.29e-03  1.26e-03
#     eps=+0.05     8.64e-03  8.55e-03  8.46e-03  8.38e-03  8.31e-03
# 
# -- provenance -----------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armC_accepted   status = maxiter
#   git_commit = 05c91e02d9f092f1e3f9eda2daab3af98f90754b
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 1.0 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
5.000000000000e-01,5.150271854746e-03,-2.056061263821e-02,2.575135927373e-01,-1.028030631910e+00,1.059792541298e+00,-1.325354526959e+00,1.618005622286e-03,-6.459306961750e-03
1.500000000000e+00,-3.088127586053e-02,-1.772288874590e-01,-1.544063793026e+00,-8.861444372950e+00,8.994961332425e+00,-1.743309489594e+00,-9.701638937692e-03,-5.567809708451e-02
2.500000000000e+00,-2.476384072089e-01,-3.675732316227e-01,-1.238192036045e+01,-1.837866158113e+01,2.216048630618e+01,-2.163660453589e+00,-7.779790008342e-02,-1.154765364122e-01
3.500000000000e+00,-5.974833054938e-01,-3.968339554430e-01,-2.987416527469e+01,-1.984169777215e+01,3.586305510328e+01,-2.555316475720e+00,-1.877049163182e-01,-1.246690639115e-01
4.500000000000e+00,-8.560091261084e-01,-2.253004298368e-01,-4.280045630542e+01,-1.126502149184e+01,4.425810399423e+01,-2.884230841401e+00,-2.689231981988e-01,-7.078021752258e-02
5.500000000000e+00,-9.007276098689e-01,-2.030781556227e-02,-4.503638049345e+01,-1.015390778114e+00,4.504782554556e+01,-3.119050460573e+00,-2.829719242050e-01,-6.379888418089e-03
6.500000000000e+00,-8.395646524247e-01,7.644592886930e-02,-4.197823262124e+01,3.822296443465e+00,4.215189158394e+01,3.050788800056e+00,-2.637570144271e-01,2.401619685326e-02
7.500000000000e+00,-8.146374336230e-01,1.181419919258e-01,-4.073187168115e+01,5.907099596292e+00,4.115797852531e+01,2.997572710839e+00,-2.559258976809e-01,3.711540139147e-02
8.500000000000e+00,-8.246166096274e-01,2.293315884738e-01,-4.123083048137e+01,1.146657942369e+01,4.279560521670e+01,2.870340261131e+00,-2.590609482834e-01,7.204664335854e-02
9.500000000000e+00,-7.792525869167e-01,4.077532657602e-01,-3.896262934584e+01,2.038766328801e+01,4.397434820309e+01,2.659509097208e+00,-2.448094202348e-01,1.280994664190e-01
1.050000000000e+01,-6.766193581469e-01,5.431026856763e-01,-3.383096790734e+01,2.715513428382e+01,4.338128291694e+01,2.465225219498e+00,-2.125662404831e-01,1.706207407466e-01
1.150000000000e+01,-6.071191784367e-01,5.919817986447e-01,-3.035595892183e+01,2.959908993223e+01,4.239799956225e+01,2.368817760493e+00,-1.907321150830e-01,1.859765669681e-01
1.250000000000e+01,-5.745841341801e-01,5.938268458422e-01,-2.872920670900e+01,2.969134229211e+01,4.131516822229e+01,2.339726849502e+00,-1.805109294809e-01,1.865562056402e-01
1.350000000000e+01,-4.737394072589e-01,5.721522032772e-01,-2.368697036295e+01,2.860761016386e+01,3.714118905289e+01,2.262376081290e+00,-1.488296241561e-01,1.797469158551e-01
1.450000000000e+01,-2.361099938786e-01,5.058504200845e-01,-1.180549969393e+01,2.529252100422e+01,2.791203041293e+01,2.007498911705e+00,-7.417614222081e-02,1.589175963553e-01
1.550000000000e+01,9.148306367195e-02,3.687076160643e-01,4.574153183597e+00,1.843538080322e+01,1.899437134276e+01,1.327589568477e+00,2.874025207597e-02,1.158329137950e-01
