# ==========================================================================
# X(pi) gate for the Novera transmon  --  arm D: Optimized 3D + fluence cap
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = -72.912274 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . X(pi),
#   so psi = -phi_vz/2 leaves exactly X(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 5.1458e-06 with no virtual Z,
#   matching the canonical file's 5.1458e-06.
# 
# -- conventions ----------------------------------------------------------
#   target = X(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 0.0 deg in the equatorial plane
#   provenance: solved independently on this device
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback -------------------------------------------------------------
#   50 samples, sample-and-hold, dt = 1.000000000 ns  ->  1.0000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.2274 MHz  (48.45 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 5.1458e-06
#   leakage 1 - tr(B^dag B)/2       = 6.8860e-06
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.79e-03  3.69e-03  3.68e-03  3.76e-03  3.92e-03
#     eps=-0.02     7.48e-04  6.23e-04  5.86e-04  6.39e-04  7.81e-04
#     eps=+0.00     2.00e-04  5.80e-05  5.15e-06  4.20e-05  1.69e-04
#     eps=+0.02     8.26e-04  6.66e-04  5.97e-04  6.17e-04  7.28e-04
#     eps=+0.05     3.93e-03  3.74e-03  3.65e-03  3.64e-03  3.73e-03
# 
# -- provenance -----------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armD_accepted   status = maxiter
#   git_commit = 05c91e02d9f092f1e3f9eda2daab3af98f90754b
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 1.0 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
5.000000000000e-01,-1.046889412926e-02,5.949616625270e-03,-5.234447064628e-01,2.974808312635e-01,6.020707646890e-01,2.624797775580e+00,-3.288900088768e-03,1.869127188162e-03
1.500000000000e+00,-6.779727794798e-02,7.480434537988e-02,-3.389863897399e+00,3.740217268994e+00,5.047811650822e+00,2.307096619151e+00,-2.129914303348e-02,2.350047819020e-02
2.500000000000e+00,-8.296547730174e-02,2.082839239888e-01,-4.148273865087e+00,1.041419619944e+01,1.120998030954e+01,1.949861150559e+00,-2.606437339927e-02,6.543432454641e-02
3.500000000000e+00,9.074759806850e-03,3.199392801589e-01,4.537379903425e-01,1.599696400795e+01,1.600339762786e+01,1.542439923113e+00,2.850919874229e-03,1.005118892142e-01
4.500000000000e+00,1.393920106387e-01,2.987083088681e-01,6.969600531937e+00,1.493541544341e+01,1.648156442944e+01,1.134183462660e+00,4.379129165918e-02,9.384198287063e-02
5.500000000000e+00,1.790567670840e-01,1.674871790365e-01,8.952838354200e+00,8.374358951825e+00,1.225900495352e+01,7.520249287455e-01,5.625234240466e-02,5.261764912315e-02
6.500000000000e+00,1.043656251577e-01,6.915271670094e-02,5.218281257887e+00,3.457635835047e+00,6.259848628698e+00,5.851822882499e-01,3.278742812828e-02,2.172496667635e-02
7.500000000000e+00,-1.617008043272e-02,7.009661044385e-02,-8.085040216361e-01,3.504830522192e+00,3.596875830814e+00,1.797513086411e+00,-5.079980589540e-03,2.202149964119e-02
8.500000000000e+00,-1.170885554429e-01,1.322244553308e-01,-5.854427772145e+00,6.611222766541e+00,8.830775221241e+00,2.295558484430e+00,-3.678445455989e-02,4.153953774922e-02
9.500000000000e+00,-1.873213737149e-01,2.058574625771e-01,-9.366068685747e+00,1.029287312886e+01,1.391641045216e+01,2.309085203435e+00,-5.884874515232e-02,6.467202921190e-02
1.050000000000e+01,-2.573706885130e-01,2.458384469996e-01,-1.286853442565e+01,1.229192234998e+01,1.779580100254e+01,2.379107872319e+00,-8.085538642817e-02,7.723242590638e-02
1.150000000000e+01,-3.337765838467e-01,2.262291404799e-01,-1.668882919233e+01,1.131145702400e+01,2.016100393871e+01,2.545931412191e+00,-1.048590063753e-01,7.107198057596e-02
1.250000000000e+01,-3.874863172195e-01,1.643859819437e-01,-1.937431586098e+01,8.219299097187e+00,2.104568822182e+01,2.740368562618e+00,-1.217324167543e-01,5.164337932276e-02
1.350000000000e+01,-3.955215583733e-01,9.818105726060e-02,-1.977607791867e+01,4.909052863030e+00,2.037626211691e+01,2.898278801033e+00,-1.242567622122e-01,3.084448882116e-02
1.450000000000e+01,-3.641909483600e-01,3.779883095648e-02,-1.820954741800e+01,1.889941547824e+00,1.830736180400e+01,3.038174438534e+00,-1.144139607872e-01,1.187485296472e-02
1.550000000000e+01,-3.176959473948e-01,-3.247657085399e-02,-1.588479736974e+01,-1.623828542699e+00,1.596757986089e+01,-3.039721199855e+00,-9.980712544108e-02,-1.020281564087e-02
