# ==========================================================================
# X(pi) gate for the Novera transmon  --  arm F: Optimized 3D, robust arm
# ==========================================================================
# 
# *** THIS PULSE ALONE IS NOT THE TARGET GATE. READ THE NEXT 6 LINES. ***
# 
#   The pulse realises   W = R_z(phi_vz) . X(pi)   with
#       phi_vz = -2.620289661052 rad = -150.131539 deg
#   You MUST apply phi_vz as a virtual-Z (frame update) AFTER the pulse.
#   Playing this file without it gives 1 - Fbar = 6.2239e-01  (instead of 4.7039e-05).
#   Alternative: use the companion file *_vzfree.csv, which has the whole drive
#   phase pre-rotated by psi = -phi_vz/2 = +75.065769 deg and needs NO virtual Z.
# 
# -- conventions ----------------------------------------------------------
#   target = X(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 0.0 deg in the equatorial plane
#   provenance: solved independently on this device
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback -------------------------------------------------------------
#   50 samples, sample-and-hold, dt = 1.000000000 ns  ->  1.0000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 42.7959 MHz  (85.59 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 4.7039e-05
#   leakage 1 - tr(B^dag B)/2       = 2.3149e-06
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.15e-05  1.76e-05  9.29e-06  6.90e-06  1.07e-05
#     eps=-0.02     4.60e-05  3.90e-05  3.61e-05  3.75e-05  4.34e-05
#     eps=+0.00     5.24e-05  4.81e-05  4.70e-05  4.94e-05  5.53e-05
#     eps=+0.02     4.66e-05  4.37e-05  4.33e-05  4.54e-05  5.03e-05
#     eps=+0.05     2.36e-05  2.05e-05  1.89e-05  1.88e-05  2.03e-05
# 
# -- provenance -----------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armF_accepted   status = maxiter
#   git_commit = 05c91e02d9f092f1e3f9eda2daab3af98f90754b
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 1.0 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
5.000000000000e-01,-2.779722976162e-03,-1.681537523854e-02,-1.389861488081e-01,-8.407687619269e-01,8.521791247106e-01,-1.734623168655e+00,-8.732757280924e-04,-5.282705931675e-03
1.500000000000e+00,-7.867131819190e-02,-1.224773507825e-01,-3.933565909595e+00,-6.123867539124e+00,7.278371686158e+00,-2.141763272458e+00,-2.471532352799e-02,-3.847739454494e-02
2.500000000000e+00,-2.765764694002e-01,-2.319027340532e-01,-1.382882347001e+01,-1.159513670266e+01,1.804670478835e+01,-2.443827022111e+00,-8.688906044234e-02,-7.285439256488e-02
3.500000000000e+00,-4.834409736302e-01,-2.854340548139e-01,-2.417204868151e+01,-1.427170274069e+01,2.807079330158e+01,-2.608245770101e+00,-1.518774611201e-01,-8.967175296875e-02
4.500000000000e+00,-5.775390733663e-01,-3.177399232541e-01,-2.887695366832e+01,-1.588699616271e+01,3.295868778086e+01,-2.638625245673e+00,-1.814392510049e-01,-9.982094086473e-02
5.500000000000e+00,-5.204076113548e-01,-3.977944925605e-01,-2.602038056774e+01,-1.988972462803e+01,3.275150913575e+01,-2.488945232269e+00,-1.634908728705e-01,-1.249708255467e-01
6.500000000000e+00,-3.288744117381e-01,-5.341185394615e-01,-1.644372058690e+01,-2.670592697307e+01,3.136243744085e+01,-2.122703962483e+00,-1.033189435870e-01,-1.677982879718e-01
7.500000000000e+00,-7.883807740930e-02,-6.749123250703e-01,-3.941903870465e+00,-3.374561625352e+01,3.397506765929e+01,-1.687081652986e+00,-2.476771248122e-02,-2.120299602258e-01
8.500000000000e+00,1.569603088576e-01,-7.660617739167e-01,7.848015442879e+00,-3.830308869584e+01,3.909882287273e+01,-1.368700900557e+00,4.931053532122e-02,-2.406654041133e-01
9.500000000000e+00,3.564431804794e-01,-7.685555769091e-01,1.782215902397e+01,-3.842777884545e+01,4.235945631463e+01,-1.136539575283e+00,1.119799277216e-01,-2.414488554293e-01
1.050000000000e+01,5.287063800208e-01,-6.674588205066e-01,2.643531900104e+01,-3.337294102533e+01,4.257439704056e+01,-9.008797794259e-01,1.660980079379e-01,-2.096883727077e-01
1.150000000000e+01,6.702809087412e-01,-4.952387434306e-01,3.351404543706e+01,-2.476193717153e+01,4.166947052752e+01,-6.363284693536e-01,2.105749578743e-01,-1.555838398135e-01
1.250000000000e+01,7.739839595865e-01,-3.254844387068e-01,3.869919797932e+01,-1.627422193534e+01,4.198187970832e+01,-3.980794918303e-01,2.431542321433e-01,-1.022539521499e-01
1.350000000000e+01,8.317528457564e-01,-2.019476220229e-01,4.158764228782e+01,-1.009738110115e+01,4.279590045976e+01,-2.381885617503e-01,2.613028629831e-01,-6.344371657572e-02
1.450000000000e+01,8.355869175464e-01,-1.121394065670e-01,4.177934587732e+01,-5.606970328349e+00,4.215390679640e+01,-1.334072455813e-01,2.625073721599e-01,-3.522963358487e-02
1.550000000000e+01,8.050332478329e-01,-2.375878945399e-02,4.025166239165e+01,-1.187939472699e+00,4.026918828933e+01,-2.950424110699e-02,2.529086537287e-01,-7.464043840684e-03
