# ==========================================================================
# X(pi) gate for the Novera transmon  --  arm F: Optimized 3D, robust arm
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = +75.065769 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . X(pi),
#   so psi = -phi_vz/2 leaves exactly X(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 4.7039e-05 with no virtual Z,
#   matching the canonical file's 4.7039e-05.
# 
# -- conventions ----------------------------------------------------------
#   target = X(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 0.0 deg in the equatorial plane
#   provenance: solved independently on this device
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback -------------------------------------------------------------
#   50 samples, sample-and-hold, dt = 1.000000000 ns  ->  1.0000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 42.7959 MHz  (85.59 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 4.7039e-05
#   leakage 1 - tr(B^dag B)/2       = 2.3149e-06
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.15e-05  1.76e-05  9.29e-06  6.90e-06  1.07e-05
#     eps=-0.02     4.60e-05  3.90e-05  3.61e-05  3.75e-05  4.34e-05
#     eps=+0.00     5.24e-05  4.81e-05  4.70e-05  4.94e-05  5.53e-05
#     eps=+0.02     4.66e-05  4.37e-05  4.33e-05  4.54e-05  5.03e-05
#     eps=+0.05     2.36e-05  2.05e-05  1.89e-05  1.88e-05  2.03e-05
# 
# -- provenance -----------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armF_accepted   status = maxiter
#   git_commit = 05c91e02d9f092f1e3f9eda2daab3af98f90754b
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 1.0 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
5.000000000000e-01,1.553102762638e-02,-7.019322268248e-03,7.765513813192e-01,-3.509661134124e-01,8.521791247106e-01,-4.244783381290e-01,4.879216229375e-03,-2.205185127111e-03
1.500000000000e+00,9.806595283758e-02,-1.075776308291e-01,4.903297641879e+00,-5.378881541455e+00,7.278371686158e+00,-8.316184419319e-01,3.080832770018e-02,-3.379650947033e-02
2.500000000000e+00,1.527930411457e-01,-3.269980245577e-01,7.639652057284e+00,-1.634990122789e+01,1.804670478835e+01,-1.133682191585e+00,4.800134955829e-02,-1.027294591689e-01
3.500000000000e+00,1.512051248655e-01,-5.406706805870e-01,7.560256243275e+00,-2.703353402935e+01,2.807079330158e+01,-1.298100939575e+00,4.750249094626e-02,-1.698567038144e-01
4.500000000000e+00,1.581697445348e-01,-6.399159101071e-01,7.908487226742e+00,-3.199579550535e+01,3.295868778086e+01,-1.328480415146e+00,4.969049074508e-02,-2.010355122108e-01
5.500000000000e+00,2.502436081003e-01,-6.053450890793e-01,1.251218040502e+01,-3.026725445397e+01,3.275150913575e+01,-1.178800401742e+00,7.861634808158e-02,-1.901747684738e-01
6.500000000000e+00,4.313229797433e-01,-4.554135264107e-01,2.156614898717e+01,-2.277067632054e+01,3.136243744085e+01,-8.125591319571e-01,1.355041104486e-01,-1.430723788917e-01
7.500000000000e+00,6.317979610457e-01,-2.501068279753e-01,3.158989805229e+01,-1.250534139877e+01,3.397506765929e+01,-3.769368224601e-01,1.984851832974e-01,-7.857337733799e-02
8.500000000000e+00,7.806362148202e-01,-4.576330543439e-02,3.903181074101e+01,-2.288165271720e+00,3.909882287273e+01,-5.855607003084e-02,2.452440997605e-01,-1.437696641567e-02
9.500000000000e+00,8.344545329948e-01,1.463388125985e-01,4.172272664974e+01,7.316940629925e+00,4.235945631463e+01,1.736052552434e-01,2.621516230611e-01,4.597369385945e-02
1.050000000000e+01,7.811665597338e-01,3.388370099331e-01,3.905832798669e+01,1.694185049665e+01,4.257439704056e+01,4.092650511003e-01,2.454107125290e-01,1.064487861170e-01
1.150000000000e+01,6.512488686547e-01,5.200123274438e-01,3.256244343274e+01,2.600061637219e+01,4.166947052752e+01,6.738163611726e-01,2.045958661424e-01,1.633666907674e-01
1.250000000000e+01,5.139537995471e-01,6.639599245952e-01,2.569768997736e+01,3.319799622976e+01,4.198187970832e+01,9.120653386959e-01,1.614633480942e-01,2.085891621386e-01
1.350000000000e+01,4.094773993656e-01,7.516141948323e-01,2.047386996828e+01,3.758070974161e+01,4.279590045976e+01,1.071956268776e+00,1.286411189658e-01,2.361265632819e-01
1.450000000000e+01,3.236907791349e-01,7.784632443364e-01,1.618453895675e+01,3.892316221682e+01,4.215390679640e+01,1.176737584945e+00,1.016904573765e-01,2.445614409497e-01
1.550000000000e+01,2.304214680488e-01,7.717181851265e-01,1.152107340244e+01,3.858590925633e+01,4.026918828933e+01,1.280640589419e+00,7.238903912515e-02,2.424424181035e-01
1.650000000000e+01,1.392510229718e-01,7.757586130056e-01,6.962551148588e+00,3.878793065028e+01,3.940787589591e+01,1.393184802004e+00,4.374699907729e-02,2.437117559577e-01
1.750000000000e+01,8.600885568984e-02,7.923659535745e-01,4.300442784492e+00,3.961829767872e+01,3.985101402854e+01,1.462672768772e+00,2.702047891789e-02,2.489291058704e-01
1.850000000000e+01,9.219498534414e-02,7.530111633453e-01,4.609749267207e+00,3.765055816727e+01,3.793170598079e+01,1.448967579719e+00,2.896390886550e-02,2.365654338837e-01
1.950000000000e+01,1.597581442510e-01,5.967142136199e-01,7.987907212551e+00,2.983571068099e+01,3.088650665706e+01,1.309201697466e+00,5.018950123301e-02,1.874632989801e-01
2.050000000000e+01,2.627934253266e-01,3.314964692706e-01,1.313967126633e+01,1.657482346353e+01,2.115125844564e+01,9.004925192102e-01,8.255898944177e-02,1.041426872552e-01
2.150000000000e+01,3.604085994974e-01,8.437551924297e-03,1.802042997487e+01,4.218775962149e-01,1.802536760195e+01,2.340679707144e-02,1.132257008471e-01,2.650735113965e-03
2.250000000000e+01,4.255929439374e-01,-2.880868987101e-01,2.127964719687e+01,-1.440434493551e+01,2.569646936535e+01,-5.950586885535e-01,1.337039666093e-01,-9.050516845832e-02
2.350000000000e+01,4.429806850826e-01,-4.934684350002e-01,2.214903425413e+01,-2.467342175001e+01,3.315655982222e+01,-8.392600508233e-01,1.391664865938e-01,-1.550276810175e-01
2.450000000000e+01,4.329459360893e-01,-6.067373464865e-01,2.164729680446e+01,-3.033686732432e+01,3.726836430532e+01,-9.510248869179e-01,1.360139772220e-01,-1.906121590380e-01
2.550000000000e+01,4.249658294957e-01,-6.615512369006e-01,2.124829147478e+01,-3.307756184503e+01,3.931431022171e+01,-9.997980934826e-01,1.335069527970e-01,-2.078324505820e-01
2.650000000000e+01,4.245553927800e-01,-6.849004439565e-01,2.122776963900e+01,-3.424502219783e+01,4.029069060188e+01,-1.015888016718e+00,1.333780103000e-01,-2.151678203174e-01
2.750000000000e+01,4.279594889599e-01,-6.912793544169e-01,2.139797444799e+01,-3.456396772085e+01,4.065145969193e+01,-1.016463051112e+00,1.344474386550e-01,-2.171718141414e-01
2.850000000000e+01,4.360738650517e-01,-6.952781586076e-01,2.180369325258e+01,-3.476390793038e+01,4.103572022086e+01,-1.010621297118e+00,1.369966450869e-01,-2.184280755283e-01
2.950000000000e+01,4.507991213551e-01,-7.045686752856e-01,2.253995606775e+01,-3.522843376428e+01,4.182214921570e+01,-1.001608836356e+00,1.416227207894e-01,-2.213467774227e-01
3.050000000000e+01,4.777384688884e-01,-7.032195318681e-01,2.388692344442e+01,-3.516097659340e+01,4.250740390381e+01,-9.740581676630e-01,1.500859664197e-01,-2.209229315178e-01
3.150000000000e+01,5.315172603050e-01,-6.622422452920e-01,2.657586301525e+01,-3.311211226460e+01,4.245807901482e+01,-8.944705273049e-01,1.669810720230e-01,-2.080495372706e-01
3.250000000000e+01,6.190883021166e-01,-5.665092757406e-01,3.095441510583e+01,-2.832546378703e+01,4.195840456088e+01,-7.410790808191e-01,1.944923261853e-01,-1.779741378857e-01
3.350000000000e+01,7.157905329570e-01,-4.293363156099e-01,3.578952664785e+01,-2.146681578050e+01,4.173385193618e+01,-5.402777237636e-01,2.248722279847e-01,-1.348799815039e-01
3.450000000000e+01,7.772328576043e-01,-2.856816562936e-01,3.886164288022e+01,-1.428408281468e+01,4.140365091639e+01,-3.522342368689e-01,2.441749035578e-01,-8.974953926774e-02
3.550000000000e+01,7.737471738303e-01,-1.586121009795e-01,3.868735869152e+01,-7.930605048976e+00,3.949185003224e+01,-2.021910687459e-01,2.430798437041e-01,-4.982946112077e-02
3.650000000000e+01,7.036337290097e-01,-4.360425067777e-02,3.518168645048e+01,-2.180212533888e+00,3.524917570941e+01,-6.189095184802e-02,2.210530553875e-01,-1.369867935946e-02
3.750000000000e+01,5.868645476053e-01,6.028491031570e-02,2.934322738026e+01,3.014245515785e+00,2.949763836512e+01,1.023646728156e-01,1.843689351409e-01,1.893906313701e-02
3.850000000000e+01,4.537285010515e-01,1.154709001945e-01,2.268642505258e+01,5.773545009724e+00,2.340956436257e+01,2.492032357460e-01,1.425430125628e-01,3.627625317543e-02
3.950000000000e+01,3.364049166150e-01,7.224109245385e-02,1.682024583075e+01,3.612054622692e+00,1.720370914670e+01,2.115318984693e-01,1.056847214669e-01,2.269520853403e-02
4.050000000000e+01,2.407153647074e-01,-5.443516667869e-02,1.203576823537e+01,-2.721758333935e+00,1.233967930880e+01,-2.223984317519e-01,7.562296213711e-02,-1.710131197347e-02
4.150000000000e+01,1.153981281354e-01,-1.695897052877e-01,5.769906406770e+00,-8.479485264385e+00,1.025638777991e+01,-9.733087423020e-01,3.625339115882e-02,-5.327817722563e-02
4.250000000000e+01,-9.674577932007e-02,-1.739596949539e-01,-4.837288966004e+00,-8.697984747697e+00,9.952602836032e+00,-2.078340597821e+00,-3.039358295778e-02,-5.465104996880e-02
4.350000000000e+01,-3.560511502622e-01,-1.303337111727e-02,-1.780255751311e+01,-6.516685558636e-01,1.781448079272e+01,-3.105003656682e+00,-1.118567677966e-01,-4.094554295353e-03
4.450000000000e+01,-5.365162061489e-01,2.928644414583e-01,-2.682581030744e+01,1.464322207292e+01,3.056219971350e+01,2.641931052473e+00,-1.685515371769e-01,9.200607777832e-02
4.550000000000e+01,-5.353744381755e-01,5.886217122865e-01,-2.676872190877e+01,2.943108561432e+01,3.978383180473e+01,2.308856699220e+00,-1.681928401892e-01,1.849209647063e-01
4.650000000000e+01,-3.556407048355e-01,6.867856214524e-01,-1.778203524177e+01,3.433928107262e+01,3.867023405572e+01,2.048608856359e+00,-1.117278225629e-01,2.157600662946e-01
4.750000000000e+01,-1.244460059055e-01,5.330415627833e-01,-6.222300295274e+00,2.665207813916e+01,2.736878313153e+01,1.800152159488e+00,-3.909586579213e-02,1.674599457698e-01
4.850000000000e+01,4.943102589881e-03,2.392022477092e-01,2.471551294940e-01,1.196011238546e+01,1.196266583713e+01,1.550134317207e+00,1.552921478231e-03,7.514760241255e-02
4.950000000000e+01,8.652536233797e-03,2.641277715305e-02,4.326268116899e-01,1.320638857653e+00,1.389695272545e+00,1.254224517295e+00,2.718274426702e-03,8.297818666493e-03
