# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm B: Gaussian + DRAG (standard baseline)
# ==========================================================================
# 
# *** THIS PULSE ALONE IS NOT THE TARGET GATE. READ THE NEXT 6 LINES. ***
# 
#   The pulse realises   W = R_z(phi_vz) . Y(pi)   with
#       phi_vz = 0.135478028966 rad = 7.762319 deg
#   You MUST apply phi_vz as a virtual-Z (frame update) AFTER the pulse.
#   Playing this file without it gives 1 - Fbar = 3.0618e-03  (instead of 7.4442e-06).
#   Alternative: use the companion file *_vzfree.csv, which has the whole drive
#   phase pre-rotated by psi = -phi_vz/2 = -3.881160 deg and needs NO virtual Z.
# 
# -- conventions ----------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback -------------------------------------------------------------
#   50 samples, sample-and-hold, dt = 1.000000000 ns  ->  1.0000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.0560 MHz  (48.11 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 7.4442e-06
#   leakage 1 - tr(B^dag B)/2       = 4.0018e-09
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.76e-03  3.74e-03  3.76e-03  3.82e-03  3.92e-03
#     eps=-0.02     5.73e-04  5.29e-04  5.25e-04  5.61e-04  6.36e-04
#     eps=+0.00     9.13e-05  2.94e-05  7.44e-06  2.54e-05  8.33e-05
#     eps=+0.02     9.26e-04  8.46e-04  8.05e-04  8.04e-04  8.44e-04
#     eps=+0.05     4.64e-03  4.53e-03  4.46e-03  4.43e-03  4.44e-03
# 
# -- provenance -----------------------------------------------------------
#   run_id = None   status = None
#   git_commit = 05c91e02d9f092f1e3f9eda2daab3af98f90754b
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 1.0 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
5.000000000000e-01,-4.472237432133e-04,9.380472343330e-05,-2.236118716067e-02,4.690236171665e-03,2.284777902949e-02,2.934840890240e+00,-1.404994826190e-04,2.946962300101e-05
1.500000000000e+00,-3.351173933086e-03,2.272998556461e-03,-1.675586966543e-01,1.136499278231e-01,2.024653622689e-01,2.545600381215e+00,-1.052802340908e-03,7.140835566600e-04
2.500000000000e+00,-6.409292024510e-03,8.511589908318e-03,-3.204646012255e-01,4.255794954159e-01,5.327433411663e-01,2.216219532557e+00,-2.013538473891e-03,2.673994832634e-03
3.500000000000e+00,-7.146915316918e-03,1.724755506586e-02,-3.573457658459e-01,8.623777532931e-01,9.334834683822e-01,1.963631201439e+00,-2.245269665546e-03,5.418479228730e-03
4.500000000000e+00,-5.969086619536e-03,2.550524552389e-02,-2.984543309768e-01,1.275262276195e+00,1.309720909493e+00,1.800692348101e+00,-1.875243867258e-03,8.012709196587e-03
5.500000000000e+00,-5.474852347559e-03,3.243106976717e-02,-2.737426173780e-01,1.621553488358e+00,1.644497107378e+00,1.738034582606e+00,-1.719975591458e-03,1.018852105286e-02
6.500000000000e+00,-7.452311043524e-03,4.022430866591e-02,-3.726155521762e-01,2.011215433295e+00,2.045441240625e+00,1.753988024854e+00,-2.341212562660e-03,1.263683926005e-02
7.500000000000e+00,-1.107169232767e-02,5.170748090385e-02,-5.535846163834e-01,2.585374045192e+00,2.643977095410e+00,1.781732815458e+00,-3.478274727941e-03,1.624438421432e-02
8.500000000000e+00,-1.416498167470e-02,6.756673718429e-02,-7.082490837350e-01,3.378336859215e+00,3.451778773175e+00,1.777447825498e+00,-4.450060236747e-03,2.122671651652e-02
9.500000000000e+00,-1.580923031307e-02,8.633126944075e-02,-7.904615156537e-01,4.316563472038e+00,4.388342467932e+00,1.751912479546e+00,-4.966616181046e-03,2.712176818502e-02
1.050000000000e+01,-1.711884238736e-02,1.067069944285e-01,-8.559421193679e-01,5.335349721426e+00,5.403572296327e+00,1.729869359135e+00,-5.378042948208e-03,3.352299097833e-02
1.150000000000e+01,-1.955290732184e-02,1.292306979790e-01,-9.776453660922e-01,6.461534898948e+00,6.535076412114e+00,1.720959714978e+00,-6.142726999863e-03,4.059902113890e-02
1.250000000000e+01,-2.303099419649e-02,1.553784714391e-01,-1.151549709825e+00,7.768923571953e+00,7.853804186574e+00,1.717950010323e+00,-7.235400217257e-03,4.881358643990e-02
1.350000000000e+01,-2.613183262543e-02,1.855006629608e-01,-1.306591631271e+00,9.275033148038e+00,9.366612065635e+00,1.710747314399e+00,-8.209557340088e-03,5.827675199935e-02
1.450000000000e+01,-2.790695862604e-02,2.182077593893e-01,-1.395347931302e+00,1.091038796947e+01,1.099925276979e+01,1.697997500933e+00,-8.767229620359e-03,6.855198938538e-02
1.550000000000e+01,-2.892320364494e-02,2.517818062862e-01,-1.446160182247e+00,1.258909031431e+01,1.267188124213e+01,1.685169076468e+00,-9.086492408921e-03,7.909958729363e-02
