# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm B: Gaussian + DRAG (standard baseline)
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = -3.881160 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . Y(pi),
#   so psi = -phi_vz/2 leaves exactly Y(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 7.4442e-06 with no virtual Z,
#   matching the canonical file's 7.4442e-06.
# 
# -- conventions ----------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback -------------------------------------------------------------
#   50 samples, sample-and-hold, dt = 1.000000000 ns  ->  1.0000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.0560 MHz  (48.11 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 7.4442e-06
#   leakage 1 - tr(B^dag B)/2       = 4.0018e-09
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.76e-03  3.74e-03  3.76e-03  3.82e-03  3.92e-03
#     eps=-0.02     5.73e-04  5.29e-04  5.25e-04  5.61e-04  6.36e-04
#     eps=+0.00     9.13e-05  2.94e-05  7.44e-06  2.54e-05  8.33e-05
#     eps=+0.02     9.26e-04  8.46e-04  8.05e-04  8.04e-04  8.44e-04
#     eps=+0.05     4.64e-03  4.53e-03  4.46e-03  4.43e-03  4.44e-03
# 
# -- provenance -----------------------------------------------------------
#   run_id = None   status = None
#   git_commit = 05c91e02d9f092f1e3f9eda2daab3af98f90754b
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 1.0 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
5.000000000000e-01,-4.398486947096e-04,1.238609235975e-04,-2.199243473548e-02,6.193046179873e-03,2.284777902949e-02,2.867101875757e+00,-1.381825427991e-04,3.891205676407e-05
1.500000000000e+00,-3.189635359498e-03,2.494617293477e-03,-1.594817679749e-01,1.247308646738e-01,2.024653622689e-01,2.477861366732e+00,-1.002053501303e-03,7.837071362705e-04
2.500000000000e+00,-5.818467014120e-03,8.925896516789e-03,-2.909233507060e-01,4.462948258395e-01,5.327433411663e-01,2.148480518074e+00,-1.827925322671e-03,2.804153092385e-03
3.500000000000e+00,-5.963085419931e-03,1.769175419713e-02,-2.981542709966e-01,8.845877098566e-01,9.334834683822e-01,1.895892186956e+00,-1.873358534798e-03,5.558028501483e-03
4.500000000000e+00,-4.229017838298e-03,2.585078243359e-02,-2.114508919149e-01,1.292539121680e+00,1.309720909493e+00,1.732953333618e+00,-1.328585137270e-03,8.121262818293e-03
5.500000000000e+00,-3.267127244170e-03,3.272726957815e-02,-1.633563622085e-01,1.636363478907e+00,1.644497107378e+00,1.670295568123e+00,-1.026398294863e-03,1.028157496788e-02
6.500000000000e+00,-4.712548124447e-03,4.063648407176e-02,-2.356274062223e-01,2.031824203588e+00,2.045441240625e+00,1.686249010371e+00,-1.480490656745e-03,1.276632798276e-02
7.500000000000e+00,-7.546364653876e-03,5.233830655391e-02,-3.773182326938e-01,2.616915327695e+00,2.643977095410e+00,1.713993800975e+00,-2.370760375793e-03,1.644256393711e-02
8.500000000000e+00,-9.559090818040e-03,6.837056722237e-02,-4.779545409020e-01,3.418528361118e+00,3.451778773175e+00,1.709708811014e+00,-3.003076948895e-03,2.147924717076e-02
9.500000000000e+00,-9.929449457525e-03,8.720335933790e-02,-4.964724728762e-01,4.360167966895e+00,4.388342467932e+00,1.684173465063e+00,-3.119428546995e-03,2.739574330643e-02
1.050000000000e+01,-9.856881831440e-03,1.076209984400e-01,-4.928440915720e-01,5.381049921998e+00,5.403572296327e+00,1.662130344652e+00,-3.096630754895e-03,3.381013380709e-02
1.150000000000e+01,-1.076079753217e-02,1.302578009999e-01,-5.380398766087e-01,6.512890049997e+00,6.535076412114e+00,1.653220700495e+00,-3.380604247385e-03,4.092169506941e-02
1.250000000000e+01,-1.246103757788e-02,1.565810289368e-01,-6.230518788941e-01,7.829051446839e+00,7.853804186574e+00,1.650210995839e+00,-3.914750411078e-03,4.919138101993e-02
1.350000000000e+01,-1.351587704506e-02,1.868440250662e-01,-6.757938522532e-01,9.342201253311e+00,9.366612065635e+00,1.643008299915e+00,-4.246138003159e-03,5.869878165152e-02
1.450000000000e+01,-1.307307945331e-02,2.195962640645e-01,-6.536539726655e-01,1.097981320322e+01,1.099925276979e+01,1.630258486450e+00,-4.107029037031e-03,6.898820099407e-02
1.550000000000e+01,-1.181445983608e-02,2.531620987127e-01,-5.907229918040e-01,1.265810493563e+01,1.267188124213e+01,1.617430061985e+00,-3.711622022716e-03,7.953321894831e-02
