# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm C: Optimized 3D, unguarded
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = +3.707954 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . Y(pi),
#   so psi = -phi_vz/2 leaves exactly Y(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 5.3740e-05 with no virtual Z,
#   matching the canonical file's 5.3740e-05.
# 
# -- conventions ----------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback -------------------------------------------------------------
#   50 samples, sample-and-hold, dt = 1.000000000 ns  ->  1.0000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 45.0478 MHz  (90.10 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 5.3740e-05
#   leakage 1 - tr(B^dag B)/2       = 6.9334e-05
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     8.81e-03  8.88e-03  8.96e-03  9.03e-03  9.09e-03
#     eps=-0.02     1.51e-03  1.54e-03  1.58e-03  1.61e-03  1.65e-03
#     eps=+0.00     4.56e-05  4.87e-05  5.37e-05  6.06e-05  6.91e-05
#     eps=+0.02     1.37e-03  1.34e-03  1.31e-03  1.29e-03  1.26e-03
#     eps=+0.05     8.64e-03  8.55e-03  8.46e-03  8.38e-03  8.31e-03
# 
# -- provenance -----------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armC_accepted   status = maxiter
#   git_commit = 05c91e02d9f092f1e3f9eda2daab3af98f90754b
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 1.0 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
5.000000000000e-01,2.056061263822e-02,5.150271854710e-03,1.028030631911e+00,2.575135927355e-01,1.059792541298e+00,2.454417998345e-01,6.459306961753e-03,1.618005622275e-03
1.500000000000e+00,1.772288874590e-01,-3.088127586084e-02,8.861444372948e+00,-1.544063793042e+00,8.994961332425e+00,-1.725131628006e-01,5.567809708449e-02,-9.701638937789e-03
2.500000000000e+00,3.675732316222e-01,-2.476384072096e-01,1.837866158111e+01,-1.238192036048e+01,2.216048630618e+01,-5.928641267960e-01,1.154765364121e-01,-7.779790008362e-02
3.500000000000e+00,3.968339554419e-01,-5.974833054945e-01,1.984169777210e+01,-2.987416527472e+01,3.586305510328e+01,-9.845201489268e-01,1.246690639111e-01,-1.877049163184e-01
4.500000000000e+00,2.253004298353e-01,-8.560091261088e-01,1.126502149176e+01,-4.280045630544e+01,4.425810399423e+01,-1.313434514608e+00,7.078021752211e-02,-2.689231981989e-01
5.500000000000e+00,2.030781556069e-02,-9.007276098690e-01,1.015390778035e+00,-4.503638049345e+01,4.504782554556e+01,-1.548254133780e+00,6.379888417593e-03,-2.829719242050e-01
6.500000000000e+00,-7.644592887077e-02,-8.395646524246e-01,-3.822296443538e+00,-4.197823262123e+01,4.215189158394e+01,-1.661600180330e+00,-2.401619685373e-02,-2.637570144271e-01
7.500000000000e+00,-1.181419919273e-01,-8.146374336228e-01,-5.907099596363e+00,-4.073187168114e+01,4.115797852531e+01,-1.714816269547e+00,-3.711540139191e-02,-2.559258976809e-01
8.500000000000e+00,-2.293315884753e-01,-8.246166096270e-01,-1.146657942376e+01,-4.123083048135e+01,4.279560521670e+01,-1.842048719256e+00,-7.204664335900e-02,-2.590609482832e-01
9.500000000000e+00,-4.077532657616e-01,-7.792525869160e-01,-2.038766328808e+01,-3.896262934580e+01,4.397434820309e+01,-2.052879883179e+00,-1.280994664194e-01,-2.448094202346e-01
1.050000000000e+01,-5.431026856775e-01,-6.766193581459e-01,-2.715513428388e+01,-3.383096790730e+01,4.338128291694e+01,-2.247163760888e+00,-1.706207407469e-01,-2.125662404828e-01
1.150000000000e+01,-5.919817986457e-01,-6.071191784356e-01,-2.959908993229e+01,-3.035595892178e+01,4.239799956225e+01,-2.343571219893e+00,-1.859765669684e-01,-1.907321150827e-01
1.250000000000e+01,-5.938268458432e-01,-5.745841341790e-01,-2.969134229216e+01,-2.872920670895e+01,4.131516822229e+01,-2.372662130884e+00,-1.865562056405e-01,-1.805109294806e-01
1.350000000000e+01,-5.721522032781e-01,-4.737394072579e-01,-2.860761016390e+01,-2.368697036290e+01,3.714118905289e+01,-2.450012899096e+00,-1.797469158554e-01,-1.488296241558e-01
1.450000000000e+01,-5.058504200849e-01,-2.361099938777e-01,-2.529252100424e+01,-1.180549969389e+01,2.791203041293e+01,-2.704890068681e+00,-1.589175963554e-01,-7.417614222053e-02
1.550000000000e+01,-3.687076160641e-01,9.148306367259e-02,-1.843538080321e+01,4.574153183630e+00,1.899437134276e+01,2.898385895270e+00,-1.158329137950e-01,2.874025207617e-02
1.650000000000e+01,-2.051002858741e-01,3.940236248121e-01,-1.025501429370e+01,1.970118124061e+01,2.221039982619e+01,2.050731059220e+00,-6.443415513511e-02,1.237861725051e-01
1.750000000000e+01,-1.144946197655e-01,5.953093391169e-01,-5.724730988276e+00,2.976546695584e+01,3.031098098029e+01,1.760804141707e+00,-3.596954563309e-02,1.870219446383e-01
1.850000000000e+01,-1.569768229868e-01,6.872180012937e-01,-7.848841149340e+00,3.436090006468e+01,3.524593254040e+01,1.795367020129e+00,-4.931572338792e-02,2.158959024279e-01
1.950000000000e+01,-2.909627240911e-01,6.899237695956e-01,-1.454813620456e+01,3.449618847978e+01,3.743841992738e+01,1.969895440889e+00,-9.140863564732e-02,2.167459446099e-01
2.050000000000e+01,-4.174633003522e-01,6.609471333287e-01,-2.087316501761e+01,3.304735666644e+01,3.908729717556e+01,2.134137469765e+00,-1.311499637530e-01,2.076426658477e-01
2.150000000000e+01,-4.840104267611e-01,6.445908620369e-01,-2.420052133806e+01,3.222954310184e+01,4.030395367191e+01,2.214860437688e+00,-1.520563600974e-01,2.025041916746e-01
2.250000000000e+01,-4.944540667794e-01,6.296794190912e-01,-2.472270333897e+01,3.148397095456e+01,4.003064435472e+01,2.236476766035e+00,-1.553373263732e-01,1.978196237134e-01
2.350000000000e+01,-4.789374095951e-01,6.027942616521e-01,-2.394687047975e+01,3.013971308261e+01,3.849486862526e+01,2.242192264847e+00,-1.504626247513e-01,1.893734024032e-01
2.450000000000e+01,-4.599223754495e-01,5.871919076795e-01,-2.299611877248e+01,2.935959538398e+01,3.729352919353e+01,2.235244632935e+00,-1.444888755934e-01,1.844717783413e-01
2.550000000000e+01,-4.363734682804e-01,6.080107188417e-01,-2.181867341402e+01,3.040053594208e+01,3.741987566940e+01,2.193307507289e+00,-1.370907682171e-01,1.910122007617e-01
2.650000000000e+01,-4.083872905578e-01,6.454642267422e-01,-2.041936452789e+01,3.227321133711e+01,3.819045191841e+01,2.134915863803e+00,-1.282986511836e-01,2.027785672888e-01
2.750000000000e+01,-4.023789731923e-01,6.580800862981e-01,-2.011894865961e+01,3.290400431491e+01,3.856741623603e+01,2.119587903686e+00,-1.264110826140e-01,2.067419564588e-01
2.850000000000e+01,-4.385373093445e-01,6.307147076871e-01,-2.192686546723e+01,3.153573538436e+01,3.840950449368e+01,2.178362426442e+00,-1.377705589362e-01,1.981448692181e-01
2.950000000000e+01,-4.936987346643e-01,5.807080495961e-01,-2.468493673321e+01,2.903540247981e+01,3.811037521053e+01,2.275387249453e+00,-1.551000317908e-01,1.824348142492e-01
3.050000000000e+01,-5.327595124108e-01,5.355815142010e-01,-2.663797562054e+01,2.677907571005e+01,3.777169100060e+01,2.353553016022e+00,-1.673713370320e-01,1.682578950412e-01
3.150000000000e+01,-5.558345009254e-01,4.994939246594e-01,-2.779172504627e+01,2.497469623297e+01,3.736462809900e+01,2.409530627017e+00,-1.746205584719e-01,1.569206444223e-01
3.250000000000e+01,-5.915940265172e-01,4.533875359394e-01,-2.957970132586e+01,2.266937679697e+01,3.726740365105e+01,2.487688683405e+00,-1.858547447614e-01,1.424358952136e-01
3.350000000000e+01,-6.461395481159e-01,3.866970721547e-01,-3.230697740579e+01,1.933485360773e+01,3.765072845419e+01,2.602296705726e+00,-2.029907257555e-01,1.214844681046e-01
3.450000000000e+01,-6.752533949708e-01,3.198832853417e-01,-3.376266974854e+01,1.599416426708e+01,3.735948553114e+01,2.699186482412e+00,-2.121371104952e-01,1.004942979236e-01
3.550000000000e+01,-6.305569687287e-01,2.845313461641e-01,-3.152784843643e+01,1.422656730820e+01,3.458902202153e+01,2.717709576388e+00,-1.980953140628e-01,8.938815868251e-02
3.650000000000e+01,-5.041868718641e-01,2.751177402010e-01,-2.520934359321e+01,1.375588701005e+01,2.871820732277e+01,2.642082815357e+00,-1.583949772685e-01,8.643078714876e-02
3.750000000000e+01,-3.355783729509e-01,2.570231018079e-01,-1.677891864754e+01,1.285115509040e+01,2.113490710030e+01,2.487986152907e+00,-1.054250551166e-01,8.074618884426e-02
3.850000000000e+01,-1.659792210656e-01,2.189011964909e-01,-8.298961053280e+00,1.094505982455e+01,1.373561389698e+01,2.219548986774e+00,-5.214391015482e-02,6.876983907580e-02
3.950000000000e+01,1.740441060719e-02,1.620577119069e-01,8.702205303596e-01,8.102885595343e+00,8.149480887927e+00,1.463810021450e+00,5.467756850362e-03,5.091193171842e-02
4.050000000000e+01,2.117510226069e-01,4.195017909816e-02,1.058755113034e+01,2.097508954908e+00,1.079332121052e+01,1.955784295709e-01,6.652354570118e-02,1.317903744716e-02
4.150000000000e+01,2.960423100396e-01,-1.708746364808e-01,1.480211550198e+01,-8.543731824039e+00,1.709087407990e+01,-5.234835709431e-01,9.300443463722e-02,-5.368185026528e-02
4.250000000000e+01,1.203889707247e-01,-3.297454637446e-01,6.019448536237e+00,-1.648727318723e+01,1.755175027827e+01,-1.220736169005e+00,3.782131060021e-02,-1.035925926454e-01
4.350000000000e+01,-2.279921179515e-01,-1.736236355836e-01,-1.139960589758e+01,-8.681181779180e+00,1.432877984000e+01,-2.490750875835e+00,-7.162583628329e-02,-5.454547380390e-02
4.450000000000e+01,-4.120259597763e-01,2.855017828162e-01,-2.060129798881e+01,1.427508914081e+01,2.506375169048e+01,2.535632950970e+00,-1.294417728321e-01,8.969303034821e-02
