# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm D: Optimized 3D + fluence cap
# ==========================================================================
# 
# *** THIS PULSE ALONE IS NOT THE TARGET GATE. READ THE NEXT 6 LINES. ***
# 
#   The pulse realises   W = R_z(phi_vz) . Y(pi)   with
#       phi_vz = 2.545118488248 rad = 145.824548 deg
#   You MUST apply phi_vz as a virtual-Z (frame update) AFTER the pulse.
#   Playing this file without it gives 1 - Fbar = 6.0911e-01  (instead of 5.1458e-06).
#   Alternative: use the companion file *_vzfree.csv, which has the whole drive
#   phase pre-rotated by psi = -phi_vz/2 = -72.912274 deg and needs NO virtual Z.
# 
# -- conventions ----------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback -------------------------------------------------------------
#   50 samples, sample-and-hold, dt = 1.000000000 ns  ->  1.0000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 24.2274 MHz  (48.45 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 5.1458e-06
#   leakage 1 - tr(B^dag B)/2       = 6.8860e-06
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.79e-03  3.69e-03  3.68e-03  3.76e-03  3.92e-03
#     eps=-0.02     7.48e-04  6.23e-04  5.86e-04  6.39e-04  7.81e-04
#     eps=+0.00     2.00e-04  5.80e-05  5.15e-06  4.20e-05  1.69e-04
#     eps=+0.02     8.26e-04  6.66e-04  5.97e-04  6.17e-04  7.28e-04
#     eps=+0.05     3.93e-03  3.74e-03  3.65e-03  3.64e-03  3.73e-03
# 
# -- provenance -----------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armD_accepted   status = maxiter
#   git_commit = 05c91e02d9f092f1e3f9eda2daab3af98f90754b
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 1.0 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
5.000000000000e-01,8.258546091758e-03,-8.763110105869e-03,4.129273045879e-01,-4.381555052935e-01,6.020707646890e-01,-8.150319606791e-01,2.594498773120e-03,-2.753012233120e-03
1.500000000000e+00,4.282425629804e-02,-9.142343275872e-02,2.141212814902e+00,-4.571171637936e+00,5.047811650822e+00,-1.132733117108e+00,1.345363689814e-02,-2.872151847208e-02
2.500000000000e+00,1.810182244821e-02,-2.234676429377e-01,9.050911224103e-01,-1.117338214689e+01,1.120998030954e+01,-1.489968585701e+00,5.686855241987e-03,-7.020443053682e-02
3.500000000000e+00,-1.026837038971e-01,-3.031493876097e-01,-5.134185194854e+00,-1.515746938049e+01,1.600339762786e+01,-1.897389813146e+00,-3.225903698065e-02,-9.523718890549e-02
4.500000000000e+00,-2.210098131336e-01,-2.445637931408e-01,-1.105049065668e+01,-1.222818965704e+01,1.648156442944e+01,-2.305646273599e+00,-6.943228053118e-02,-7.683198158652e-02
5.500000000000e+00,-2.203661725001e-01,-1.074803749427e-01,-1.101830862501e+01,-5.374018747133e+00,1.225900495352e+01,-2.687804807514e+00,-6.923007486262e-02,-3.376595563249e-02
6.500000000000e+00,-1.200780349877e-01,-3.543370507263e-02,-6.003901749386e+00,-1.771685253631e+00,6.259848628698e+00,-2.854647448010e+00,-3.772362725749e-02,-1.113182675456e-02
7.500000000000e+00,-5.140609307700e-03,-7.175360919747e-02,-2.570304653850e-01,-3.587680459873e+00,3.596875830814e+00,-1.642316649848e+00,-1.614970043604e-03,-2.254206115233e-02
8.500000000000e+00,7.306754806979e-02,-1.607923189158e-01,3.653377403489e+00,-8.039615945788e+00,8.830775221241e+00,-1.144271251830e+00,2.295484722319e-02,-5.051439678594e-02
9.500000000000e+00,1.185640109631e-01,-2.518117694896e-01,5.928200548153e+00,-1.259058847448e+01,1.391641045216e+01,-1.130744532824e+00,3.724798258217e-02,-7.910900051161e-02
1.050000000000e+01,1.737732322395e-01,-3.106108128927e-01,8.688661611974e+00,-1.553054064463e+01,1.779580100254e+01,-1.060721863940e+00,5.459247097941e-02,-9.758126479092e-02
1.150000000000e+01,2.525681760955e-01,-3.143179096876e-01,1.262840880478e+01,-1.571589548438e+01,2.016100393871e+01,-8.938983240685e-01,7.934663265523e-02,-9.874588359664e-02
1.250000000000e+01,3.220786657134e-01,-2.709865867238e-01,1.610393328567e+01,-1.354932933619e+01,2.104568822182e+01,-6.994611736417e-01,1.011839970083e-01,-8.513294700729e-02
1.350000000000e+01,3.492125607561e-01,-2.100652530835e-01,1.746062803781e+01,-1.050326265418e+01,2.037626211691e+01,-5.415509352263e-01,1.097083615413e-01,-6.599394558617e-02
1.450000000000e+01,3.370074555819e-01,-1.431424932410e-01,1.685037277909e+01,-7.157124662052e+00,1.830736180400e+01,-4.016552977255e-01,1.058740146661e-01,-4.496954051826e-02
1.550000000000e+01,3.132143434574e-01,-6.230744496488e-02,1.566071717287e+01,-3.115372248244e+00,1.596757986089e+01,-1.963656289352e-01,9.839918804049e-02,-1.957446113656e-02
1.650000000000e+01,2.973385583593e-01,2.567802344258e-02,1.486692791796e+01,1.283901172129e+00,1.492226349914e+01,8.614581438046e-02,9.341166305704e-02,8.066988980591e-03
1.750000000000e+01,2.896233315226e-01,8.474800953373e-02,1.448116657613e+01,4.237400476686e+00,1.508839780114e+01,2.846674834494e-01,9.098785306196e-02,2.662437241575e-02
1.850000000000e+01,2.824426049515e-01,9.273912528510e-02,1.412213024757e+01,4.636956264255e+00,1.486391355350e+01,3.172559801656e-01,8.873196127763e-02,2.913485546960e-02
1.950000000000e+01,2.630171588890e-01,7.216639081511e-02,1.315085794445e+01,3.608319540756e+00,1.363689974236e+01,2.677888009601e-01,8.262927741337e-02,2.267174032209e-02
2.050000000000e+01,2.449669677736e-01,6.511210248682e-02,1.224834838868e+01,3.255605124341e+00,1.267363416610e+01,2.597926404860e-01,7.695864263296e-02,2.045557028324e-02
2.150000000000e+01,2.577841802557e-01,7.873806272869e-02,1.288920901279e+01,3.936903136435e+00,1.347705143126e+01,2.964417593709e-01,8.098528869030e-02,2.473629194263e-02
2.250000000000e+01,2.881998530466e-01,7.636732479039e-02,1.440999265233e+01,3.818366239520e+00,1.490730723435e+01,2.590274568598e-01,9.054065410967e-02,2.399150265358e-02
2.350000000000e+01,2.920411890344e-01,3.936250206163e-02,1.460205945172e+01,1.968125103081e+00,1.473409843366e+01,1.339766634834e-01,9.174744540160e-02,1.236609473037e-02
2.450000000000e+01,2.505692931833e-01,1.681215821938e-03,1.252846465916e+01,8.406079109688e-02,1.252874666248e+01,6.709483722620e-03,7.871866506798e-02,5.281695275298e-04
2.550000000000e+01,2.084232239102e-01,9.175551030314e-04,1.042116119551e+01,4.587775515157e-02,1.042126218033e+01,4.402336544989e-03,6.547808690739e-02,2.882584370947e-04
2.650000000000e+01,2.235847949808e-01,1.307306769787e-02,1.117923974904e+01,6.536533848933e-01,1.119833309534e+01,5.840379363124e-02,7.024123493661e-02,4.107025343950e-03
2.750000000000e+01,2.640087227219e-01,-1.972456692351e-02,1.320043613609e+01,-9.862283461756e-01,1.323722631573e+01,-7.457325374099e-02,8.294078637867e-02,-6.196655454215e-03
2.850000000000e+01,2.457033227009e-01,-9.149269408877e-02,1.228516613504e+01,-4.574634704438e+00,1.310925587685e+01,-3.564634538691e-01,7.718997535597e-02,-2.874327756064e-02
2.950000000000e+01,1.545273049746e-01,-1.244122480586e-01,7.726365248730e+00,-6.220612402930e+00,9.919311398695e+00,-6.778520598351e-01,4.854618460872e-02,-3.908526045175e-02
3.050000000000e+01,8.440879202499e-02,-8.138330770687e-02,4.220439601250e+00,-4.069165385343e+00,5.862611820773e+00,-7.671515247006e-01,2.651780409241e-02,-2.556732016167e-02
3.150000000000e+01,1.259543824892e-01,-5.024367933914e-02,6.297719124461e+00,-2.512183966957e+00,6.780290145299e+00,-3.795610031823e-01,3.956973627156e-02,-1.578451739012e-02
3.250000000000e+01,2.248513146341e-01,-1.141040263927e-01,1.124256573171e+01,-5.705201319635e+00,1.260732351966e+01,-4.696012430290e-01,7.063912382046e-02,-3.584683710603e-02
3.350000000000e+01,2.897214552857e-01,-2.105243825600e-01,1.448607276428e+01,-1.052621912800e+01,1.790663545345e+01,-6.283849991838e-01,9.101867955128e-02,-6.613818536521e-02
3.450000000000e+01,3.206157584221e-01,-2.460539687691e-01,1.603078792111e+01,-1.230269843846e+01,2.020748747962e+01,-6.545707960431e-01,1.007244111284e-01,-7.730013406717e-02
3.550000000000e+01,3.513884130782e-01,-1.937909864350e-01,1.756942065391e+01,-9.689549321749e+00,2.006419468039e+01,-5.039947165498e-01,1.103919257083e-01,-6.088123393160e-02
3.650000000000e+01,3.716597952997e-01,-9.599700135094e-02,1.858298976498e+01,-4.799850067547e+00,1.919286506169e+01,-2.527681733724e-01,1.167603682548e-01,-3.015834742108e-02
3.750000000000e+01,3.524253479679e-01,-3.347214504733e-02,1.762126739839e+01,-1.673607252366e+00,1.770056569607e+01,-9.469250951842e-02,1.107176884115e-01,-1.051558449806e-02
3.850000000000e+01,2.862528110089e-01,-5.030418947337e-02,1.431264055045e+01,-2.515209473669e+00,1.453196332994e+01,-1.739572177510e-01,8.992897281350e-02,-1.580352720943e-02
3.950000000000e+01,1.836513208142e-01,-1.181050924520e-01,9.182566040710e+00,-5.905254622600e+00,1.091748832148e+01,-5.715051727913e-01,5.769576402919e-02,-3.710380907988e-02
4.050000000000e+01,6.666220748224e-02,-1.864211804201e-01,3.333110374112e+00,-9.321059021004e+00,9.899079050045e+00,-1.227376558841e+00,2.094255012983e-02,-5.856594108812e-02
4.150000000000e+01,-8.565372020005e-03,-2.374445389706e-01,-4.282686010003e-01,-1.187222694853e+01,1.187994893558e+01,-1.606853840108e+00,-2.690890981331e-03,-7.459540192651e-02
4.250000000000e+01,1.939323660079e-02,-2.753083071264e-01,9.696618300395e-01,-1.376541535632e+01,1.379952549896e+01,-1.500470606629e+00,6.092564963437e-03,-8.649065551404e-02
4.350000000000e+01,1.485099383536e-01,-3.032136943115e-01,7.425496917682e+00,-1.516068471557e+01,1.688147995644e+01,-1.115352946695e+00,4.665577313169e-02,-9.525739145168e-02
4.450000000000e+01,2.898524851497e-01,-3.228548786466e-01,1.449262425749e+01,-1.614274393233e+01,2.169387792750e+01,-8.392093869247e-01,9.105984379712e-02,-1.014278514932e-01
4.550000000000e+01,3.453598617438e-01,-3.398712411045e-01,1.726799308719e+01,-1.699356205522e+01,2.422735512977e+01,-7.773884521614e-01,1.084980004499e-01,-1.067736994220e-01
4.650000000000e+01,2.905693528344e-01,-3.315102771645e-01,1.452846764172e+01,-1.657551385823e+01,2.204141628119e+01,-8.511163860648e-01,9.128505442229e-02,-1.041470251330e-01
4.750000000000e+01,1.688143266692e-01,-2.562378154858e-01,8.440716333461e+00,-1.281189077429e+01,1.534243257877e+01,-9.882464590482e-01,5.303458484847e-02,-8.049948387020e-02
