# ==========================================================================
# Y(pi) gate for the Novera transmon  --  arm F: Optimized 3D, robust arm
# ==========================================================================
# 
# *** THIS IS THE VZ-FREE VARIANT: play it as-is, NO virtual Z needed. ***
# 
#   The whole drive phase has been rotated by psi = -phi_vz/2 = +75.065769 deg.
#   This is an EXACT identity for a pi rotation about an in-plane axis:
#       rotating the drive phase by psi maps  W -> R_z(phi_vz + 2*psi) . Y(pi),
#   so psi = -phi_vz/2 leaves exactly Y(pi). Robustness is unchanged (R_z commutes
#   with the noise terms). Verified: 1 - Fbar = 4.7039e-05 with no virtual Z,
#   matching the canonical file's 4.7039e-05.
# 
# -- conventions ----------------------------------------------------------
#   target = Y(pi) = exp(-i*pi*(n.sigma)/2), n at azimuth phi_axis = 90.0 deg in the equatorial plane
#   provenance: exact frame rotation of X(pi) by phi_axis = pi/2 (not an independent solve)
#   H = Omega_x*(a+a^dag)/2 + Omega_y*i(a^dag-a)/2 + Delta*|2><2|,  Delta/2pi = -0.19848 GHz
#   Omega is ANGULAR (rad/ns). rabi_*_MHz = Omega/(2*pi) in MHz. I_norm = Omega_x/Omega_max.
#   Omega_max/2pi = 50.0 MHz (full-scale reference for I_norm/Q_norm).
#   phase_rad = atan2(Omega_y, Omega_x). If your IQ convention has the opposite phase
#   sense, negate Q -- see README, it changes the answer by 4 orders of magnitude.
#   Drive is ON RESONANCE with the bare f01. No frequency offset is required
#   (the AC-Stark shift is already built into the pulse shape).
# 
# -- playback -------------------------------------------------------------
#   50 samples, sample-and-hold, dt = 1.000000000 ns  ->  1.0000 GSa/s
#   total duration T = 50.000 ns.  t_ns is the CELL MIDPOINT (t0 = dt/2).
#   peak |Omega|/2pi = 42.7959 MHz  (85.59 % of Omega_max)
# 
# -- simulated performance on this device ----------------------------------
#   three-level coherent 1 - Fbar   = 4.7039e-05
#   leakage 1 - tr(B^dag B)/2       = 2.3149e-06
#   T1 = 35.0 us, T2echo = 41.9 us -> decoherence floor 6.359e-04 for a 50 ns gate
# 
#   1 - Fbar over (amplitude error, drive detuning):
#         detuning ->  -0.20MHz  -0.10MHz  +0.00MHz  +0.10MHz  +0.20MHz
#     eps=-0.05     3.15e-05  1.76e-05  9.29e-06  6.90e-06  1.07e-05
#     eps=-0.02     4.60e-05  3.90e-05  3.61e-05  3.75e-05  4.34e-05
#     eps=+0.00     5.24e-05  4.81e-05  4.70e-05  4.94e-05  5.53e-05
#     eps=+0.02     4.66e-05  4.37e-05  4.33e-05  4.54e-05  5.03e-05
#     eps=+0.05     2.36e-05  2.05e-05  1.89e-05  1.88e-05  2.03e-05
# 
# -- provenance -----------------------------------------------------------
#   run_id = 20260809_Xpi_novera_armF_accepted   status = maxiter
#   git_commit = 05c91e02d9f092f1e3f9eda2daab3af98f90754b
#   device = Novera: alpha/2pi = -0.19848 GHz, Omega_max/2pi = 50.0 MHz,
#            T1 = 35000.0 ns, T2echo = 41900.0 ns, sample_rate = 1.0 GSa/s
# ==========================================================================
t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad,Omega_x_rad_per_ns,Omega_y_rad_per_ns
5.000000000000e-01,7.019322268270e-03,1.553102762637e-02,3.509661134135e-01,7.765513813187e-01,8.521791247106e-01,1.146317988664e+00,2.205185127118e-03,4.879216229372e-03
1.500000000000e+00,1.075776308292e-01,9.806595283743e-02,5.378881541462e+00,4.903297641872e+00,7.278371686158e+00,7.391778848616e-01,3.379650947037e-02,3.080832770014e-02
2.500000000000e+00,3.269980245579e-01,1.527930411452e-01,1.634990122790e+01,7.639652057261e+00,1.804670478835e+01,4.371141352084e-01,1.027294591690e-01,4.800134955815e-02
3.500000000000e+00,5.406706805872e-01,1.512051248647e-01,2.703353402936e+01,7.560256243237e+00,2.807079330158e+01,2.726953872188e-01,1.698567038144e-01,4.750249094602e-02
4.500000000000e+00,6.399159101073e-01,1.581697445339e-01,3.199579550536e+01,7.908487226697e+00,3.295868778086e+01,2.423159116471e-01,2.010355122108e-01,4.969049074480e-02
5.500000000000e+00,6.053450890797e-01,2.502436080995e-01,3.026725445398e+01,1.251218040497e+01,3.275150913575e+01,3.919959250510e-01,1.901747684739e-01,7.861634808132e-02
6.500000000000e+00,4.554135264113e-01,4.313229797427e-01,2.277067632057e+01,2.156614898713e+01,3.136243744085e+01,7.582371948364e-01,1.430723788919e-01,1.355041104484e-01
7.500000000000e+00,2.501068279762e-01,6.317979610454e-01,1.250534139881e+01,3.158989805227e+01,3.397506765929e+01,1.193859504333e+00,7.857337733827e-02,1.984851832973e-01
8.500000000000e+00,4.576330543547e-02,7.806362148202e-01,2.288165271774e+00,3.903181074101e+01,3.909882287273e+01,1.512240256763e+00,1.437696641601e-02,2.452440997605e-01
9.500000000000e+00,-1.463388125974e-01,8.344545329950e-01,-7.316940629868e+00,4.172272664975e+01,4.235945631463e+01,1.744401582037e+00,-4.597369385909e-02,2.621516230612e-01
1.050000000000e+01,-3.388370099320e-01,7.811665597343e-01,-1.694185049660e+01,3.905832798671e+01,4.257439704056e+01,1.980061377894e+00,-1.064487861167e-01,2.454107125291e-01
1.150000000000e+01,-5.200123274429e-01,6.512488686555e-01,-2.600061637215e+01,3.256244343277e+01,4.166947052752e+01,2.244612687966e+00,-1.633666907671e-01,2.045958661427e-01
1.250000000000e+01,-6.639599245945e-01,5.139537995481e-01,-3.319799622972e+01,2.569768997740e+01,4.198187970832e+01,2.482861665489e+00,-2.085891621384e-01,1.614633480945e-01
1.350000000000e+01,-7.516141948317e-01,4.094773993666e-01,-3.758070974159e+01,2.047386996833e+01,4.279590045976e+01,2.642752595569e+00,-2.361265632817e-01,1.286411189661e-01
1.450000000000e+01,-7.784632443360e-01,3.236907791360e-01,-3.892316221680e+01,1.618453895680e+01,4.215390679640e+01,2.747533911738e+00,-2.445614409496e-01,1.016904573768e-01
1.550000000000e+01,-7.717181851262e-01,2.304214680499e-01,-3.858590925631e+01,1.152107340249e+01,4.026918828933e+01,2.851436916213e+00,-2.424424181034e-01,7.238903912548e-02
1.650000000000e+01,-7.757586130054e-01,1.392510229728e-01,-3.878793065027e+01,6.962551148642e+00,3.940787589591e+01,2.963981128798e+00,-2.437117559577e-01,4.374699907763e-02
