time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,2.155871967445e-06,0.000000000000e+00
6.250000000000e-01,5.711948912243e-05,0.000000000000e+00
1.041666666667e+00,2.546647014476e-04,0.000000000000e+00
1.458333333333e+00,6.605814068032e-04,0.000000000000e+00
1.875000000000e+00,1.303266096553e-03,0.000000000000e+00
2.291666666667e+00,2.170304518882e-03,0.000000000000e+00
2.708333333333e+00,3.213507888097e-03,0.000000000000e+00
3.125000000000e+00,4.361194162665e-03,0.000000000000e+00
3.541666666667e+00,5.534966922012e-03,0.000000000000e+00
3.958333333333e+00,6.667330003749e-03,0.000000000000e+00
4.375000000000e+00,7.716380225257e-03,0.000000000000e+00
4.791666666667e+00,8.674550757653e-03,0.000000000000e+00
5.208333333333e+00,9.569755833288e-03,0.000000000000e+00
5.625000000000e+00,1.045899254388e-02,0.000000000000e+00
6.041666666667e+00,1.141609910032e-02,0.000000000000e+00
6.458333333333e+00,1.251658470241e-02,0.000000000000e+00
6.875000000000e+00,1.382297288394e-02,0.000000000000e+00
7.291666666667e+00,1.537383930884e-02,0.000000000000e+00
7.708333333333e+00,1.717875966450e-02,0.000000000000e+00
8.125000000000e+00,1.921995516943e-02,0.000000000000e+00
8.541666666667e+00,2.145987302427e-02,0.000000000000e+00
8.958333333333e+00,2.385262566144e-02,0.000000000000e+00
9.375000000000e+00,2.635642926351e-02,0.000000000000e+00
9.791666666667e+00,2.894409038450e-02,0.000000000000e+00
1.020833333333e+01,3.160918557236e-02,0.000000000000e+00
1.062500000000e+01,3.436669846628e-02,0.000000000000e+00
1.104166666667e+01,3.724824060301e-02,0.000000000000e+00
1.145833333333e+01,4.029325711720e-02,0.000000000000e+00
1.187500000000e+01,4.353850893376e-02,0.000000000000e+00
1.229166666667e+01,4.700843198803e-02,0.000000000000e+00
1.270833333333e+01,5.070864913204e-02,0.000000000000e+00
1.312500000000e+01,5.462405223190e-02,0.000000000000e+00
1.354166666667e+01,5.872170552697e-02,0.000000000000e+00
1.395833333333e+01,6.295763858284e-02,0.000000000000e+00
1.437500000000e+01,6.728568498947e-02,0.000000000000e+00
1.479166666667e+01,7.166609402039e-02,0.000000000000e+00
1.520833333333e+01,7.607178584253e-02,0.000000000000e+00
1.562500000000e+01,8.049078365393e-02,0.000000000000e+00
1.604166666667e+01,8.492436001588e-02,0.000000000000e+00
1.645833333333e+01,8.938152258509e-02,0.000000000000e+00
1.687500000000e+01,9.387136545730e-02,0.000000000000e+00
1.729166666667e+01,9.839530830109e-02,0.000000000000e+00
1.770833333333e+01,1.029412235792e-01,0.000000000000e+00
1.812500000000e+01,1.074809304075e-01,0.000000000000e+00
1.854166666667e+01,1.119716535654e-01,0.000000000000e+00
1.895833333333e+01,1.163610354902e-01,0.000000000000e+00
1.937500000000e+01,1.205944033484e-01,0.000000000000e+00
1.979166666667e+01,1.246224520246e-01,0.000000000000e+00
2.020833333333e+01,1.284074365282e-01,0.000000000000e+00
2.062500000000e+01,1.319263824846e-01,0.000000000000e+00
2.104166666667e+01,1.351706084467e-01,0.000000000000e+00
2.145833333333e+01,1.381418049358e-01,0.000000000000e+00
2.187500000000e+01,1.408457896126e-01,0.000000000000e+00
2.229166666667e+01,1.432856354746e-01,0.000000000000e+00
