time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,-2.485445187869e-05,2.155871967435e-06
6.250000000000e-01,-2.167396888978e-04,5.711948906320e-05
1.041666666667e+00,-5.650800221665e-04,2.546646980781e-04
1.458333333333e+00,-1.006502200836e-03,6.605813586632e-04
1.875000000000e+00,-1.463023595360e-03,1.303265765690e-03
2.291666666667e+00,-1.858320490774e-03,2.170303103849e-03
2.708333333333e+00,-2.133399514436e-03,3.213503584062e-03
3.125000000000e+00,-2.258309107858e-03,4.361184070948e-03
3.541666666667e+00,-2.237440280599e-03,5.534947643581e-03
3.958333333333e+00,-2.107410524821e-03,6.667298628458e-03
4.375000000000e+00,-1.928170884869e-03,7.716334770789e-03
4.791666666667e+00,-1.769450378482e-03,8.674489126303e-03
5.208333333333e+00,-1.695624933052e-03,9.569673151452e-03
5.625000000000e+00,-1.752359954634e-03,1.045887768993e-02
6.041666666667e+00,-1.957882485643e-03,1.141593158963e-02
6.458333333333e+00,-2.300619024277e-03,1.251633274399e-02
6.875000000000e+00,-2.743456724248e-03,1.382259278376e-02
7.291666666667e+00,-3.233393169915e-03,1.537327596635e-02
7.708333333333e+00,-3.714173356986e-03,1.717794781964e-02
8.125000000000e+00,-4.138929667194e-03,1.921882101162e-02
8.541666666667e+00,-4.479958923728e-03,2.145833533847e-02
8.958333333333e+00,-4.733542614787e-03,2.385059476177e-02
9.375000000000e+00,-4.918944018389e-03,2.635380112611e-02
9.791666666667e+00,-5.072099917035e-03,2.894073366020e-02
1.020833333333e+01,-5.235736903699e-03,3.160492118758e-02
1.062500000000e+01,-5.448404696253e-03,3.436127483713e-02
1.104166666667e+01,-5.735067482877e-03,3.724131057384e-02
1.145833333333e+01,-6.101414982073e-03,4.028436395127e-02
1.187500000000e+01,-6.533082031750e-03,4.352708724892e-02
1.229166666667e+01,-6.999746034041e-03,4.699382578072e-02
1.270833333333e+01,-7.462903652542e-03,5.069014396159e-02
1.312500000000e+01,-7.885289463723e-03,5.460091335381e-02
1.354166666667e+01,-8.239581292022e-03,5.869320944100e-02
1.395833333333e+01,-8.514300675461e-03,6.292308364401e-02
1.437500000000e+01,-8.715580442709e-03,6.724436932843e-02
1.479166666667e+01,-8.864532928702e-03,7.161725739828e-02
1.520833333333e+01,-8.991042662603e-03,7.601452549027e-02
1.562500000000e+01,-9.125658136527e-03,8.042396880631e-02
1.604166666667e+01,-9.291667455766e-03,8.484657965946e-02
1.645833333333e+01,-9.499325680063e-03,8.929110013207e-02
