time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,1.109667656025e-03,3.460355561763e-04
6.250000000000e-01,1.027816309948e-02,1.336603507470e-03
1.041666666667e+00,2.819635966802e-02,-1.226208340213e-03
1.458333333333e+00,5.236007017814e-02,-1.155386040182e-02
1.875000000000e+00,7.855166692335e-02,-3.249508066818e-02
2.291666666667e+00,1.016788949328e-01,-6.477577770202e-02
2.708333333333e+00,1.168401648083e-01,-1.065280885388e-01
3.125000000000e+00,1.204526481244e-01,-1.534158530385e-01
3.541666666667e+00,1.112101212955e-01,-1.995286511340e-01
3.958333333333e+00,9.054084343398e-02,-2.388830481878e-01
4.375000000000e+00,6.229157681634e-02,-2.670416674503e-01
4.791666666667e+00,3.164757455120e-02,-2.822466654481e-01
5.208333333333e+00,3.650645027872e-03,-2.856525988375e-01
5.625000000000e+00,-1.814991208279e-02,-2.806397317832e-01
6.041666666667e+00,-3.248577900856e-02,-2.715640111412e-01
6.458333333333e+00,-4.043808457438e-02,-2.624516756055e-01
6.875000000000e+00,-4.486780778825e-02,-2.560375471024e-01
7.291666666667e+00,-4.942595195500e-02,-2.533072285773e-01
7.708333333333e+00,-5.742574644457e-02,-2.535153586517e-01
8.125000000000e+00,-7.087600814620e-02,-2.546009019647e-01
8.541666666667e+00,-8.992875120524e-02,-2.539353420428e-01
8.958333333333e+00,-1.128961927330e-01,-2.492845901227e-01
9.375000000000e+00,-1.368585883913e-01,-2.397101787806e-01
9.791666666667e+00,-1.586888530229e-01,-2.260205631131e-01
1.020833333333e+01,-1.760954122361e-01,-2.104953633839e-01
1.062500000000e+01,-1.882113837350e-01,-1.959588896555e-01
1.104166666667e+01,-1.954911306521e-01,-1.846359221687e-01
1.145833333333e+01,-1.990926573949e-01,-1.773020062302e-01
1.187500000000e+01,-2.001901725588e-01,-1.730195907905e-01
1.229166666667e+01,-1.995708072246e-01,-1.694578302398e-01
1.270833333333e+01,-1.975521200333e-01,-1.636082827157e-01
1.312500000000e+01,-1.940273115414e-01,-1.526242533602e-01
1.354166666667e+01,-1.884907803899e-01,-1.345047404577e-01
1.395833333333e+01,-1.800976544309e-01,-1.084632094048e-01
1.437500000000e+01,-1.678952349752e-01,-7.500713209362e-02
1.479166666667e+01,-1.512449358520e-01,-3.582114664073e-02
1.520833333333e+01,-1.302823558385e-01,6.530228108449e-03
1.562500000000e+01,-1.061898903005e-01,4.909862802524e-02
1.604166666667e+01,-8.111804736633e-02,8.915958876694e-02
1.645833333333e+01,-5.776446296198e-02,1.247237298049e-01
1.687500000000e+01,-3.880609898019e-02,1.547524118600e-01
1.729166666667e+01,-2.642141095342e-02,1.790143696278e-01
1.770833333333e+01,-2.197975344132e-02,1.976938318455e-01
1.812500000000e+01,-2.580347749626e-02,2.110143423948e-01
1.854166666667e+01,-3.698249601970e-02,2.191715255175e-01
1.895833333333e+01,-5.345090626413e-02,2.226209628755e-01
1.937500000000e+01,-7.249604446361e-02,2.223847353460e-01
1.979166666667e+01,-9.149606729557e-02,2.199831275532e-01
2.020833333333e+01,-1.084700687828e-01,2.169758814634e-01
2.062500000000e+01,-1.222420171759e-01,2.144476410013e-01
2.104166666667e+01,-1.323378811523e-01,2.127537486972e-01
2.145833333333e+01,-1.388172951459e-01,2.116030042659e-01
2.187500000000e+01,-1.421303197065e-01,2.103640672052e-01
2.229166666667e+01,-1.429834716948e-01,2.084295256260e-01
2.270833333333e+01,-1.421836323489e-01,2.055081115572e-01
2.312500000000e+01,-1.404680581728e-01,2.017753583615e-01
2.354166666667e+01,-1.383618323632e-01,1.978586107156e-01
2.395833333333e+01,-1.361028478638e-01,1.946632858766e-01
2.437500000000e+01,-1.336517716286e-01,1.930842127147e-01
2.479166666667e+01,-1.307869489484e-01,1.936917060899e-01
2.520833333333e+01,-1.272742273299e-01,1.965084059730e-01
2.562500000000e+01,-1.230760555852e-01,2.009702791952e-01
2.604166666667e+01,-1.185204313031e-01,2.060918335731e-01
2.645833333333e+01,-1.143316683643e-01,2.107618335654e-01
2.687500000000e+01,-1.114741256873e-01,2.140355414212e-01
2.729166666667e+01,-1.108567667172e-01,2.153090474675e-01
2.770833333333e+01,-1.130198664246e-01,2.143507734426e-01
2.812500000000e+01,-1.179297157404e-01,2.112525584320e-01
2.854166666667e+01,-1.249589977313e-01,2.063758346770e-01
