time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,4.887575631586e-04,-4.274430680050e-04
6.250000000000e-01,3.833471569577e-03,-4.507481207954e-03
1.041666666667e+00,8.789098251950e-03,-1.357151890663e-02
1.458333333333e+00,1.308478994260e-02,-2.719267508125e-02
1.875000000000e+00,1.424161817546e-02,-4.390686101147e-02
2.291666666667e+00,1.021140104761e-02,-6.166695445458e-02
2.708333333333e+00,1.086229914836e-04,-7.801182236953e-02
3.125000000000e+00,-1.537782880589e-02,-9.015610579245e-02
3.541666666667e+00,-3.399885650317e-02,-9.545985921765e-02
3.958333333333e+00,-5.235892686889e-02,-9.233392669720e-02
4.375000000000e+00,-6.676876686697e-02,-8.109104181636e-02
4.791666666667e+00,-7.438555473989e-02,-6.412600631705e-02
5.208333333333e+00,-7.412223722125e-02,-4.521043835769e-02
5.625000000000e+00,-6.679250666101e-02,-2.827737897055e-02
6.041666666667e+00,-5.444948444444e-02,-1.632845292721e-02
6.458333333333e+00,-3.942474205276e-02,-1.085781626062e-02
6.875000000000e+00,-2.367742766961e-02,-1.181778380929e-02
7.291666666667e+00,-8.667850355037e-03,-1.800585309484e-02
7.708333333333e+00,4.528330828039e-03,-2.771987315005e-02
8.125000000000e+00,1.524987690889e-02,-3.939272909268e-02
8.541666666667e+00,2.344430416278e-02,-5.187804274861e-02
8.958333333333e+00,2.973830611912e-02,-6.434272723081e-02
9.375000000000e+00,3.522075518548e-02,-7.603599449379e-02
9.791666666667e+00,4.106019288183e-02,-8.618506607472e-02
1.020833333333e+01,4.815245894717e-02,-9.404610477202e-02
1.062500000000e+01,5.689075687809e-02,-9.901915160871e-02
1.104166666667e+01,6.707148019496e-02,-1.007650673127e-01
1.145833333333e+01,7.794856906502e-02,-9.930525222865e-02
1.187500000000e+01,8.844687194367e-02,-9.506357246774e-02
1.229166666667e+01,9.747859371009e-02,-8.878276072731e-02
1.270833333333e+01,1.042307315599e-01,-8.130401382616e-02
1.312500000000e+01,1.083129756220e-01,-7.330651531388e-02
1.354166666667e+01,1.097647083924e-01,-6.513748751569e-02
1.395833333333e+01,1.089878919236e-01,-5.679203032591e-02
1.437500000000e+01,1.066453259944e-01,-4.801766398998e-02
1.479166666667e+01,1.035171342958e-01,-3.848610128544e-02
1.520833333333e+01,1.003163843666e-01,-2.798138644475e-02
1.562500000000e+01,9.751785107737e-02,-1.656929602087e-02
1.604166666667e+01,9.529015105283e-02,-4.712858156883e-03
1.645833333333e+01,9.358049163660e-02,6.728740253640e-03
1.687500000000e+01,9.228047484190e-02,1.668486298085e-02
1.729166666667e+01,9.131075441507e-02,2.420604328687e-02
1.770833333333e+01,9.054751859176e-02,2.876186251105e-02
