time_ns,Omega_x_rad_per_ns,Omega_y_rad_per_ns
2.083333333333e-01,9.386285452591e-04,-3.475206429008e-05
6.250000000000e-01,8.131275362523e-03,-1.777688761236e-03
1.041666666667e+00,2.095583646985e-02,-8.653906442340e-03
1.458333333333e+00,3.679661622714e-02,-2.292208807216e-02
1.875000000000e+00,5.278346099560e-02,-4.480634050196e-02
2.291666666667e+00,6.662374421565e-02,-7.241211411150e-02
2.708333333333e+00,7.713592983428e-02,-1.023546328094e-01
3.125000000000e+00,8.431231780420e-02,-1.308176253425e-01
3.541666666667e+00,8.904939910881e-02,-1.545726423071e-01
3.958333333333e+00,9.282784604778e-02,-1.715264521096e-01
4.375000000000e+00,9.743347435459e-02,-1.806321187983e-01
4.791666666667e+00,1.045656785847e-01,-1.814286468405e-01
5.208333333333e+00,1.153000146645e-01,-1.737452505641e-01
5.625000000000e+00,1.297212541427e-01,-1.578485544792e-01
6.041666666667e+00,1.470287621727e-01,-1.347487117532e-01
6.458333333333e+00,1.659764134292e-01,-1.062081804655e-01
6.875000000000e+00,1.852502962597e-01,-7.436658101851e-02
7.291666666667e+00,2.035919083208e-01,-4.126009463963e-02
7.708333333333e+00,2.197846193365e-01,-8.502179781582e-03
8.125000000000e+00,2.326816538795e-01,2.283169130941e-02
8.541666666667e+00,2.413007133916e-01,5.220788619916e-02
8.958333333333e+00,2.448868017135e-01,7.957431787404e-02
9.375000000000e+00,2.429030298821e-01,1.051901254112e-01
9.791666666667e+00,2.350571919766e-01,1.293390992788e-01
1.020833333333e+01,2.214724297202e-01,1.520778451980e-01
1.062500000000e+01,2.029101090182e-01,1.732066624650e-01
1.104166666667e+01,1.808104723726e-01,1.924537599182e-01
1.145833333333e+01,1.570378625998e-01,2.096604763850e-01
1.187500000000e+01,1.334535227469e-01,2.247929983563e-01
1.229166666667e+01,1.115313875460e-01,2.378083410792e-01
1.270833333333e+01,9.214612436325e-02,2.485301378322e-01
1.312500000000e+01,7.553809275921e-02,2.566510372840e-01
1.354166666667e+01,6.140121941744e-02,2.618612672219e-01
1.395833333333e+01,4.904778326159e-02,2.640248571997e-01
1.437500000000e+01,3.762723477181e-02,2.633264724091e-01
