family,tier_declared,tier_measured,planar,endpoint_ratio,rel_rms,theta_measured,winding_k,gate_error_vs_branch,on_pi_branch,closure_source,area_source,closure_projected,area_projected,gate_error_projected,closure_gate_fixed,area_gate_fixed,energy_projected,energy_gate_fixed,energy_bound_own_angle,peak_projected,curv_projected
naive,exact,approx,1,1.2246467991473532e-16,3.6506631750477123e-16,3.1415926471301523,0,6.459640822242818e-09,1,0.47200122034508496,-0.29536898966905156,0.4720012175989753,-0.2953689891148359,8.881784197001252e-16,0.47200121759897506,-0.2953689891148358,12.176136379250295,12.176136379250298,9.869604401089353,4.934802200544677,3.141592647130151
min_norm_gate_only,exact,approx,1,1.1400850038801978e-15,3.3023581129546263e-16,3.1415926210783507,0,3.2511442427107795e-08,1,0.6142344938696929,-0.3179018745896548,0.6142344918276613,-0.3179018745207366,0.0,0.6142344918276613,-0.3179018745207366,10.213770597219312,10.21377059721931,9.869604401089358,3.8405824556288097,3.141592621078351
rcp_lemniscate,exact,approx,1,2.6442855579643068e-15,0.00011387133674538126,3.1418139057762806,0,0.00022125218648749723,1,4.129731098464409e-08,-0.0033043952246251253,9.857593146783363e-07,-0.0033046866484188493,0.00028452493197139717,1.2157056382121462e-05,-0.003308815460070465,327.46877514509623,327.4669249981791,9.871392204915884,31.763931677425532,15.465709390042692
rcp_petal,exact,approx,1,2.7062796741167395e-16,0.00010263811715462777,3.1413604970312305,0,0.00023215655856256845,1,1.0793331983233085e-08,-0.07708817123673757,4.667397722431983e-09,-0.07708816169684088,0.00023549136689693384,5.7679843026529906e-05,-0.0770695309118915,40.628253764498325,40.62978493987099,9.868124820649088,11.8101799884718,5.060661774926066
triangle_pulse_arc,approx,approx,1,7.502116534734093e-05,0.009683243082576534,3.1415926549892115,0,1.3994183589716158e-09,1,0.4382591636981437,-0.2845224750468526,0.4382595275771708,-0.2845215232520391,0.0009020585204337905,0.43804407512436305,-0.2844751241583551,13.158238283728894,13.164102886218897,9.863937413957126,6.07146496617472,3.140690590109283
gaussian_arc,approx,approx,1,0.021121877291935952,0.006553291260725173,3.141592645705242,0,7.884551234127457e-09,1,0.3726143379232048,-0.25981429260639416,0.3726143322976865,-0.2598121984066686,0.004748775339172617,0.37145107756399504,-0.2595141924670027,15.636283929809863,15.667138498951136,9.839789516518394,6.994425148881875,3.1368438756113406
circle_arc,forced,forced,1,1.0,0.1836971005105073,3.141592653589793,0,0.0,1,0.63661977302208,-0.31830988552929224,0.6366120604508062,-0.31828524882516807,0.10586005471331372,0.6142344864522009,-0.3179018743394243,9.537035132197364,10.213770597219318,9.215672411881343,3.711168877288228,3.0357325674605553
flora_petal,forced,forced,1,0.3160966112780303,0.021597643227925355,7.864803440986277,1,1.5599745197831023,0,7.62167355322049e-08,-0.004512303829847442,3.953294116081115e-06,-0.004512548063072767,1.5758493274298715,0.16542461139354103,0.03323578523676965,212.2196963038002,240.38967919040584,61.605680691256794,25.91303349938421,11.63156185050049
tilted_lemniscate,forced,approx,1,2.172984090975454e-08,0.023079796890090452,2.7533531010703882e-14,0,3.1415926535897656,0,1.5673111491969487e-07,7.865834719678056e-16,0.00023490365890796284,7.225664511167907e-16,3.141592653589765,0.2618141102896298,0.08227758050600588,128.18134020094195,138.39511079816126,7.780299961877233e-28,23.374558988061345,7.894435322527305
treble_clef_loop,forced,approx,1,3.5058736546149207e-07,0.15331027265386293,-3.1415928927741823,-1,2.3918438918357765e-07,1,1.4794779697367776e-07,0.03903546486629592,0.010694974260761091,0.04203983219177814,0.23243759325478308,0.02431574660636426,0.04532181510100539,352.53855168141774,350.97126419929066,11.384080106622072,43.83920868075608,14.524539977525514
alpha_3d,forced,approx,0,0.014007140999028167,0.9071435206671161,12.425195556537417,1,3.000417595768038,0,4.9451654626455834e-17,5.473491295264774e-09,,,2.330408172938963,,,373.05153568773903,,138.1844010381289,37.93252273070486,15.809665962187385
zeng_clifford_3d,forced,approx,0,0.0057769263252587565,0.5468334495656857,4.961425681113081,0,1.8198330275232877,0,7.753117449061564e-17,0.08108181723182244,,,1.7677416042833505,,,107.94588079138059,,24.10156285552685,27.217326077028297,7.3541127948498115
lissajous_3d,forced,forced,0,0.8036282022307905,0.6519960707017045,-0.8729495175388655,-1,2.268643136050928,0,8.165823698517235e-18,5.773380181512869e-09,,,0.6009200428895878,,,247.0512617911342,,6.455017314762197,34.87286981273227,12.15301868877281
helix,forced,forced,0,0.9999999882796734,0.18309753672083895,1.6939401883916103,0,1.4476524651981828,0,0.8720081600917029,0.252847322829646,,,1.503013859440863,,,3.131536498566154,,2.6849404646345616,2.125183513627073,1.7398336737462732
